,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.698,0.162,0.403,0.969,0.008,0.004,377.0,559.0,1.02
Ds[0],35.654,0.144,35.422,35.929,0.007,0.004,380.0,642.0,1.02
RV[0],2.05,0.664,1.004,3.111,0.033,0.021,391.0,522.0,1.02
delM[0],-0.002,0.098,-0.181,0.182,0.003,0.002,1187.0,937.0,1.0
"eps[0, 0]",0.096,0.136,-0.161,0.344,0.003,0.004,1552.0,753.0,1.0
"eps[1, 0]",0.23,0.304,-0.3,0.839,0.007,0.01,1657.0,766.0,1.0
"eps[2, 0]",0.051,0.214,-0.339,0.445,0.006,0.008,1307.0,830.0,1.0
"eps[3, 0]",0.368,0.193,0.015,0.732,0.005,0.005,1265.0,947.0,1.0
"eps[4, 0]",0.264,0.213,-0.114,0.686,0.007,0.007,938.0,817.0,1.0
"eps[5, 0]",-0.147,0.496,-0.97,0.853,0.013,0.014,1433.0,851.0,1.0
"eps[6, 0]",-0.124,0.339,-0.71,0.528,0.007,0.011,2121.0,712.0,1.01
"eps[7, 0]",-0.039,0.142,-0.304,0.227,0.003,0.005,1816.0,653.0,1.0
"eps[8, 0]",0.132,0.204,-0.25,0.517,0.005,0.006,2014.0,951.0,1.0
"eps[9, 0]",0.082,0.049,-0.003,0.183,0.002,0.001,762.0,865.0,1.0
"eps[10, 0]",0.14,0.048,0.062,0.241,0.002,0.001,752.0,816.0,1.0
"eps[11, 0]",0.076,0.032,0.016,0.131,0.001,0.001,990.0,738.0,1.0
"eps[12, 0]",0.033,0.033,-0.026,0.096,0.001,0.001,726.0,676.0,1.0
"eps[13, 0]",0.054,0.034,-0.011,0.115,0.001,0.001,818.0,852.0,1.01
"eps[14, 0]",-0.087,0.098,-0.28,0.084,0.003,0.003,835.0,836.0,1.0
"eps[15, 0]",0.07,0.057,-0.04,0.176,0.002,0.001,789.0,816.0,1.0
"eps[16, 0]",-0.016,0.051,-0.114,0.075,0.002,0.001,524.0,755.0,1.0
"eps[17, 0]",-0.024,0.067,-0.148,0.095,0.003,0.002,695.0,868.0,1.01
"eps[18, 0]",0.016,0.048,-0.074,0.11,0.002,0.001,965.0,841.0,1.0
"eps[19, 0]",0.185,0.061,0.059,0.292,0.002,0.002,1027.0,748.0,1.0
"eps[20, 0]",-0.063,0.038,-0.141,0.001,0.001,0.001,1255.0,761.0,1.0
"eps[21, 0]",-0.044,0.035,-0.107,0.018,0.001,0.001,715.0,865.0,1.0
"eps[22, 0]",-0.124,0.038,-0.199,-0.057,0.001,0.001,945.0,824.0,1.0
"eps[23, 0]",0.074,0.134,-0.177,0.324,0.004,0.004,1068.0,655.0,1.0
"eps[24, 0]",-0.121,0.073,-0.271,-0.003,0.002,0.002,1164.0,709.0,1.0
"eps[25, 0]",0.007,0.076,-0.136,0.145,0.003,0.002,576.0,850.0,1.0
"eps[26, 0]",0.009,0.086,-0.159,0.163,0.003,0.002,611.0,735.0,1.01
"eps[27, 0]",-0.011,0.065,-0.14,0.102,0.002,0.002,689.0,713.0,1.0
"eps[28, 0]",0.254,0.064,0.135,0.379,0.002,0.002,831.0,840.0,1.0
"eps[29, 0]",-0.106,0.036,-0.171,-0.033,0.001,0.001,679.0,960.0,1.0
"eps[30, 0]",-0.05,0.029,-0.101,0.004,0.001,0.001,1022.0,948.0,1.0
"eps[31, 0]",-0.13,0.052,-0.235,-0.04,0.002,0.001,672.0,691.0,1.0
"eps[32, 0]",-0.148,0.168,-0.465,0.143,0.004,0.005,1531.0,849.0,1.0
"eps[33, 0]",-0.119,0.108,-0.318,0.078,0.004,0.003,671.0,480.0,1.0
"eps[34, 0]",-0.093,0.127,-0.325,0.147,0.003,0.004,1452.0,703.0,1.0
"eps[35, 0]",-0.034,0.08,-0.173,0.127,0.002,0.003,1634.0,732.0,1.01
"eps[36, 0]",0.035,0.061,-0.066,0.16,0.002,0.002,1623.0,618.0,1.0
"eps[37, 0]",0.063,0.116,-0.15,0.274,0.004,0.003,792.0,831.0,1.0
"eps[38, 0]",-0.037,0.047,-0.127,0.048,0.001,0.001,1094.0,962.0,1.0
"eps[39, 0]",-0.1,0.074,-0.234,0.042,0.003,0.002,536.0,636.0,1.0
"eps[40, 0]",-0.189,0.057,-0.296,-0.081,0.002,0.001,712.0,877.0,1.0
"eps[41, 0]",-0.54,0.296,-1.073,0.025,0.01,0.008,914.0,817.0,1.0
"eps[42, 0]",-0.034,0.129,-0.256,0.222,0.004,0.004,1251.0,875.0,1.0
"eps[43, 0]",-0.215,0.123,-0.453,-0.009,0.004,0.004,1083.0,629.0,1.0
"eps[44, 0]",-0.077,0.099,-0.264,0.101,0.003,0.003,1409.0,839.0,1.0
"eps[45, 0]",0.021,0.062,-0.09,0.143,0.001,0.002,2166.0,724.0,1.0
"eps[46, 0]",-0.299,0.152,-0.569,0.005,0.005,0.004,1121.0,780.0,1.0
"eps[47, 0]",-0.032,0.037,-0.1,0.037,0.001,0.001,1389.0,936.0,1.0
"eps[48, 0]",-0.009,0.058,-0.117,0.092,0.002,0.001,833.0,854.0,1.0
"eps[49, 0]",0.034,0.054,-0.071,0.133,0.002,0.002,1216.0,745.0,1.01
"eps[50, 0]",1.403,0.548,0.451,2.374,0.019,0.018,922.0,694.0,1.01
"eps[51, 0]",-0.522,0.218,-0.93,-0.121,0.009,0.007,614.0,724.0,1.0
"eps[52, 0]",0.111,0.156,-0.142,0.423,0.004,0.004,1698.0,833.0,1.0
"eps[53, 0]",-0.065,0.083,-0.202,0.1,0.002,0.002,1112.0,782.0,1.0
"eps_tform[0, 0]",0.602,0.849,-1.009,2.151,0.022,0.028,1552.0,753.0,1.0
"eps_tform[0, 1]",0.763,0.802,-0.702,2.292,0.02,0.029,1627.0,680.0,1.0
"eps_tform[0, 2]",0.492,0.734,-0.935,1.774,0.021,0.024,1179.0,870.0,1.0
"eps_tform[0, 3]",0.988,0.641,-0.168,2.176,0.017,0.017,1454.0,943.0,1.01
"eps_tform[0, 4]",0.479,0.727,-0.883,1.787,0.024,0.022,916.0,711.0,1.0
"eps_tform[0, 5]",-0.428,0.813,-1.961,1.07,0.021,0.022,1579.0,838.0,1.0
"eps_tform[0, 6]",-0.404,0.689,-1.653,0.86,0.015,0.023,2118.0,646.0,1.01
"eps_tform[0, 7]",-0.436,0.882,-2.098,1.221,0.021,0.032,1821.0,620.0,1.0
"eps_tform[0, 8]",0.354,0.909,-1.517,1.899,0.02,0.027,2146.0,851.0,1.0
"eps_tform[0, 9]",0.969,0.717,-0.429,2.284,0.027,0.02,736.0,804.0,1.0
