,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.396,0.12,0.174,0.63,0.044,0.023,8.0,13.0,1.46
Ds[0],31.871,0.094,31.695,32.038,0.028,0.01,11.0,36.0,1.28
RV[0],3.432,1.26,1.592,5.997,0.272,0.107,22.0,35.0,1.13
delM[0],0.0,0.099,-0.174,0.18,0.003,0.002,1051.0,965.0,1.0
"eps[0, 0]",0.014,0.064,-0.111,0.128,0.005,0.002,189.0,408.0,1.03
"eps[1, 0]",-0.02,0.172,-0.385,0.212,0.076,0.04,7.0,29.0,1.53
"eps[2, 0]",0.129,0.102,-0.026,0.319,0.042,0.018,7.0,36.0,1.52
"eps[3, 0]",-0.001,0.109,-0.239,0.137,0.049,0.025,7.0,34.0,1.53
"eps[4, 0]",0.053,0.069,-0.064,0.181,0.025,0.008,9.0,69.0,1.41
"eps[5, 0]",1.338,0.359,0.652,1.982,0.116,0.033,10.0,43.0,1.34
"eps[6, 0]",-0.103,0.06,-0.215,0.009,0.011,0.003,29.0,196.0,1.11
"eps[7, 0]",0.11,0.041,0.031,0.182,0.007,0.002,31.0,273.0,1.1
"eps[8, 0]",-0.272,0.096,-0.421,-0.084,0.04,0.021,7.0,16.0,1.55
"eps[9, 0]",0.008,0.073,-0.085,0.162,0.033,0.017,7.0,18.0,1.56
"eps[10, 0]",-0.166,0.069,-0.273,-0.032,0.03,0.014,7.0,39.0,1.52
"eps[11, 0]",0.104,0.034,0.048,0.169,0.013,0.006,8.0,17.0,1.44
"eps[12, 0]",-0.029,0.046,-0.091,0.061,0.021,0.01,8.0,46.0,1.54
"eps[13, 0]",-0.016,0.034,-0.072,0.048,0.013,0.005,8.0,32.0,1.49
"eps[14, 0]",0.415,0.156,0.095,0.614,0.069,0.038,7.0,27.0,1.54
"eps[15, 0]",-0.212,0.074,-0.308,-0.068,0.034,0.019,7.0,29.0,1.56
"eps[16, 0]",0.08,0.03,0.022,0.135,0.006,0.002,26.0,97.0,1.11
"eps[17, 0]",-0.013,0.045,-0.105,0.07,0.009,0.003,23.0,76.0,1.12
"eps[18, 0]",-0.03,0.071,-0.173,0.073,0.031,0.016,7.0,55.0,1.54
"eps[19, 0]",-0.135,0.039,-0.204,-0.058,0.008,0.001,22.0,238.0,1.13
"eps[20, 0]",-0.006,0.026,-0.062,0.035,0.006,0.002,17.0,28.0,1.17
"eps[21, 0]",-0.08,0.021,-0.117,-0.041,0.005,0.001,19.0,107.0,1.17
"eps[22, 0]",-0.01,0.023,-0.051,0.035,0.004,0.001,29.0,204.0,1.11
