,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.726,0.149,0.42,0.998,0.007,0.005,403.0,535.0,1.02
Ds[0],35.374,0.125,35.138,35.607,0.006,0.004,405.0,573.0,1.03
RV[0],3.564,1.084,1.709,5.673,0.05,0.027,472.0,614.0,1.02
delM[0],-0.0,0.094,-0.171,0.172,0.003,0.002,1100.0,920.0,1.0
"eps[0, 0]",-0.163,0.115,-0.36,0.069,0.003,0.003,1592.0,817.0,1.0
"eps[1, 0]",-0.052,0.281,-0.574,0.462,0.007,0.008,1458.0,731.0,1.0
"eps[2, 0]",0.132,0.208,-0.248,0.529,0.006,0.006,1162.0,862.0,1.0
"eps[3, 0]",-0.003,0.179,-0.325,0.352,0.005,0.005,1265.0,772.0,1.01
"eps[4, 0]",0.069,0.188,-0.287,0.422,0.005,0.007,1190.0,521.0,1.01
"eps[5, 0]",0.387,0.413,-0.333,1.209,0.014,0.011,831.0,837.0,1.0
"eps[6, 0]",0.059,0.203,-0.297,0.424,0.008,0.006,718.0,620.0,1.0
"eps[7, 0]",0.093,0.105,-0.102,0.288,0.003,0.003,922.0,757.0,1.0
"eps[8, 0]",0.188,0.192,-0.182,0.54,0.005,0.006,1697.0,697.0,1.0
"eps[9, 0]",0.087,0.047,-0.005,0.17,0.002,0.001,934.0,604.0,1.0
"eps[10, 0]",0.095,0.045,0.016,0.185,0.002,0.001,734.0,808.0,1.0
"eps[11, 0]",0.031,0.033,-0.03,0.092,0.001,0.001,930.0,820.0,1.0
"eps[12, 0]",0.103,0.034,0.041,0.166,0.001,0.001,697.0,754.0,1.0
"eps[13, 0]",0.018,0.034,-0.04,0.084,0.001,0.001,747.0,661.0,1.01
"eps[14, 0]",0.02,0.103,-0.176,0.202,0.003,0.003,1288.0,759.0,1.0
"eps[15, 0]",-0.006,0.054,-0.1,0.1,0.002,0.001,809.0,660.0,1.0
"eps[16, 0]",-0.083,0.049,-0.182,0.004,0.002,0.001,595.0,753.0,1.01
"eps[17, 0]",-0.054,0.066,-0.173,0.074,0.003,0.002,629.0,595.0,1.02
"eps[18, 0]",0.073,0.042,-0.007,0.152,0.002,0.001,713.0,761.0,1.01
"eps[19, 0]",0.22,0.043,0.145,0.305,0.001,0.001,978.0,859.0,1.0
"eps[20, 0]",-0.054,0.03,-0.111,0.004,0.001,0.001,1070.0,818.0,1.0
"eps[21, 0]",0.007,0.029,-0.048,0.057,0.001,0.001,874.0,848.0,1.0
"eps[22, 0]",-0.132,0.034,-0.199,-0.071,0.001,0.001,973.0,873.0,1.0
"eps[23, 0]",-0.029,0.141,-0.315,0.216,0.004,0.004,1432.0,886.0,1.0
"eps[24, 0]",-0.059,0.089,-0.216,0.11,0.003,0.003,1264.0,844.0,1.01
"eps[25, 0]",-0.137,0.086,-0.281,0.031,0.003,0.002,697.0,823.0,1.0
"eps[26, 0]",-0.08,0.105,-0.265,0.134,0.003,0.003,1295.0,736.0,1.0
"eps[27, 0]",-0.106,0.066,-0.232,0.015,0.003,0.002,688.0,718.0,1.0
"eps[28, 0]",0.13,0.068,-0.001,0.256,0.002,0.002,1049.0,763.0,1.0
"eps[29, 0]",-0.005,0.039,-0.072,0.073,0.001,0.001,1000.0,728.0,1.01
"eps[30, 0]",-0.018,0.033,-0.075,0.044,0.001,0.001,1011.0,714.0,1.0
"eps[31, 0]",-0.04,0.057,-0.14,0.066,0.002,0.002,658.0,799.0,1.0
"eps[32, 0]",0.184,0.196,-0.182,0.553,0.005,0.005,1512.0,953.0,1.0
"eps[33, 0]",-0.013,0.254,-0.461,0.463,0.007,0.007,1488.0,828.0,1.0
"eps[34, 0]",-0.083,0.135,-0.347,0.159,0.003,0.004,1823.0,815.0,1.01
"eps[35, 0]",-0.045,0.086,-0.217,0.112,0.002,0.003,2321.0,748.0,1.01
"eps[36, 0]",-0.127,0.054,-0.222,-0.023,0.002,0.002,1291.0,725.0,1.0
"eps[37, 0]",0.087,0.112,-0.112,0.286,0.004,0.003,638.0,882.0,1.0
"eps[38, 0]",-0.109,0.048,-0.202,-0.022,0.001,0.001,1443.0,921.0,1.0
"eps[39, 0]",-0.001,0.072,-0.131,0.136,0.003,0.002,653.0,819.0,1.0
"eps[40, 0]",-0.01,0.057,-0.122,0.099,0.002,0.002,1080.0,835.0,1.0
"eps[41, 0]",-0.328,0.36,-0.981,0.354,0.009,0.011,1516.0,832.0,1.0
"eps[42, 0]",0.106,0.171,-0.209,0.419,0.005,0.006,1329.0,825.0,1.0
"eps[43, 0]",-0.11,0.121,-0.333,0.103,0.003,0.004,1324.0,895.0,1.0
"eps[44, 0]",-0.042,0.101,-0.233,0.132,0.003,0.003,1341.0,874.0,1.0
"eps[45, 0]",0.025,0.06,-0.09,0.132,0.001,0.002,2070.0,701.0,1.0
"eps[46, 0]",0.103,0.134,-0.14,0.356,0.004,0.003,1201.0,800.0,1.0
"eps[47, 0]",-0.043,0.033,-0.103,0.017,0.001,0.001,1624.0,804.0,1.0
"eps[48, 0]",-0.074,0.064,-0.195,0.041,0.002,0.002,1104.0,834.0,1.0
"eps[49, 0]",-0.201,0.059,-0.309,-0.086,0.002,0.002,1046.0,887.0,1.0
"eps[50, 0]",0.237,0.557,-0.864,1.247,0.014,0.015,1501.0,787.0,1.0
"eps[51, 0]",-0.512,0.335,-1.097,0.153,0.008,0.011,1624.0,641.0,1.01
"eps[52, 0]",-0.257,0.151,-0.522,0.044,0.004,0.004,1174.0,685.0,1.0
"eps[53, 0]",-0.122,0.085,-0.281,0.036,0.002,0.003,1275.0,839.0,1.01
"eps_tform[0, 0]",-1.021,0.718,-2.252,0.43,0.018,0.021,1592.0,817.0,1.0
"eps_tform[0, 1]",-0.354,0.749,-1.641,1.168,0.02,0.022,1446.0,843.0,1.0
"eps_tform[0, 2]",0.623,0.646,-0.49,1.897,0.02,0.019,1064.0,861.0,1.0
"eps_tform[0, 3]",0.315,0.556,-0.759,1.308,0.014,0.017,1627.0,705.0,1.0
"eps_tform[0, 4]",-0.129,0.669,-1.391,1.161,0.018,0.024,1425.0,784.0,1.01
"eps_tform[0, 5]",0.463,0.689,-0.901,1.637,0.023,0.018,890.0,802.0,1.01
"eps_tform[0, 6]",0.46,0.36,-0.184,1.134,0.014,0.011,688.0,599.0,1.0
"eps_tform[0, 7]",0.532,0.637,-0.609,1.799,0.021,0.019,957.0,782.0,1.0
"eps_tform[0, 8]",0.965,0.838,-0.561,2.513,0.02,0.025,1748.0,793.0,1.0
"eps_tform[0, 9]",1.306,0.696,-0.09,2.494,0.022,0.018,989.0,883.0,1.0
"eps_tform[0, 10]",0.953,0.429,0.175,1.801,0.016,0.011,756.0,817.0,1.0
"eps_tform[0, 11]",0.444,0.597,-0.666,1.596,0.021,0.016,806.0,779.0,1.0
"eps_tform[0, 12]",1.301,0.604,0.071,2.315,0.021,0.017,847.0,644.0,1.0
"eps_tform[0, 13]",0.22,0.506,-0.743,1.167,0.019,0.013,705.0,905.0,1.0
"eps_tform[0, 14]",0.058,0.83,-1.387,1.644,0.023,0.024,1328.0,778.0,1.0
"eps_tform[0, 15]",0.026,0.555,-1.074,1.012,0.019,0.015,867.0,898.0,1.0
"eps_tform[0, 16]",-0.983,0.587,-2.12,0.089,0.024,0.016,589.0,836.0,1.01
"eps_tform[0, 17]",-0.467,0.693,-1.816,0.775,0.027,0.018,666.0,804.0,1.01
"eps_tform[0, 18]",1.219,0.643,0.079,2.43,0.024,0.019,730.0,651.0,1.01
"eps_tform[0, 19]",1.596,0.428,0.862,2.428,0.015,0.011,841.0,851.0,1.01
"eps_tform[0, 20]",-0.198,0.549,-1.209,0.852,0.016,0.018,1134.0,700.0,1.0
"eps_tform[0, 21]",0.022,0.514,-0.938,0.991,0.017,0.013,896.0,784.0,1.0
"eps_tform[0, 22]",-0.016,0.423,-0.822,0.769,0.013,0.012,1065.0,834.0,1.0
"eps_tform[0, 23]",0.247,0.811,-1.392,1.697,0.021,0.025,1437.0,879.0,1.0
"eps_tform[0, 24]",0.1,0.495,-0.796,1.114,0.014,0.015,1273.0,763.0,1.0
"eps_tform[0, 25]",-0.078,0.531,-1.04,0.921,0.019,0.013,809.0,870.0,1.0
