,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.208,0.072,0.083,0.342,0.003,0.002,425.0,523.0,1.01
Ds[0],34.361,0.057,34.26,34.474,0.003,0.002,471.0,558.0,1.01
RV[0],3.579,1.33,1.404,5.92,0.051,0.027,714.0,778.0,1.0
delM[0],-0.0,0.097,-0.176,0.181,0.003,0.002,958.0,965.0,1.0
"eps[0, 0]",-0.254,0.074,-0.395,-0.123,0.003,0.002,777.0,629.0,1.0
"eps[1, 0]",-0.198,0.193,-0.579,0.13,0.006,0.005,913.0,785.0,1.0
"eps[2, 0]",-0.016,0.121,-0.24,0.221,0.005,0.004,723.0,598.0,1.0
"eps[3, 0]",0.148,0.108,-0.058,0.351,0.003,0.003,998.0,782.0,1.01
"eps[4, 0]",0.675,0.097,0.475,0.841,0.003,0.003,834.0,682.0,1.0
"eps[5, 0]",0.323,0.436,-0.433,1.188,0.018,0.013,615.0,631.0,1.0
"eps[6, 0]",-0.237,0.111,-0.423,-0.019,0.005,0.004,605.0,658.0,1.0
"eps[7, 0]",-0.129,0.06,-0.244,-0.022,0.002,0.002,655.0,651.0,1.0
"eps[8, 0]",-0.154,0.092,-0.321,0.017,0.003,0.002,856.0,802.0,1.0
"eps[9, 0]",0.022,0.037,-0.048,0.091,0.002,0.001,399.0,514.0,1.0
"eps[10, 0]",0.071,0.033,0.001,0.126,0.002,0.001,398.0,686.0,1.0
"eps[11, 0]",-0.109,0.022,-0.152,-0.07,0.001,0.001,470.0,587.0,1.01
"eps[12, 0]",-0.094,0.023,-0.14,-0.057,0.001,0.001,386.0,540.0,1.0
"eps[13, 0]",0.025,0.023,-0.018,0.069,0.001,0.001,483.0,673.0,1.01
"eps[14, 0]",0.044,0.107,-0.156,0.236,0.004,0.003,830.0,691.0,1.0
"eps[15, 0]",0.027,0.048,-0.065,0.112,0.002,0.001,553.0,602.0,1.01
"eps[16, 0]",0.111,0.034,0.043,0.172,0.001,0.001,545.0,817.0,1.01
"eps[17, 0]",0.024,0.045,-0.051,0.112,0.002,0.001,594.0,817.0,1.01
"eps[18, 0]",0.104,0.034,0.04,0.167,0.001,0.001,548.0,619.0,1.0
"eps[19, 0]",0.17,0.031,0.11,0.223,0.001,0.001,786.0,733.0,1.0
"eps[20, 0]",-0.019,0.022,-0.058,0.023,0.001,0.001,529.0,751.0,1.0
"eps[21, 0]",0.145,0.019,0.111,0.183,0.001,0.001,610.0,762.0,1.0
"eps[22, 0]",0.151,0.021,0.109,0.187,0.001,0.001,561.0,695.0,1.01
"eps[23, 0]",-0.008,0.151,-0.269,0.29,0.005,0.004,756.0,823.0,1.0
"eps[24, 0]",0.074,0.073,-0.056,0.213,0.003,0.002,585.0,690.0,1.0
"eps[25, 0]",0.329,0.07,0.189,0.449,0.003,0.002,680.0,850.0,1.0
"eps[26, 0]",0.133,0.063,0.026,0.262,0.002,0.002,716.0,751.0,1.01
"eps[27, 0]",0.012,0.052,-0.089,0.1,0.002,0.001,508.0,665.0,1.0
"eps[28, 0]",0.434,0.046,0.342,0.513,0.002,0.001,693.0,817.0,1.0
"eps[29, 0]",-0.132,0.025,-0.177,-0.086,0.001,0.001,566.0,737.0,1.0
"eps[30, 0]",-0.015,0.02,-0.056,0.019,0.001,0.001,515.0,675.0,1.0
"eps[31, 0]",-0.113,0.043,-0.192,-0.034,0.002,0.001,405.0,548.0,1.01
"eps[32, 0]",0.079,0.17,-0.246,0.392,0.006,0.005,726.0,777.0,1.0
"eps[33, 0]",-0.457,0.119,-0.675,-0.231,0.004,0.003,870.0,820.0,1.0
"eps[34, 0]",-0.119,0.104,-0.311,0.067,0.004,0.003,684.0,879.0,1.0
"eps[35, 0]",-0.119,0.065,-0.248,-0.008,0.002,0.002,1087.0,976.0,1.0
"eps[36, 0]",0.101,0.035,0.036,0.168,0.001,0.001,668.0,629.0,1.0
"eps[37, 0]",0.163,0.092,-0.013,0.324,0.004,0.002,456.0,706.0,1.0
"eps[38, 0]",0.056,0.028,0.0,0.109,0.001,0.001,565.0,725.0,1.0
"eps[39, 0]",0.056,0.061,-0.044,0.184,0.003,0.002,454.0,603.0,1.0
"eps[40, 0]",0.12,0.037,0.051,0.187,0.002,0.001,557.0,663.0,1.0
"eps[41, 0]",0.605,0.259,0.125,1.063,0.007,0.006,1243.0,855.0,1.0
"eps[42, 0]",-0.172,0.118,-0.375,0.064,0.003,0.003,1165.0,967.0,1.0
"eps[43, 0]",0.146,0.092,-0.013,0.325,0.004,0.002,625.0,700.0,1.0
"eps[44, 0]",0.005,0.084,-0.159,0.152,0.003,0.002,599.0,762.0,1.0
"eps[45, 0]",0.015,0.055,-0.095,0.106,0.001,0.002,1521.0,830.0,1.0
"eps[46, 0]",-0.096,0.152,-0.379,0.189,0.005,0.004,1011.0,843.0,1.0
"eps[47, 0]",-0.019,0.032,-0.079,0.039,0.001,0.001,1305.0,949.0,1.0
"eps[48, 0]",-0.19,0.055,-0.3,-0.095,0.002,0.001,800.0,884.0,1.0
"eps[49, 0]",0.202,0.046,0.111,0.285,0.002,0.001,848.0,664.0,1.0
"eps[50, 0]",-1.389,0.637,-2.481,-0.146,0.022,0.016,869.0,825.0,1.0
"eps[51, 0]",0.651,0.254,0.2,1.131,0.009,0.006,713.0,673.0,1.0
"eps[52, 0]",0.269,0.137,0.017,0.536,0.004,0.004,950.0,714.0,1.0
"eps[53, 0]",0.108,0.07,-0.025,0.234,0.002,0.002,881.0,818.0,1.0
"eps_tform[0, 0]",-1.588,0.461,-2.473,-0.768,0.016,0.014,777.0,629.0,1.0
"eps_tform[0, 1]",-0.878,0.498,-1.918,-0.068,0.016,0.013,922.0,758.0,1.0
"eps_tform[0, 2]",-0.165,0.305,-0.696,0.408,0.012,0.008,643.0,652.0,1.0
"eps_tform[0, 3]",1.263,0.324,0.624,1.809,0.011,0.009,930.0,876.0,1.0
"eps_tform[0, 4]",2.373,0.289,1.822,2.905,0.007,0.012,1658.0,792.0,1.01
"eps_tform[0, 5]",0.127,0.712,-1.253,1.397,0.027,0.019,680.0,777.0,1.0
"eps_tform[0, 6]",-0.368,0.134,-0.615,-0.117,0.006,0.004,532.0,701.0,1.0
"eps_tform[0, 7]",-0.932,0.337,-1.553,-0.282,0.013,0.009,706.0,794.0,1.0
"eps_tform[0, 8]",-0.71,0.341,-1.408,-0.136,0.01,0.008,1147.0,858.0,1.0
"eps_tform[0, 9]",0.069,0.543,-1.088,0.979,0.027,0.017,393.0,590.0,1.0
"eps_tform[0, 10]",0.779,0.304,0.174,1.318,0.015,0.008,396.0,684.0,1.0
"eps_tform[0, 11]",-1.997,0.341,-2.589,-1.328,0.016,0.01,448.0,619.0,1.0
"eps_tform[0, 12]",-1.731,0.332,-2.37,-1.148,0.015,0.008,487.0,569.0,1.0
"eps_tform[0, 13]",1.37,0.358,0.679,2.01,0.017,0.01,454.0,655.0,1.01
"eps_tform[0, 14]",0.402,0.862,-1.101,2.074,0.029,0.024,888.0,710.0,1.0
"eps_tform[0, 15]",-0.037,0.465,-0.872,0.85,0.02,0.014,542.0,665.0,1.01
"eps_tform[0, 16]",0.507,0.397,-0.294,1.226,0.017,0.01,533.0,868.0,1.01
"eps_tform[0, 17]",0.415,0.511,-0.487,1.375,0.02,0.014,645.0,719.0,1.01
"eps_tform[0, 18]",2.019,0.505,1.197,3.059,0.022,0.015,549.0,745.0,1.0
"eps_tform[0, 19]",2.186,0.317,1.594,2.8,0.013,0.01,619.0,590.0,1.01
"eps_tform[0, 20]",0.991,0.411,0.167,1.668,0.019,0.011,450.0,687.0,1.0
"eps_tform[0, 21]",1.885,0.396,1.183,2.621,0.017,0.011,560.0,527.0,1.01
"eps_tform[0, 22]",0.097,0.287,-0.513,0.569,0.013,0.008,492.0,710.0,1.01
"eps_tform[0, 23]",-0.506,0.845,-2.129,1.018,0.029,0.026,854.0,712.0,1.0
"eps_tform[0, 24]",-0.942,0.334,-1.637,-0.363,0.014,0.009,598.0,857.0,1.0
"eps_tform[0, 25]",1.284,0.461,0.457,2.192,0.017,0.013,775.0,806.0,1.0
"eps_tform[0, 26]",0.77,0.424,0.012,1.594,0.013,0.011,1079.0,811.0,1.0
"eps_tform[0, 27]",-1.243,0.499,-2.182,-0.379,0.022,0.014,537.0,667.0,1.0
"eps_tform[0, 28]",4.357,0.388,3.63,5.065,0.014,0.009,722.0,875.0,1.0
"eps_tform[0, 29]",-0.374,0.288,-0.881,0.158,0.011,0.007,670.0,833.0,1.0
"eps_tform[0, 30]",0.209,0.373,-0.411,0.991,0.016,0.01,575.0,779.0,1.0
"eps_tform[0, 31]",0.559,0.351,-0.135,1.195,0.012,0.01,805.0,605.0,1.0
"eps_tform[0, 32]",-0.2,0.845,-1.931,1.299,0.025,0.023,1120.0,715.0,1.0
"eps_tform[0, 33]",0.081,0.441,-0.804,0.814,0.015,0.013,852.0,716.0,1.0
"eps_tform[0, 34]",-0.767,0.63,-1.994,0.334,0.02,0.019,1002.0,867.0,1.01
"eps_tform[0, 35]",-0.678,0.753,-2.097,0.678,0.02,0.026,1463.0,744.0,1.0
"eps_tform[0, 36]",-0.858,0.504,-1.795,0.149,0.02,0.016,613.0,759.0,1.0
"eps_tform[0, 37]",-0.994,0.535,-1.978,-0.04,0.023,0.016,524.0,699.0,1.01
"eps_tform[0, 38]",-0.252,0.471,-1.121,0.62,0.018,0.014,685.0,650.0,1.01
"eps_tform[0, 39]",-0.873,0.459,-1.7,-0.019,0.018,0.014,671.0,712.0,1.0
"eps_tform[0, 40]",0.802,0.401,0.017,1.52,0.015,0.01,733.0,565.0,1.01
"eps_tform[0, 41]",0.639,0.842,-0.853,2.222,0.022,0.024,1490.0,869.0,1.0
"eps_tform[0, 42]",-1.411,0.653,-2.596,-0.137,0.02,0.018,1105.0,884.0,1.0
"eps_tform[0, 43]",0.248,0.773,-1.208,1.687,0.023,0.028,1187.0,755.0,1.0
"eps_tform[0, 44]",-0.958,0.797,-2.29,0.553,0.023,0.021,1249.0,701.0,1.0
"eps_tform[0, 45]",0.621,0.95,-1.111,2.384,0.022,0.032,1823.0,780.0,1.0
"eps_tform[0, 46]",-0.82,0.657,-2.16,0.325,0.02,0.018,1097.0,884.0,1.0
"eps_tform[0, 47]",-0.657,0.918,-2.334,1.023,0.022,0.027,1724.0,912.0,1.0
"eps_tform[0, 48]",-1.458,0.637,-2.703,-0.324,0.017,0.018,1354.0,935.0,1.0
"eps_tform[0, 49]",0.867,0.694,-0.457,2.138,0.023,0.022,897.0,725.0,1.01
"eps_tform[0, 50]",-0.402,1.016,-2.259,1.529,0.023,0.034,1963.0,785.0,1.01
"eps_tform[0, 51]",-1.378,0.764,-2.808,-0.026,0.025,0.02,943.0,932.0,1.0
"eps_tform[0, 52]",0.714,0.979,-0.962,2.717,0.024,0.035,1688.0,581.0,1.02
"eps_tform[0, 53]",0.212,0.944,-1.424,2.081,0.021,0.031,1989.0,714.0,1.0
mu[0],34.361,0.11,34.145,34.555,0.004,0.003,807.0,988.0,1.0
peak_MJD[0],54183.051,0.109,54182.862,54183.247,0.004,0.003,673.0,776.0,1.0
theta[0],0.55,0.239,0.139,1.019,0.012,0.007,394.0,536.0,1.01
tmax[0],1.866,0.107,1.68,2.059,0.004,0.003,673.0,776.0,1.0
