,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.195,0.072,0.074,0.322,0.003,0.002,494.0,679.0,1.01
Ds[0],34.717,0.062,34.609,34.842,0.003,0.002,522.0,692.0,1.01
RV[0],2.752,1.297,1.003,5.227,0.051,0.03,649.0,822.0,1.0
delM[0],-0.004,0.098,-0.178,0.181,0.003,0.002,982.0,1027.0,1.0
"eps[0, 0]",-0.033,0.074,-0.173,0.102,0.003,0.002,512.0,559.0,1.0
"eps[1, 0]",0.058,0.147,-0.218,0.346,0.004,0.004,1294.0,838.0,1.0
"eps[2, 0]",-0.166,0.107,-0.345,0.052,0.004,0.003,917.0,736.0,1.0
"eps[3, 0]",-0.111,0.082,-0.255,0.044,0.003,0.002,976.0,862.0,1.0
"eps[4, 0]",-0.236,0.077,-0.379,-0.087,0.002,0.002,1139.0,835.0,1.0
"eps[5, 0]",-0.501,0.494,-1.441,0.443,0.015,0.012,1111.0,916.0,1.0
"eps[6, 0]",-0.062,0.285,-0.587,0.458,0.009,0.007,934.0,754.0,1.0
"eps[7, 0]",0.089,0.099,-0.1,0.266,0.003,0.003,1085.0,833.0,1.0
"eps[8, 0]",0.24,0.189,-0.097,0.605,0.005,0.006,1324.0,881.0,1.0
"eps[9, 0]",-0.052,0.039,-0.127,0.019,0.002,0.001,463.0,705.0,1.0
"eps[10, 0]",0.046,0.034,-0.018,0.106,0.001,0.001,524.0,722.0,1.0
"eps[11, 0]",-0.029,0.025,-0.07,0.02,0.001,0.001,625.0,772.0,1.0
"eps[12, 0]",0.002,0.023,-0.045,0.041,0.001,0.001,432.0,684.0,1.0
"eps[13, 0]",-0.016,0.027,-0.067,0.033,0.001,0.001,694.0,553.0,1.01
"eps[14, 0]",-0.188,0.103,-0.388,-0.015,0.003,0.003,1038.0,718.0,1.0
"eps[15, 0]",-0.001,0.056,-0.102,0.104,0.002,0.002,617.0,633.0,1.0
"eps[16, 0]",0.081,0.042,0.004,0.161,0.002,0.001,788.0,771.0,1.0
"eps[17, 0]",0.062,0.054,-0.034,0.164,0.002,0.001,1011.0,794.0,1.0
"eps[18, 0]",0.018,0.038,-0.049,0.091,0.001,0.001,726.0,427.0,1.0
"eps[19, 0]",0.091,0.041,0.017,0.165,0.001,0.001,820.0,877.0,1.0
"eps[20, 0]",-0.059,0.025,-0.107,-0.011,0.001,0.001,917.0,637.0,1.0
"eps[21, 0]",-0.007,0.023,-0.049,0.038,0.001,0.001,682.0,809.0,1.0
"eps[22, 0]",-0.119,0.026,-0.171,-0.074,0.001,0.001,777.0,830.0,1.0
"eps[23, 0]",0.077,0.129,-0.171,0.309,0.004,0.003,1075.0,845.0,1.01
"eps[24, 0]",-0.189,0.077,-0.328,-0.039,0.002,0.002,960.0,793.0,1.0
"eps[25, 0]",0.076,0.067,-0.04,0.208,0.002,0.002,804.0,882.0,1.0
"eps[26, 0]",0.01,0.096,-0.154,0.193,0.003,0.003,830.0,673.0,1.0
"eps[27, 0]",0.052,0.075,-0.078,0.196,0.003,0.002,684.0,790.0,1.0
"eps[28, 0]",0.202,0.078,0.041,0.338,0.003,0.002,943.0,785.0,1.0
"eps[29, 0]",-0.058,0.037,-0.125,0.012,0.001,0.001,725.0,786.0,1.0
"eps[30, 0]",0.041,0.027,-0.017,0.085,0.001,0.001,759.0,836.0,1.0
"eps[31, 0]",-0.197,0.046,-0.283,-0.114,0.002,0.001,513.0,676.0,1.0
"eps[32, 0]",-0.204,0.164,-0.518,0.098,0.004,0.004,1580.0,876.0,1.0
"eps[33, 0]",-0.162,0.082,-0.299,0.006,0.003,0.002,587.0,672.0,1.0
