,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.15,0.067,0.038,0.282,0.003,0.003,423.0,444.0,1.01
Ds[0],35.613,0.058,35.511,35.721,0.003,0.002,504.0,536.0,1.01
RV[0],3.338,1.426,1.206,5.846,0.049,0.027,929.0,862.0,1.0
delM[0],-0.001,0.098,-0.192,0.167,0.003,0.002,922.0,888.0,1.0
"eps[0, 0]",-0.249,0.049,-0.342,-0.159,0.002,0.001,654.0,675.0,1.01
"eps[1, 0]",-0.374,0.086,-0.523,-0.204,0.003,0.002,721.0,864.0,1.0
"eps[2, 0]",0.045,0.083,-0.11,0.199,0.003,0.002,1033.0,843.0,1.01
"eps[3, 0]",-0.368,0.058,-0.484,-0.266,0.002,0.001,659.0,883.0,1.0
"eps[4, 0]",-0.163,0.075,-0.298,-0.021,0.003,0.002,861.0,627.0,1.0
"eps[5, 0]",-0.006,0.39,-0.734,0.694,0.017,0.011,521.0,490.0,1.0
"eps[6, 0]",-0.224,0.15,-0.497,0.06,0.007,0.005,519.0,508.0,1.0
"eps[7, 0]",-0.052,0.092,-0.206,0.133,0.004,0.003,567.0,716.0,1.0
"eps[8, 0]",-0.183,0.121,-0.404,0.045,0.005,0.003,644.0,791.0,1.0
"eps[9, 0]",-0.081,0.039,-0.153,-0.013,0.002,0.001,587.0,621.0,1.01
"eps[10, 0]",-0.057,0.034,-0.119,0.006,0.001,0.001,808.0,766.0,1.0
"eps[11, 0]",-0.087,0.03,-0.142,-0.03,0.001,0.001,851.0,706.0,1.0
"eps[12, 0]",-0.068,0.023,-0.109,-0.023,0.001,0.001,766.0,814.0,1.01
"eps[13, 0]",-0.008,0.031,-0.064,0.05,0.001,0.001,786.0,850.0,1.0
"eps[14, 0]",0.042,0.097,-0.145,0.22,0.003,0.003,847.0,806.0,1.0
"eps[15, 0]",-0.073,0.059,-0.184,0.039,0.002,0.002,614.0,787.0,1.0
"eps[16, 0]",0.078,0.047,-0.01,0.166,0.002,0.001,862.0,562.0,1.01
"eps[17, 0]",-0.07,0.07,-0.2,0.06,0.002,0.002,1169.0,795.0,1.0
"eps[18, 0]",-0.029,0.036,-0.092,0.038,0.001,0.001,558.0,489.0,1.01
"eps[19, 0]",-0.014,0.033,-0.073,0.052,0.001,0.001,817.0,794.0,1.0
"eps[20, 0]",0.103,0.028,0.051,0.15,0.001,0.001,965.0,665.0,1.0
"eps[21, 0]",0.094,0.023,0.054,0.138,0.001,0.001,869.0,811.0,1.0
"eps[22, 0]",0.121,0.029,0.073,0.183,0.001,0.001,985.0,865.0,1.0
"eps[23, 0]",-0.287,0.122,-0.536,-0.075,0.004,0.003,912.0,901.0,1.0
"eps[24, 0]",0.27,0.081,0.116,0.405,0.003,0.002,743.0,812.0,1.01
"eps[25, 0]",0.095,0.106,-0.096,0.299,0.003,0.003,990.0,805.0,1.01
"eps[26, 0]",0.097,0.078,-0.039,0.248,0.003,0.002,818.0,904.0,1.0
"eps[27, 0]",-0.022,0.052,-0.117,0.079,0.002,0.002,582.0,776.0,1.0
"eps[28, 0]",0.112,0.051,0.027,0.213,0.002,0.001,945.0,849.0,1.0
"eps[29, 0]",-0.07,0.033,-0.132,-0.011,0.001,0.001,782.0,744.0,1.0
"eps[30, 0]",0.069,0.026,0.017,0.115,0.001,0.001,921.0,828.0,1.0
"eps[31, 0]",-0.084,0.046,-0.169,0.008,0.002,0.001,845.0,884.0,1.0
"eps[32, 0]",0.135,0.165,-0.193,0.419,0.005,0.004,933.0,759.0,1.0
"eps[33, 0]",-0.245,0.085,-0.404,-0.085,0.003,0.002,776.0,916.0,1.0
"eps[34, 0]",0.01,0.098,-0.17,0.19,0.003,0.003,976.0,820.0,1.0
"eps[35, 0]",0.028,0.059,-0.082,0.141,0.002,0.001,826.0,814.0,1.0
"eps[36, 0]",0.087,0.039,0.016,0.161,0.001,0.001,717.0,837.0,1.01
"eps[37, 0]",0.0,0.088,-0.168,0.156,0.003,0.002,700.0,821.0,1.0
"eps[38, 0]",0.192,0.039,0.121,0.263,0.001,0.001,733.0,715.0,1.0
"eps[39, 0]",0.138,0.058,0.025,0.245,0.002,0.002,644.0,649.0,1.0
"eps[40, 0]",0.105,0.047,0.013,0.186,0.002,0.001,726.0,764.0,1.0
"eps[41, 0]",0.443,0.307,-0.169,0.999,0.011,0.011,847.0,612.0,1.01
"eps[42, 0]",-0.303,0.118,-0.523,-0.083,0.004,0.003,745.0,635.0,1.0
"eps[43, 0]",0.233,0.115,0.022,0.443,0.004,0.003,1049.0,816.0,1.0
"eps[44, 0]",0.02,0.09,-0.145,0.194,0.003,0.003,1224.0,714.0,1.0
"eps[45, 0]",-0.016,0.055,-0.11,0.1,0.001,0.002,1437.0,626.0,1.01
"eps[46, 0]",-0.209,0.125,-0.446,0.026,0.004,0.004,995.0,826.0,1.0
"eps[47, 0]",0.043,0.03,-0.017,0.097,0.001,0.001,1353.0,910.0,1.0
"eps[48, 0]",-0.08,0.056,-0.179,0.032,0.002,0.001,693.0,936.0,1.0
"eps[49, 0]",0.096,0.057,-0.006,0.209,0.002,0.001,844.0,881.0,1.0
"eps[50, 0]",-1.728,0.559,-2.657,-0.637,0.022,0.024,782.0,606.0,1.0
"eps[51, 0]",1.056,0.28,0.529,1.598,0.011,0.012,674.0,533.0,1.0
"eps[52, 0]",0.076,0.134,-0.14,0.357,0.004,0.004,1412.0,847.0,1.0
