,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.715,0.108,0.506,0.907,0.008,0.004,199.0,247.0,1.02
Ds[0],32.28,0.095,32.102,32.453,0.007,0.005,168.0,273.0,1.02
RV[0],1.68,0.354,1.043,2.294,0.026,0.017,168.0,223.0,1.02
delM[0],0.005,0.1,-0.189,0.185,0.003,0.002,899.0,846.0,1.0
"eps[0, 0]",-0.069,0.094,-0.253,0.089,0.004,0.002,623.0,821.0,1.0
"eps[1, 0]",-0.036,0.263,-0.555,0.461,0.013,0.008,436.0,658.0,1.01
"eps[2, 0]",0.053,0.12,-0.179,0.278,0.005,0.003,597.0,637.0,1.01
"eps[3, 0]",0.124,0.166,-0.174,0.442,0.008,0.005,482.0,752.0,1.0
"eps[4, 0]",0.042,0.101,-0.15,0.22,0.004,0.002,547.0,718.0,1.01
"eps[5, 0]",0.678,0.552,-0.394,1.617,0.024,0.016,529.0,559.0,1.02
"eps[6, 0]",0.001,0.218,-0.421,0.39,0.013,0.008,258.0,313.0,1.02
"eps[7, 0]",0.164,0.055,0.051,0.261,0.003,0.002,292.0,578.0,1.02
"eps[8, 0]",-0.076,0.069,-0.205,0.051,0.004,0.002,345.0,558.0,1.01
"eps[9, 0]",0.075,0.039,-0.006,0.145,0.002,0.001,300.0,482.0,1.01
"eps[10, 0]",0.156,0.041,0.085,0.23,0.002,0.001,397.0,660.0,1.01
"eps[11, 0]",0.002,0.023,-0.041,0.041,0.001,0.001,340.0,651.0,1.01
"eps[12, 0]",0.016,0.031,-0.041,0.072,0.002,0.001,331.0,536.0,1.01
"eps[13, 0]",-0.003,0.03,-0.056,0.056,0.002,0.001,164.0,329.0,1.01
"eps[14, 0]",-0.126,0.098,-0.297,0.074,0.003,0.003,922.0,690.0,1.01
"eps[15, 0]",0.119,0.075,-0.033,0.252,0.004,0.002,406.0,553.0,1.01
"eps[16, 0]",0.004,0.035,-0.061,0.069,0.002,0.001,213.0,350.0,1.01
"eps[17, 0]",0.009,0.046,-0.082,0.096,0.003,0.002,210.0,369.0,1.01
"eps[18, 0]",-0.046,0.038,-0.12,0.025,0.002,0.001,486.0,616.0,1.0
"eps[19, 0]",0.124,0.032,0.065,0.182,0.001,0.001,658.0,900.0,1.0
"eps[20, 0]",-0.072,0.023,-0.113,-0.027,0.001,0.001,277.0,585.0,1.02
"eps[21, 0]",-0.046,0.023,-0.085,-0.0,0.001,0.001,300.0,533.0,1.01
"eps[22, 0]",-0.159,0.029,-0.215,-0.106,0.002,0.001,144.0,211.0,1.02
"eps[23, 0]",-0.233,0.131,-0.492,-0.001,0.005,0.004,703.0,653.0,1.0
"eps[24, 0]",0.217,0.119,-0.028,0.422,0.003,0.004,1384.0,572.0,1.01
"eps[25, 0]",-0.015,0.042,-0.09,0.062,0.002,0.001,290.0,567.0,1.0
"eps[26, 0]",0.06,0.05,-0.04,0.15,0.003,0.002,218.0,430.0,1.01
"eps[27, 0]",-0.102,0.05,-0.205,-0.016,0.002,0.001,421.0,708.0,1.01
"eps[28, 0]",0.32,0.042,0.239,0.398,0.002,0.001,451.0,790.0,1.01
"eps[29, 0]",-0.092,0.025,-0.142,-0.051,0.001,0.001,318.0,595.0,1.02
"eps[30, 0]",-0.018,0.023,-0.06,0.025,0.001,0.001,234.0,529.0,1.01
"eps[31, 0]",-0.212,0.041,-0.293,-0.136,0.002,0.001,285.0,481.0,1.01
"eps[32, 0]",0.469,0.164,0.164,0.766,0.006,0.005,664.0,540.0,1.0
"eps[33, 0]",-0.092,0.065,-0.229,0.017,0.004,0.002,264.0,481.0,1.01
"eps[34, 0]",0.076,0.057,-0.032,0.178,0.004,0.002,235.0,362.0,1.02
"eps[35, 0]",-0.111,0.054,-0.212,-0.014,0.004,0.002,181.0,347.0,1.02
"eps[36, 0]",0.095,0.038,0.027,0.169,0.002,0.001,382.0,434.0,1.01
"eps[37, 0]",-0.1,0.084,-0.257,0.056,0.005,0.002,301.0,544.0,1.01
"eps[38, 0]",0.039,0.027,-0.012,0.086,0.002,0.001,272.0,521.0,1.03
"eps[39, 0]",-0.264,0.059,-0.375,-0.158,0.003,0.002,288.0,583.0,1.01
"eps[40, 0]",-0.11,0.041,-0.182,-0.026,0.003,0.001,186.0,312.0,1.03
"eps[41, 0]",-1.394,0.232,-1.781,-0.954,0.01,0.007,599.0,748.0,1.01
"eps[42, 0]",0.33,0.139,0.082,0.586,0.004,0.003,1149.0,900.0,1.0
"eps[43, 0]",-0.434,0.042,-0.509,-0.357,0.002,0.001,325.0,543.0,1.0
"eps[44, 0]",-0.107,0.063,-0.225,0.003,0.004,0.002,310.0,624.0,1.0
"eps[45, 0]",0.092,0.053,-0.007,0.184,0.002,0.002,1077.0,698.0,1.0
"eps[46, 0]",0.003,0.11,-0.219,0.202,0.004,0.003,845.0,756.0,1.0
"eps[47, 0]",0.025,0.027,-0.023,0.078,0.001,0.001,689.0,663.0,1.0
"eps[48, 0]",-0.056,0.051,-0.157,0.034,0.002,0.002,432.0,616.0,1.02
"eps[49, 0]",-0.059,0.054,-0.168,0.033,0.002,0.002,484.0,630.0,1.0
"eps[50, 0]",1.304,0.527,0.353,2.345,0.02,0.017,716.0,731.0,1.01
"eps[51, 0]",-0.321,0.27,-0.798,0.183,0.009,0.007,899.0,754.0,1.0
"eps[52, 0]",0.003,0.132,-0.274,0.219,0.004,0.004,908.0,730.0,1.0
"eps[53, 0]",-0.106,0.075,-0.233,0.045,0.003,0.003,702.0,588.0,1.0
"eps_tform[0, 0]",-0.435,0.586,-1.584,0.557,0.023,0.014,623.0,821.0,1.0
"eps_tform[0, 1]",-0.189,0.665,-1.435,1.152,0.032,0.02,449.0,671.0,1.01
"eps_tform[0, 2]",0.231,0.317,-0.347,0.807,0.012,0.009,685.0,847.0,1.0
"eps_tform[0, 3]",0.665,0.625,-0.504,1.819,0.025,0.019,596.0,689.0,1.0
"eps_tform[0, 4]",-0.14,0.42,-0.922,0.659,0.018,0.012,557.0,637.0,1.0
"eps_tform[0, 5]",0.864,0.873,-0.849,2.412,0.034,0.023,655.0,691.0,1.02
"eps_tform[0, 6]",0.309,0.437,-0.467,1.179,0.028,0.016,252.0,341.0,1.01
"eps_tform[0, 7]",0.931,0.329,0.275,1.513,0.02,0.011,265.0,526.0,1.02
"eps_tform[0, 8]",-0.109,0.259,-0.578,0.393,0.017,0.01,225.0,256.0,1.02
"eps_tform[0, 9]",1.005,0.568,-0.041,2.105,0.032,0.019,311.0,408.0,1.01
"eps_tform[0, 10]",1.482,0.394,0.802,2.232,0.02,0.011,377.0,604.0,1.0
