,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.789,0.119,0.576,1.021,0.008,0.004,229.0,502.0,1.01
Ds[0],34.035,0.109,33.848,34.249,0.007,0.004,235.0,376.0,1.01
RV[0],2.531,0.643,1.478,3.786,0.049,0.028,184.0,464.0,1.01
delM[0],-0.002,0.1,-0.193,0.186,0.003,0.002,868.0,991.0,1.0
"eps[0, 0]",-0.102,0.051,-0.2,-0.01,0.002,0.002,484.0,750.0,1.01
"eps[1, 0]",0.206,0.081,0.056,0.359,0.005,0.002,314.0,401.0,1.02
"eps[2, 0]",-0.155,0.045,-0.24,-0.074,0.002,0.001,439.0,751.0,1.02
"eps[3, 0]",0.031,0.052,-0.055,0.142,0.003,0.002,251.0,431.0,1.02
"eps[4, 0]",-0.253,0.038,-0.331,-0.187,0.003,0.001,177.0,629.0,1.02
"eps[5, 0]",0.185,0.471,-0.713,1.015,0.019,0.014,630.0,675.0,1.0
"eps[6, 0]",0.051,0.122,-0.186,0.276,0.005,0.003,657.0,738.0,1.01
"eps[7, 0]",0.162,0.079,0.009,0.304,0.003,0.002,743.0,841.0,1.0
"eps[8, 0]",-0.496,0.129,-0.719,-0.241,0.004,0.004,960.0,737.0,1.01
"eps[9, 0]",0.046,0.043,-0.03,0.135,0.002,0.001,321.0,381.0,1.01
"eps[10, 0]",0.099,0.032,0.042,0.162,0.002,0.001,342.0,635.0,1.01
"eps[11, 0]",0.022,0.021,-0.02,0.061,0.001,0.001,297.0,653.0,1.02
"eps[12, 0]",0.031,0.025,-0.013,0.079,0.002,0.001,154.0,252.0,1.03
"eps[13, 0]",-0.018,0.028,-0.074,0.031,0.002,0.001,153.0,427.0,1.02
"eps[14, 0]",-0.031,0.107,-0.22,0.169,0.005,0.003,392.0,571.0,1.01
"eps[15, 0]",-0.079,0.044,-0.162,-0.0,0.002,0.001,375.0,388.0,1.01
"eps[16, 0]",0.03,0.034,-0.037,0.095,0.002,0.001,276.0,310.0,1.0
"eps[17, 0]",-0.029,0.054,-0.138,0.065,0.003,0.002,324.0,607.0,1.01
"eps[18, 0]",-0.052,0.04,-0.132,0.02,0.002,0.001,444.0,564.0,1.0
"eps[19, 0]",0.117,0.031,0.058,0.173,0.001,0.001,616.0,788.0,1.0
"eps[20, 0]",0.014,0.025,-0.035,0.058,0.001,0.001,298.0,684.0,1.01
"eps[21, 0]",0.032,0.022,-0.01,0.072,0.001,0.001,277.0,550.0,1.01
"eps[22, 0]",0.021,0.029,-0.033,0.074,0.002,0.001,161.0,322.0,1.01
"eps[23, 0]",-0.267,0.194,-0.624,0.105,0.008,0.006,575.0,556.0,1.0
"eps[24, 0]",0.184,0.086,0.029,0.358,0.005,0.003,356.0,551.0,1.01
"eps[25, 0]",-0.074,0.046,-0.157,0.008,0.002,0.001,505.0,705.0,1.01
"eps[26, 0]",-0.05,0.059,-0.161,0.06,0.003,0.002,416.0,352.0,1.0
"eps[27, 0]",-0.122,0.053,-0.221,-0.025,0.002,0.001,469.0,722.0,1.01
"eps[28, 0]",-0.081,0.046,-0.164,0.009,0.002,0.001,547.0,586.0,1.0
"eps[29, 0]",0.024,0.03,-0.028,0.081,0.002,0.001,351.0,659.0,1.01
"eps[30, 0]",0.088,0.025,0.044,0.135,0.002,0.001,153.0,331.0,1.02
"eps[31, 0]",0.209,0.043,0.12,0.281,0.003,0.001,239.0,565.0,1.02
"eps[32, 0]",0.514,0.243,0.013,0.917,0.012,0.007,419.0,732.0,1.01
"eps[33, 0]",0.127,0.089,-0.05,0.285,0.003,0.003,850.0,754.0,1.0
"eps[34, 0]",0.515,0.088,0.358,0.691,0.004,0.002,394.0,560.0,1.01
"eps[35, 0]",-0.001,0.067,-0.135,0.113,0.003,0.002,629.0,602.0,1.0
"eps[36, 0]",-0.084,0.044,-0.162,0.001,0.002,0.001,532.0,697.0,1.0
"eps[37, 0]",-0.041,0.088,-0.188,0.141,0.005,0.002,340.0,507.0,1.02
"eps[38, 0]",-0.005,0.031,-0.058,0.055,0.002,0.001,281.0,614.0,1.01
"eps[39, 0]",-0.044,0.063,-0.151,0.085,0.004,0.002,254.0,424.0,1.02
"eps[40, 0]",0.014,0.039,-0.059,0.088,0.003,0.002,193.0,312.0,1.02
"eps[41, 0]",-0.476,0.283,-1.012,0.037,0.01,0.007,813.0,871.0,1.0
"eps[42, 0]",0.189,0.089,0.038,0.368,0.003,0.003,727.0,549.0,1.0
"eps[43, 0]",0.077,0.059,-0.042,0.18,0.003,0.001,347.0,747.0,1.01
"eps[44, 0]",-0.106,0.081,-0.262,0.043,0.004,0.002,358.0,517.0,1.01
"eps[45, 0]",-0.038,0.056,-0.139,0.073,0.001,0.002,1459.0,690.0,1.01
"eps[46, 0]",0.129,0.167,-0.174,0.444,0.004,0.005,1406.0,810.0,1.0
"eps[47, 0]",-0.035,0.034,-0.094,0.031,0.001,0.001,1015.0,778.0,1.0
"eps[48, 0]",-0.17,0.068,-0.299,-0.048,0.002,0.002,869.0,780.0,1.01
"eps[49, 0]",-0.061,0.067,-0.175,0.069,0.002,0.002,769.0,660.0,1.0
"eps[50, 0]",-0.202,0.612,-1.292,0.941,0.022,0.015,754.0,753.0,1.0
