,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.615,0.076,0.467,0.747,0.003,0.002,531.0,676.0,1.0
Ds[0],33.848,0.062,33.723,33.954,0.003,0.002,503.0,702.0,1.01
RV[0],5.084,0.736,3.705,6.0,0.027,0.03,929.0,613.0,1.0
delM[0],0.004,0.094,-0.162,0.184,0.003,0.002,992.0,1056.0,1.0
"eps[0, 0]",0.819,0.121,0.596,1.048,0.004,0.003,809.0,866.0,1.0
"eps[1, 0]",2.3,0.256,1.802,2.74,0.008,0.007,1069.0,876.0,1.01
"eps[2, 0]",-0.18,0.184,-0.538,0.139,0.006,0.006,834.0,701.0,1.01
"eps[3, 0]",2.225,0.139,1.98,2.498,0.004,0.004,1308.0,941.0,1.01
"eps[4, 0]",0.803,0.179,0.439,1.105,0.007,0.005,673.0,656.0,1.01
"eps[5, 0]",-1.261,0.464,-2.11,-0.406,0.015,0.014,895.0,658.0,1.0
"eps[6, 0]",1.347,0.362,0.672,2.024,0.011,0.012,1106.0,677.0,1.0
"eps[7, 0]",0.353,0.132,0.102,0.595,0.004,0.004,1129.0,918.0,1.0
"eps[8, 0]",0.669,0.191,0.345,1.031,0.006,0.005,993.0,787.0,1.0
"eps[9, 0]",0.099,0.03,0.04,0.152,0.001,0.001,666.0,690.0,1.0
"eps[10, 0]",0.261,0.042,0.186,0.341,0.002,0.001,757.0,835.0,1.01
"eps[11, 0]",0.111,0.025,0.061,0.152,0.001,0.001,720.0,823.0,1.0
"eps[12, 0]",0.262,0.027,0.217,0.315,0.001,0.001,737.0,817.0,1.0
"eps[13, 0]",-0.073,0.025,-0.121,-0.026,0.001,0.001,724.0,690.0,1.0
"eps[14, 0]",-0.259,0.088,-0.422,-0.097,0.003,0.002,940.0,863.0,1.0
"eps[15, 0]",-0.501,0.049,-0.584,-0.402,0.002,0.001,951.0,820.0,1.0
"eps[16, 0]",-0.449,0.046,-0.533,-0.36,0.002,0.001,713.0,811.0,1.01
"eps[17, 0]",-0.096,0.069,-0.225,0.027,0.002,0.002,1198.0,757.0,1.0
"eps[18, 0]",-0.184,0.031,-0.239,-0.127,0.001,0.001,726.0,765.0,1.0
"eps[19, 0]",-0.135,0.026,-0.182,-0.083,0.001,0.001,526.0,716.0,1.0
"eps[20, 0]",-0.271,0.019,-0.312,-0.241,0.001,0.0,731.0,861.0,1.0
"eps[21, 0]",-0.237,0.017,-0.268,-0.205,0.001,0.0,562.0,690.0,1.0
"eps[22, 0]",-0.435,0.02,-0.471,-0.4,0.001,0.001,632.0,700.0,1.0
"eps[23, 0]",0.825,0.101,0.623,1.006,0.004,0.003,580.0,830.0,1.01
"eps[24, 0]",-0.813,0.043,-0.89,-0.732,0.002,0.001,507.0,701.0,1.02
"eps[25, 0]",-0.474,0.045,-0.557,-0.391,0.002,0.001,568.0,716.0,1.0
"eps[26, 0]",-0.231,0.048,-0.331,-0.149,0.002,0.001,625.0,785.0,1.01
"eps[27, 0]",-0.043,0.043,-0.128,0.032,0.002,0.001,724.0,717.0,1.01
"eps[28, 0]",0.593,0.042,0.514,0.668,0.001,0.001,869.0,778.0,1.0
"eps[29, 0]",-0.227,0.022,-0.271,-0.187,0.001,0.001,589.0,733.0,1.0
"eps[30, 0]",-0.168,0.018,-0.204,-0.137,0.001,0.0,621.0,862.0,1.0
"eps[31, 0]",-0.411,0.034,-0.472,-0.344,0.001,0.001,714.0,781.0,1.01
"eps[32, 0]",-1.961,0.104,-2.161,-1.778,0.004,0.003,751.0,584.0,1.0
"eps[33, 0]",0.089,0.061,-0.032,0.195,0.002,0.002,769.0,831.0,1.0
"eps[34, 0]",-0.589,0.049,-0.675,-0.501,0.002,0.001,637.0,807.0,1.01
"eps[35, 0]",0.158,0.041,0.086,0.239,0.002,0.001,582.0,716.0,1.01
"eps[36, 0]",0.215,0.033,0.153,0.277,0.001,0.001,846.0,877.0,1.0
"eps[37, 0]",-0.111,0.073,-0.245,0.025,0.003,0.002,742.0,792.0,1.01
"eps[38, 0]",0.125,0.024,0.08,0.168,0.001,0.001,652.0,860.0,1.0
"eps[39, 0]",-0.009,0.048,-0.099,0.077,0.002,0.002,659.0,766.0,1.01
"eps[40, 0]",0.112,0.03,0.056,0.17,0.001,0.001,550.0,564.0,1.01
"eps[41, 0]",0.802,0.129,0.576,1.05,0.005,0.004,765.0,692.0,1.01
"eps[42, 0]",-0.144,0.044,-0.221,-0.055,0.002,0.001,595.0,684.0,1.0
"eps[43, 0]",0.182,0.061,0.068,0.295,0.002,0.002,592.0,770.0,1.0
"eps[44, 0]",0.005,0.068,-0.128,0.127,0.003,0.002,650.0,806.0,1.0
"eps[45, 0]",0.062,0.038,-0.004,0.138,0.001,0.001,1114.0,814.0,1.0
"eps[46, 0]",-0.4,0.064,-0.518,-0.282,0.002,0.001,944.0,809.0,1.0
"eps[47, 0]",0.002,0.021,-0.035,0.046,0.001,0.001,615.0,753.0,1.0
