,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.331,0.124,0.126,0.559,0.005,0.004,586.0,703.0,1.0
Ds[0],37.542,0.111,37.328,37.723,0.005,0.003,631.0,841.0,1.0
RV[0],3.173,1.408,1.003,5.531,0.057,0.04,650.0,800.0,1.0
"eps[0, 0]",0.138,0.128,-0.095,0.37,0.003,0.003,1974.0,922.0,1.01
"eps[1, 0]",0.036,0.284,-0.49,0.589,0.008,0.009,1410.0,757.0,1.01
"eps[2, 0]",0.248,0.223,-0.169,0.673,0.005,0.005,1950.0,704.0,1.0
"eps[3, 0]",0.141,0.235,-0.304,0.552,0.006,0.006,1632.0,922.0,1.0
"eps[4, 0]",0.239,0.262,-0.237,0.711,0.006,0.005,2149.0,932.0,1.0
"eps[5, 0]",0.127,0.514,-0.723,1.155,0.013,0.015,1621.0,741.0,1.0
"eps[6, 0]",-0.203,0.491,-1.154,0.659,0.011,0.017,2092.0,672.0,1.02
"eps[7, 0]",0.1,0.156,-0.21,0.387,0.003,0.004,2181.0,858.0,1.01
"eps[8, 0]",-0.034,0.218,-0.421,0.382,0.005,0.007,1982.0,824.0,1.0
"eps[9, 0]",0.082,0.046,0.003,0.175,0.002,0.001,838.0,657.0,1.0
"eps[10, 0]",-0.065,0.038,-0.136,0.002,0.001,0.001,839.0,846.0,1.01
"eps[11, 0]",-0.058,0.031,-0.112,0.009,0.001,0.001,1034.0,733.0,1.0
"eps[12, 0]",-0.022,0.036,-0.096,0.041,0.001,0.001,1277.0,618.0,1.0
"eps[13, 0]",0.004,0.046,-0.08,0.095,0.001,0.001,1339.0,819.0,1.0
"eps[14, 0]",0.11,0.085,-0.056,0.262,0.002,0.002,1575.0,763.0,1.0
"eps[15, 0]",0.031,0.076,-0.098,0.187,0.002,0.002,1322.0,648.0,1.0
"eps[16, 0]",-0.031,0.077,-0.165,0.129,0.002,0.002,1086.0,794.0,1.0
"eps[17, 0]",-0.005,0.084,-0.164,0.144,0.002,0.003,1741.0,783.0,1.0
"eps[18, 0]",0.103,0.053,-0.005,0.189,0.002,0.001,1052.0,879.0,1.0
"eps[19, 0]",0.14,0.049,0.056,0.237,0.001,0.001,1278.0,850.0,1.0
"eps[20, 0]",-0.072,0.038,-0.136,0.011,0.001,0.001,1281.0,845.0,1.01
"eps[21, 0]",0.115,0.044,0.033,0.197,0.001,0.001,1620.0,966.0,1.0
"eps[22, 0]",0.019,0.061,-0.087,0.146,0.001,0.002,1787.0,789.0,1.0
"eps[23, 0]",0.093,0.119,-0.15,0.31,0.003,0.003,1400.0,870.0,1.0
"eps[24, 0]",0.055,0.133,-0.181,0.303,0.003,0.004,1593.0,982.0,1.0
"eps[25, 0]",0.035,0.146,-0.249,0.29,0.003,0.005,2055.0,628.0,1.0
"eps[26, 0]",0.145,0.13,-0.097,0.391,0.003,0.002,2153.0,934.0,1.0
"eps[27, 0]",0.054,0.066,-0.073,0.175,0.002,0.002,1230.0,851.0,1.0
"eps[28, 0]",-0.062,0.062,-0.171,0.066,0.002,0.001,1254.0,864.0,1.0
"eps[29, 0]",-0.127,0.047,-0.215,-0.042,0.001,0.001,1590.0,819.0,1.0
"eps[30, 0]",-0.004,0.048,-0.094,0.084,0.001,0.001,1341.0,719.0,1.0
"eps[31, 0]",-0.055,0.071,-0.186,0.081,0.002,0.002,1091.0,835.0,1.01
"eps[32, 0]",0.059,0.159,-0.238,0.35,0.004,0.004,1565.0,862.0,1.01
"eps[33, 0]",-0.35,0.223,-0.749,0.127,0.006,0.005,1401.0,929.0,1.0
"eps[34, 0]",-0.016,0.151,-0.311,0.262,0.003,0.005,2240.0,706.0,1.0
"eps[35, 0]",0.014,0.088,-0.169,0.17,0.002,0.003,2492.0,856.0,1.0
"eps[36, 0]",0.112,0.067,-0.028,0.227,0.001,0.001,2387.0,751.0,1.01
"eps[37, 0]",-0.286,0.124,-0.508,-0.044,0.003,0.002,1496.0,986.0,1.0
"eps[38, 0]",-0.001,0.049,-0.094,0.09,0.001,0.001,1406.0,906.0,1.01
"eps[39, 0]",-0.122,0.088,-0.291,0.044,0.003,0.002,1156.0,803.0,1.0
"eps[40, 0]",0.001,0.074,-0.14,0.139,0.002,0.002,1368.0,754.0,1.0
"eps[41, 0]",0.398,0.302,-0.198,0.926,0.008,0.007,1621.0,782.0,1.0
"eps[42, 0]",-0.147,0.178,-0.474,0.166,0.004,0.004,2126.0,726.0,1.0
"eps[43, 0]",0.009,0.126,-0.211,0.257,0.003,0.004,2327.0,841.0,1.0
"eps[44, 0]",0.045,0.104,-0.15,0.243,0.003,0.003,1603.0,909.0,1.0
"eps[45, 0]",-0.082,0.065,-0.211,0.038,0.001,0.001,2546.0,659.0,1.01
"eps[46, 0]",0.005,0.28,-0.513,0.547,0.006,0.009,2496.0,793.0,1.0
"eps[47, 0]",-0.049,0.037,-0.112,0.025,0.001,0.001,2009.0,767.0,1.01
"eps[48, 0]",-0.117,0.093,-0.293,0.055,0.002,0.002,1482.0,838.0,1.01
"eps[49, 0]",0.022,0.089,-0.139,0.195,0.002,0.002,1716.0,868.0,1.0
"eps[50, 0]",-0.794,0.602,-1.898,0.376,0.014,0.011,1823.0,915.0,1.01
"eps[51, 0]",0.571,0.34,-0.096,1.184,0.008,0.006,1927.0,838.0,1.0
"eps[52, 0]",0.037,0.163,-0.245,0.363,0.004,0.005,1579.0,738.0,1.0
"eps[53, 0]",0.151,0.098,-0.036,0.324,0.002,0.002,2116.0,749.0,1.0
"eps_tform[0, 0]",0.862,0.799,-0.593,2.316,0.018,0.018,1974.0,922.0,1.01
"eps_tform[0, 1]",0.279,0.78,-1.238,1.742,0.021,0.022,1366.0,633.0,1.01
"eps_tform[0, 2]",1.011,0.879,-0.561,2.642,0.019,0.018,2133.0,957.0,1.0
"eps_tform[0, 3]",0.397,0.799,-1.132,1.788,0.018,0.02,1997.0,835.0,1.0
"eps_tform[0, 4]",0.137,0.867,-1.36,1.819,0.02,0.025,1898.0,809.0,1.0
"eps_tform[0, 5]",0.011,0.847,-1.599,1.554,0.02,0.025,1834.0,670.0,1.0
"eps_tform[0, 6]",-0.404,1.05,-2.441,1.554,0.023,0.037,2120.0,643.0,1.01
"eps_tform[0, 7]",0.436,0.948,-1.368,2.267,0.02,0.027,2206.0,728.0,1.01
"eps_tform[0, 8]",-0.259,0.963,-2.043,1.552,0.02,0.03,2289.0,813.0,1.0
"eps_tform[0, 9]",1.028,0.674,-0.408,2.189,0.024,0.017,795.0,646.0,1.0
"eps_tform[0, 10]",-0.864,0.354,-1.573,-0.257,0.012,0.009,895.0,786.0,1.0
"eps_tform[0, 11]",-1.497,0.578,-2.547,-0.368,0.017,0.012,1116.0,694.0,1.0
"eps_tform[0, 12]",-0.082,0.766,-1.462,1.398,0.02,0.026,1491.0,693.0,1.0
"eps_tform[0, 13]",0.519,0.727,-0.832,1.858,0.019,0.018,1519.0,819.0,1.01
"eps_tform[0, 14]",0.874,0.651,-0.301,2.062,0.016,0.013,1684.0,711.0,1.01
"eps_tform[0, 15]",0.495,0.83,-0.973,2.057,0.024,0.024,1239.0,872.0,1.0
"eps_tform[0, 16]",-0.533,0.855,-2.115,1.135,0.024,0.023,1294.0,777.0,1.0
"eps_tform[0, 17]",-0.11,0.952,-1.728,1.84,0.024,0.027,1616.0,904.0,1.0
"eps_tform[0, 18]",1.026,0.789,-0.544,2.356,0.023,0.017,1151.0,913.0,1.0
"eps_tform[0, 19]",1.25,0.528,0.177,2.155,0.013,0.01,1627.0,919.0,1.0
"eps_tform[0, 20]",-0.234,0.648,-1.314,1.087,0.018,0.019,1244.0,817.0,1.01
"eps_tform[0, 21]",1.854,0.767,0.441,3.301,0.019,0.015,1609.0,941.0,1.0
"eps_tform[0, 22]",0.338,0.762,-1.044,1.722,0.018,0.02,1709.0,837.0,1.0
"eps_tform[0, 23]",0.096,0.765,-1.473,1.363,0.021,0.025,1357.0,800.0,1.01
"eps_tform[0, 24]",0.186,0.895,-1.37,1.937,0.022,0.026,1660.0,911.0,1.0
"eps_tform[0, 25]",-0.136,0.995,-2.052,1.708,0.021,0.035,2334.0,544.0,1.0
"eps_tform[0, 26]",0.705,0.974,-1.205,2.416,0.021,0.023,2135.0,786.0,1.0
"eps_tform[0, 27]",-0.125,0.744,-1.48,1.273,0.019,0.023,1594.0,894.0,1.0
"eps_tform[0, 28]",0.664,0.567,-0.369,1.711,0.017,0.014,1068.0,944.0,1.0
"eps_tform[0, 29]",-1.686,0.757,-2.996,-0.094,0.019,0.014,1673.0,719.0,1.0
"eps_tform[0, 30]",0.309,0.817,-1.25,1.778,0.024,0.027,1155.0,707.0,1.0
"eps_tform[0, 31]",-0.479,0.746,-1.783,0.914,0.018,0.023,1778.0,786.0,1.0
"eps_tform[0, 32]",0.132,0.911,-1.679,1.713,0.021,0.027,1911.0,864.0,1.0
"eps_tform[0, 33]",-0.775,0.737,-2.125,0.545,0.019,0.018,1553.0,816.0,1.01
"eps_tform[0, 34]",0.179,0.992,-1.852,1.95,0.019,0.037,2717.0,740.0,1.0
"eps_tform[0, 35]",0.11,0.964,-1.64,1.974,0.019,0.035,2569.0,683.0,1.01
"eps_tform[0, 36]",0.338,0.891,-1.304,2.103,0.017,0.026,2735.0,705.0,1.0
"eps_tform[0, 37]",-1.502,0.705,-2.718,-0.167,0.017,0.013,1659.0,955.0,1.0
"eps_tform[0, 38]",-0.98,0.88,-2.694,0.605,0.019,0.018,2157.0,832.0,1.0
"eps_tform[0, 39]",-0.807,0.831,-2.192,0.882,0.02,0.021,1689.0,762.0,1.0
"eps_tform[0, 40]",-0.357,0.907,-2.106,1.268,0.023,0.026,1559.0,855.0,1.0
"eps_tform[0, 41]",0.234,0.919,-1.537,1.968,0.024,0.031,1538.0,518.0,1.0
"eps_tform[0, 42]",-0.226,0.985,-2.072,1.554,0.019,0.031,2731.0,888.0,1.01
"eps_tform[0, 43]",0.009,0.96,-1.656,1.788,0.018,0.032,3000.0,908.0,1.01
"eps_tform[0, 44]",-0.056,1.007,-1.888,1.804,0.022,0.037,2156.0,780.0,1.0
"eps_tform[0, 45]",-0.058,0.995,-1.966,1.916,0.019,0.034,2867.0,748.0,1.02
"eps_tform[0, 46]",0.434,0.921,-1.247,2.224,0.017,0.028,3000.0,856.0,1.01
"eps_tform[0, 47]",-0.059,1.031,-1.832,1.923,0.019,0.036,3000.0,735.0,1.01
"eps_tform[0, 48]",0.05,0.948,-1.641,1.81,0.02,0.036,2393.0,802.0,1.02
"eps_tform[0, 49]",0.177,0.966,-1.71,1.879,0.019,0.032,2631.0,887.0,1.01
"eps_tform[0, 50]",-0.149,1.014,-2.154,1.626,0.024,0.039,1878.0,665.0,1.01
"eps_tform[0, 51]",0.075,1.045,-1.824,2.024,0.019,0.037,3000.0,853.0,1.0
"eps_tform[0, 52]",-0.037,0.971,-1.664,1.899,0.018,0.036,2973.0,868.0,1.0
"eps_tform[0, 53]",-0.022,0.984,-1.859,1.726,0.018,0.037,3000.0,702.0,1.0
theta[0],1.154,0.247,0.717,1.62,0.008,0.006,851.0,798.0,1.0
tmax[0],0.552,0.282,0.056,1.094,0.01,0.007,854.0,850.0,1.0
peak_MJD[0],54363.022,0.303,54362.49,54363.603,0.01,0.007,854.0,850.0,1.0
mu[0],37.544,0.152,37.268,37.831,0.005,0.004,782.0,987.0,1.0
delM[0],-0.002,0.1,-0.187,0.184,0.003,0.002,1058.0,913.0,1.0
