,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.247,0.092,0.072,0.404,0.004,0.002,481.0,707.0,1.0
Ds[0],36.08,0.072,35.95,36.208,0.003,0.002,517.0,685.0,1.0
RV[0],4.203,1.261,1.907,6.0,0.045,0.035,916.0,655.0,1.0
delM[0],-0.001,0.098,-0.175,0.188,0.003,0.002,1109.0,990.0,1.0
"eps[0, 0]",0.07,0.085,-0.083,0.231,0.004,0.003,381.0,490.0,1.01
"eps[1, 0]",0.142,0.145,-0.152,0.385,0.005,0.004,792.0,786.0,1.0
"eps[2, 0]",0.031,0.156,-0.252,0.333,0.006,0.006,672.0,542.0,1.01
"eps[3, 0]",0.406,0.148,0.122,0.681,0.007,0.004,472.0,430.0,1.0
"eps[4, 0]",-0.079,0.132,-0.317,0.163,0.005,0.004,840.0,560.0,1.01
"eps[5, 0]",0.386,0.421,-0.457,1.166,0.014,0.012,852.0,808.0,1.0
"eps[6, 0]",-0.697,0.202,-1.096,-0.358,0.007,0.008,920.0,792.0,1.0
"eps[7, 0]",-0.373,0.132,-0.63,-0.135,0.004,0.004,1095.0,698.0,1.0
"eps[8, 0]",-0.19,0.198,-0.539,0.169,0.006,0.005,941.0,916.0,1.01
"eps[9, 0]",0.042,0.04,-0.039,0.112,0.002,0.001,470.0,588.0,1.0
"eps[10, 0]",0.05,0.039,-0.025,0.119,0.002,0.001,533.0,739.0,1.01
"eps[11, 0]",-0.026,0.033,-0.083,0.037,0.002,0.001,403.0,560.0,1.01
"eps[12, 0]",0.048,0.032,-0.015,0.105,0.001,0.001,484.0,656.0,1.01
"eps[13, 0]",0.022,0.032,-0.037,0.078,0.001,0.001,660.0,689.0,1.0
"eps[14, 0]",-0.064,0.098,-0.235,0.132,0.003,0.003,814.0,792.0,1.0
"eps[15, 0]",-0.031,0.06,-0.143,0.089,0.002,0.002,726.0,696.0,1.0
"eps[16, 0]",0.138,0.05,0.037,0.225,0.002,0.001,705.0,847.0,1.0
"eps[17, 0]",-0.208,0.061,-0.327,-0.089,0.002,0.002,949.0,915.0,1.0
"eps[18, 0]",-0.017,0.042,-0.094,0.065,0.002,0.001,476.0,446.0,1.0
"eps[19, 0]",0.054,0.033,-0.005,0.117,0.001,0.001,533.0,757.0,1.0
"eps[20, 0]",-0.031,0.028,-0.084,0.021,0.001,0.001,921.0,610.0,1.0
"eps[21, 0]",0.082,0.029,0.028,0.134,0.001,0.001,723.0,869.0,1.0
"eps[22, 0]",0.117,0.03,0.064,0.175,0.001,0.001,853.0,679.0,1.0
"eps[23, 0]",-0.058,0.124,-0.266,0.193,0.004,0.003,943.0,880.0,1.0
"eps[24, 0]",0.082,0.092,-0.088,0.251,0.003,0.002,954.0,949.0,1.0
"eps[25, 0]",0.062,0.12,-0.143,0.306,0.004,0.004,1106.0,777.0,1.0
"eps[26, 0]",0.072,0.129,-0.175,0.311,0.003,0.004,1645.0,994.0,1.0
"eps[27, 0]",-0.041,0.058,-0.141,0.076,0.003,0.001,430.0,805.0,1.01
"eps[28, 0]",0.104,0.055,0.002,0.205,0.002,0.001,632.0,879.0,1.0
"eps[29, 0]",-0.105,0.036,-0.165,-0.034,0.001,0.001,667.0,879.0,1.01
"eps[30, 0]",0.131,0.033,0.068,0.192,0.001,0.001,801.0,866.0,1.01
"eps[31, 0]",0.087,0.057,-0.013,0.193,0.003,0.001,417.0,673.0,1.0
"eps[32, 0]",0.236,0.169,-0.073,0.557,0.005,0.005,1018.0,700.0,1.0
"eps[33, 0]",-0.022,0.107,-0.228,0.171,0.005,0.003,560.0,788.0,1.0
"eps[34, 0]",-0.092,0.133,-0.316,0.185,0.004,0.004,1186.0,871.0,1.0
"eps[35, 0]",-0.031,0.088,-0.212,0.127,0.002,0.003,1451.0,794.0,1.01
"eps[36, 0]",-0.105,0.043,-0.181,-0.025,0.001,0.001,1076.0,916.0,1.01
"eps[37, 0]",-0.205,0.104,-0.394,-0.018,0.005,0.003,519.0,715.0,1.01
"eps[38, 0]",-0.07,0.047,-0.154,0.017,0.002,0.001,731.0,800.0,1.0
"eps[39, 0]",-0.099,0.069,-0.227,0.033,0.003,0.002,486.0,721.0,1.0
"eps[40, 0]",-0.065,0.055,-0.169,0.029,0.002,0.001,555.0,649.0,1.01
"eps[41, 0]",0.137,0.314,-0.407,0.752,0.011,0.008,778.0,623.0,1.01
"eps[42, 0]",-0.128,0.141,-0.375,0.163,0.005,0.004,738.0,706.0,1.0
"eps[43, 0]",0.1,0.124,-0.144,0.318,0.004,0.004,1017.0,833.0,1.01
"eps[44, 0]",-0.024,0.1,-0.22,0.158,0.003,0.004,869.0,796.0,1.0
"eps[45, 0]",-0.067,0.059,-0.169,0.044,0.002,0.002,1230.0,529.0,1.0
"eps[46, 0]",-0.076,0.184,-0.436,0.261,0.005,0.006,1346.0,727.0,1.0
"eps[47, 0]",-0.041,0.034,-0.1,0.022,0.001,0.001,1000.0,634.0,1.01
