,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.575,0.093,0.378,0.739,0.006,0.003,223.0,447.0,1.01
Ds[0],32.276,0.087,32.107,32.438,0.006,0.003,214.0,341.0,1.01
RV[0],2.018,0.501,1.145,2.945,0.032,0.017,237.0,436.0,1.01
delM[0],0.0,0.098,-0.191,0.174,0.003,0.002,1159.0,835.0,1.0
"eps[0, 0]",0.306,0.051,0.219,0.405,0.002,0.001,514.0,658.0,1.0
"eps[1, 0]",0.714,0.092,0.544,0.885,0.003,0.003,784.0,627.0,1.0
"eps[2, 0]",0.08,0.051,-0.014,0.169,0.002,0.001,773.0,887.0,1.01
"eps[3, 0]",0.262,0.046,0.167,0.344,0.002,0.001,534.0,570.0,1.0
"eps[4, 0]",0.191,0.045,0.103,0.27,0.003,0.001,328.0,560.0,1.01
"eps[5, 0]",-0.427,0.544,-1.403,0.596,0.028,0.016,378.0,625.0,1.01
"eps[6, 0]",0.344,0.147,0.077,0.619,0.008,0.005,320.0,496.0,1.0
"eps[7, 0]",0.02,0.044,-0.058,0.109,0.002,0.001,444.0,642.0,1.0
"eps[8, 0]",-0.02,0.071,-0.169,0.101,0.004,0.002,299.0,392.0,1.01
"eps[9, 0]",0.09,0.033,0.023,0.148,0.002,0.001,453.0,568.0,1.01
"eps[10, 0]",0.128,0.034,0.063,0.19,0.001,0.001,765.0,820.0,1.0
"eps[11, 0]",0.057,0.02,0.021,0.093,0.001,0.001,390.0,586.0,1.0
"eps[12, 0]",-0.018,0.023,-0.064,0.023,0.001,0.001,313.0,484.0,1.01
"eps[13, 0]",0.064,0.024,0.022,0.111,0.002,0.001,250.0,512.0,1.01
"eps[14, 0]",-0.213,0.114,-0.433,-0.008,0.006,0.003,397.0,533.0,1.01
"eps[15, 0]",-0.071,0.033,-0.131,-0.005,0.002,0.001,296.0,639.0,1.01
"eps[16, 0]",-0.018,0.029,-0.078,0.034,0.002,0.001,248.0,305.0,1.01
