,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.336,0.088,0.175,0.5,0.004,0.003,627.0,560.0,1.0
Ds[0],36.072,0.075,35.939,36.229,0.003,0.002,704.0,673.0,1.0
RV[0],4.542,1.086,2.47,5.987,0.038,0.035,1086.0,630.0,1.0
delM[0],0.0,0.102,-0.188,0.195,0.003,0.002,1021.0,727.0,1.0
"eps[0, 0]",0.149,0.101,-0.039,0.337,0.003,0.003,1034.0,850.0,1.01
"eps[1, 0]",0.02,0.212,-0.379,0.409,0.006,0.006,1206.0,830.0,1.01
"eps[2, 0]",0.182,0.21,-0.159,0.622,0.007,0.006,946.0,881.0,1.0
"eps[3, 0]",0.657,0.176,0.321,0.965,0.005,0.005,1244.0,853.0,1.0
"eps[4, 0]",0.585,0.212,0.218,0.995,0.007,0.006,813.0,691.0,1.0
"eps[5, 0]",0.36,0.488,-0.542,1.288,0.013,0.014,1457.0,787.0,1.0
"eps[6, 0]",0.106,0.427,-0.675,0.85,0.011,0.014,1618.0,856.0,1.0
"eps[7, 0]",-0.022,0.149,-0.332,0.24,0.004,0.005,1589.0,857.0,1.0
"eps[8, 0]",0.269,0.205,-0.089,0.68,0.005,0.006,1466.0,709.0,1.01
"eps[9, 0]",-0.012,0.032,-0.07,0.047,0.001,0.001,820.0,736.0,1.01
"eps[10, 0]",0.001,0.035,-0.06,0.071,0.001,0.001,959.0,822.0,1.0
"eps[11, 0]",0.021,0.032,-0.038,0.082,0.001,0.001,867.0,795.0,1.0
"eps[12, 0]",0.042,0.028,-0.008,0.091,0.001,0.001,1096.0,817.0,1.0
"eps[13, 0]",-0.037,0.036,-0.103,0.029,0.001,0.001,810.0,716.0,1.0
"eps[14, 0]",-0.098,0.082,-0.26,0.037,0.003,0.002,1033.0,793.0,1.0
"eps[15, 0]",-0.147,0.068,-0.284,-0.031,0.002,0.002,1079.0,785.0,1.0
"eps[16, 0]",-0.12,0.076,-0.251,0.02,0.002,0.002,1660.0,827.0,1.0
"eps[17, 0]",-0.052,0.073,-0.19,0.088,0.002,0.002,1295.0,828.0,1.0
"eps[18, 0]",-0.161,0.034,-0.217,-0.093,0.001,0.001,753.0,719.0,1.01
"eps[19, 0]",-0.028,0.027,-0.075,0.023,0.001,0.001,739.0,773.0,1.0
"eps[20, 0]",-0.081,0.029,-0.138,-0.029,0.001,0.001,1074.0,809.0,1.0
"eps[21, 0]",-0.021,0.026,-0.07,0.027,0.001,0.001,744.0,857.0,1.0
"eps[22, 0]",-0.019,0.036,-0.087,0.046,0.001,0.001,1018.0,686.0,1.01
"eps[23, 0]",-0.194,0.101,-0.395,-0.02,0.003,0.003,1041.0,760.0,1.0
"eps[24, 0]",0.027,0.084,-0.117,0.185,0.003,0.002,1027.0,870.0,1.0
"eps[25, 0]",-0.062,0.115,-0.274,0.14,0.003,0.004,1258.0,800.0,1.0
"eps[26, 0]",-0.115,0.122,-0.338,0.114,0.004,0.004,1139.0,790.0,1.01
"eps[27, 0]",0.056,0.051,-0.033,0.16,0.002,0.002,611.0,486.0,1.01
"eps[28, 0]",0.074,0.047,-0.011,0.164,0.002,0.001,748.0,798.0,1.01
"eps[29, 0]",0.024,0.036,-0.046,0.087,0.001,0.001,845.0,528.0,1.0
"eps[30, 0]",0.028,0.027,-0.019,0.08,0.001,0.001,1305.0,946.0,1.0
"eps[31, 0]",-0.048,0.044,-0.132,0.025,0.001,0.001,929.0,918.0,1.01
"eps[32, 0]",0.212,0.134,-0.022,0.468,0.004,0.004,1240.0,819.0,1.0
"eps[33, 0]",-0.436,0.083,-0.593,-0.285,0.003,0.003,830.0,576.0,1.01
"eps[34, 0]",0.048,0.1,-0.149,0.217,0.003,0.002,1176.0,781.0,1.0
"eps[35, 0]",-0.158,0.07,-0.283,-0.022,0.002,0.002,1072.0,768.0,1.0
"eps[36, 0]",0.021,0.044,-0.059,0.102,0.001,0.002,1363.0,751.0,1.0
"eps[37, 0]",-0.096,0.096,-0.256,0.111,0.004,0.003,620.0,823.0,1.0
"eps[38, 0]",0.026,0.043,-0.057,0.103,0.002,0.001,782.0,669.0,1.0
"eps[39, 0]",0.208,0.064,0.096,0.336,0.002,0.002,683.0,575.0,1.0
"eps[40, 0]",0.005,0.048,-0.084,0.092,0.002,0.001,850.0,640.0,1.01
"eps[41, 0]",-0.194,0.156,-0.481,0.095,0.004,0.005,1185.0,1005.0,1.0
"eps[42, 0]",0.232,0.088,0.08,0.41,0.003,0.003,795.0,852.0,1.0
"eps[43, 0]",0.047,0.098,-0.126,0.236,0.003,0.003,1244.0,823.0,1.0
"eps[44, 0]",0.082,0.075,-0.059,0.22,0.002,0.002,1060.0,792.0,1.0
"eps[45, 0]",0.028,0.041,-0.05,0.101,0.001,0.001,965.0,693.0,1.0
"eps[46, 0]",-0.444,0.07,-0.573,-0.311,0.002,0.002,836.0,830.0,1.01
