,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.593,0.241,0.189,0.997,0.096,0.006,7.0,369.0,1.57
Ds[0],35.199,0.597,34.416,35.985,0.287,0.007,6.0,368.0,1.74
RV[0],5.067,0.857,3.431,6.0,0.097,0.055,87.0,337.0,1.05
delM[0],-0.0,0.097,-0.182,0.184,0.003,0.002,960.0,917.0,1.0
"eps[0, 0]",-0.07,0.2,-0.444,0.275,0.068,0.005,9.0,300.0,1.39
"eps[1, 0]",-0.215,0.435,-1.023,0.572,0.138,0.009,10.0,229.0,1.31
"eps[2, 0]",-0.073,0.382,-0.731,0.663,0.14,0.008,8.0,205.0,1.48
"eps[3, 0]",-0.331,0.297,-0.89,0.225,0.058,0.009,27.0,640.0,1.1
"eps[4, 0]",-0.343,0.287,-0.884,0.195,0.01,0.011,903.0,585.0,1.01
"eps[5, 0]",0.131,0.728,-1.235,1.496,0.156,0.02,22.0,487.0,1.13
"eps[6, 0]",0.305,0.573,-0.802,1.266,0.181,0.012,10.0,337.0,1.31
"eps[7, 0]",-0.166,0.22,-0.55,0.242,0.078,0.004,8.0,113.0,1.42
"eps[8, 0]",-0.089,0.241,-0.519,0.381,0.048,0.008,25.0,635.0,1.11
"eps[9, 0]",-0.12,0.099,-0.306,0.042,0.038,0.002,7.0,316.0,1.56
"eps[10, 0]",0.03,0.171,-0.263,0.298,0.071,0.003,7.0,394.0,1.63
"eps[11, 0]",-0.021,0.081,-0.164,0.127,0.03,0.002,8.0,214.0,1.47
"eps[12, 0]",0.043,0.053,-0.06,0.139,0.015,0.001,13.0,400.0,1.23
"eps[13, 0]",-0.078,0.061,-0.183,0.038,0.012,0.002,24.0,701.0,1.12
"eps[14, 0]",0.105,0.184,-0.183,0.459,0.072,0.004,7.0,174.0,1.56
"eps[15, 0]",0.017,0.091,-0.153,0.177,0.003,0.003,1166.0,732.0,1.01
"eps[16, 0]",-0.114,0.1,-0.293,0.082,0.024,0.003,18.0,186.0,1.16
"eps[17, 0]",-0.043,0.117,-0.233,0.177,0.045,0.002,7.0,454.0,1.54
"eps[18, 0]",-0.081,0.084,-0.234,0.069,0.028,0.002,9.0,122.0,1.35
"eps[19, 0]",0.04,0.133,-0.228,0.266,0.013,0.004,104.0,716.0,1.04
"eps[20, 0]",0.1,0.063,-0.021,0.208,0.007,0.002,77.0,714.0,1.05
"eps[21, 0]",0.12,0.064,0.011,0.243,0.002,0.002,1307.0,869.0,1.0
"eps[22, 0]",0.034,0.118,-0.188,0.241,0.039,0.003,9.0,105.0,1.38
"eps[23, 0]",-0.023,0.278,-0.476,0.495,0.108,0.004,7.0,268.0,1.55
"eps[24, 0]",-0.046,0.197,-0.399,0.289,0.068,0.004,9.0,260.0,1.39
"eps[25, 0]",-0.173,0.148,-0.428,0.115,0.005,0.005,771.0,599.0,1.01
"eps[26, 0]",-0.245,0.19,-0.596,0.089,0.069,0.004,8.0,215.0,1.47
"eps[27, 0]",-0.168,0.145,-0.397,0.097,0.059,0.003,7.0,192.0,1.63
"eps[28, 0]",-0.004,0.112,-0.233,0.2,0.004,0.012,825.0,296.0,1.07
"eps[29, 0]",0.109,0.118,-0.093,0.289,0.052,0.002,6.0,159.0,1.72
"eps[30, 0]",0.131,0.059,0.024,0.243,0.009,0.002,55.0,463.0,1.06
"eps[31, 0]",-0.007,0.155,-0.251,0.274,0.062,0.003,7.0,255.0,1.57
"eps[32, 0]",-0.125,0.278,-0.624,0.409,0.083,0.006,12.0,307.0,1.26
"eps[33, 0]",-0.092,0.26,-0.635,0.357,0.025,0.036,192.0,253.0,1.09
"eps[34, 0]",-0.302,0.156,-0.59,-0.016,0.005,0.004,1115.0,729.0,1.0
"eps[35, 0]",-0.111,0.096,-0.281,0.078,0.007,0.003,181.0,807.0,1.03
"eps[36, 0]",-0.078,0.172,-0.342,0.166,0.079,0.002,6.0,290.0,1.73
"eps[37, 0]",0.253,0.266,-0.176,0.636,0.12,0.004,6.0,221.0,1.73
"eps[38, 0]",0.171,0.055,0.067,0.272,0.006,0.002,82.0,586.0,1.05
"eps[39, 0]",0.389,0.119,0.185,0.589,0.047,0.003,7.0,286.0,1.58
"eps[40, 0]",0.077,0.059,-0.036,0.189,0.002,0.002,680.0,712.0,1.0
"eps[41, 0]",0.567,0.628,-0.508,1.612,0.252,0.013,7.0,187.0,1.6
"eps[42, 0]",0.049,0.332,-0.407,0.526,0.157,0.003,6.0,164.0,1.73
"eps[43, 0]",-0.067,0.259,-0.482,0.359,0.111,0.004,6.0,193.0,1.68
"eps[44, 0]",0.044,0.172,-0.262,0.321,0.07,0.003,7.0,467.0,1.6
"eps[45, 0]",0.04,0.103,-0.139,0.222,0.04,0.002,7.0,153.0,1.54
"eps[46, 0]",0.147,0.648,-0.867,0.967,0.299,0.007,6.0,186.0,1.73
"eps[47, 0]",0.053,0.044,-0.023,0.138,0.01,0.001,19.0,685.0,1.15
"eps[48, 0]",0.16,0.217,-0.192,0.464,0.098,0.003,6.0,210.0,1.72
"eps[49, 0]",-0.114,0.205,-0.389,0.227,0.093,0.003,6.0,237.0,1.73
"eps[50, 0]",-0.115,2.058,-2.857,2.958,0.969,0.019,6.0,301.0,1.74
"eps[51, 0]",0.495,0.336,-0.042,1.105,0.1,0.021,13.0,284.0,1.24
"eps[52, 0]",-0.225,0.181,-0.527,0.129,0.04,0.004,21.0,288.0,1.13
"eps[53, 0]",-0.031,0.213,-0.362,0.328,0.093,0.003,6.0,233.0,1.7
"eps_tform[0, 0]",-0.441,1.254,-2.778,1.724,0.426,0.031,9.0,300.0,1.39
"eps_tform[0, 1]",-0.687,1.089,-2.866,1.164,0.296,0.025,14.0,493.0,1.2
"eps_tform[0, 2]",-0.587,1.175,-2.637,1.638,0.337,0.028,12.0,375.0,1.24
"eps_tform[0, 3]",-0.905,0.921,-2.502,0.972,0.034,0.029,719.0,580.0,1.01
"eps_tform[0, 4]",-0.754,1.059,-2.912,1.113,0.289,0.028,13.0,105.0,1.21
"eps_tform[0, 5]",0.379,1.27,-2.039,2.609,0.398,0.031,10.0,319.0,1.31
"eps_tform[0, 6]",0.771,1.162,-1.286,2.948,0.336,0.026,12.0,220.0,1.25
"eps_tform[0, 7]",-0.839,1.378,-3.355,1.581,0.507,0.027,8.0,229.0,1.47
"eps_tform[0, 8]",-0.102,0.981,-2.003,1.748,0.149,0.031,44.0,625.0,1.07
"eps_tform[0, 9]",-1.562,1.383,-3.803,1.165,0.527,0.026,7.0,291.0,1.53
"eps_tform[0, 10]",0.379,1.614,-2.367,3.061,0.663,0.025,7.0,182.0,1.62
"eps_tform[0, 11]",0.229,0.939,-1.4,2.115,0.063,0.031,227.0,534.0,1.02
"eps_tform[0, 12]",0.945,0.941,-0.726,2.806,0.136,0.031,49.0,575.0,1.06
"eps_tform[0, 13]",-1.479,0.867,-3.125,0.048,0.081,0.023,116.0,631.0,1.04
"eps_tform[0, 14]",0.941,1.301,-1.359,3.375,0.457,0.028,8.0,302.0,1.42
"eps_tform[0, 15]",0.642,1.015,-1.273,2.41,0.033,0.029,938.0,816.0,1.01
"eps_tform[0, 16]",-1.309,0.985,-3.12,0.596,0.039,0.032,619.0,511.0,1.02
"eps_tform[0, 17]",-0.32,1.161,-2.434,1.825,0.38,0.027,9.0,200.0,1.34
"eps_tform[0, 18]",-0.63,1.118,-2.641,1.462,0.309,0.033,13.0,289.0,1.23
"eps_tform[0, 19]",0.182,0.995,-1.699,1.93,0.029,0.032,1218.0,833.0,1.01
"eps_tform[0, 20]",1.238,0.925,-0.525,2.888,0.028,0.028,1053.0,604.0,1.0
"eps_tform[0, 21]",1.131,0.903,-0.438,2.903,0.024,0.027,1395.0,810.0,1.0
"eps_tform[0, 22]",-0.226,1.248,-2.474,2.088,0.41,0.026,10.0,190.0,1.36
"eps_tform[0, 23]",0.714,1.515,-2.075,3.146,0.624,0.023,7.0,192.0,1.65
"eps_tform[0, 24]",-0.575,0.968,-2.318,1.322,0.028,0.029,1238.0,767.0,1.01
"eps_tform[0, 25]",-1.332,0.897,-3.001,0.281,0.024,0.03,1351.0,608.0,1.0
"eps_tform[0, 26]",-0.88,1.059,-3.144,0.848,0.247,0.026,19.0,415.0,1.16
