,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.28,0.104,0.089,0.471,0.033,0.008,10.0,41.0,1.34
Ds[0],31.628,0.08,31.492,31.782,0.016,0.002,27.0,658.0,1.11
RV[0],3.091,1.324,1.034,5.44,0.24,0.028,33.0,669.0,1.1
delM[0],-0.001,0.098,-0.19,0.177,0.003,0.002,1191.0,1039.0,1.0
"eps[0, 0]",0.128,0.157,-0.172,0.394,0.048,0.018,12.0,39.0,1.26
"eps[1, 0]",0.168,0.318,-0.4,0.768,0.073,0.01,20.0,123.0,1.14
"eps[2, 0]",0.344,0.184,0.036,0.73,0.013,0.006,220.0,580.0,1.03
"eps[3, 0]",0.368,0.184,0.067,0.782,0.034,0.005,32.0,103.0,1.08
"eps[4, 0]",0.756,0.194,0.416,1.132,0.013,0.006,241.0,570.0,1.02
"eps[5, 0]",0.279,0.785,-1.282,1.567,0.311,0.141,8.0,33.0,1.47
"eps[6, 0]",0.189,0.333,-0.501,0.749,0.02,0.01,272.0,646.0,1.02
"eps[7, 0]",0.193,0.135,-0.067,0.429,0.004,0.004,1328.0,723.0,1.01
"eps[8, 0]",-0.112,0.246,-0.503,0.398,0.087,0.032,9.0,43.0,1.39
"eps[9, 0]",0.049,0.061,-0.047,0.178,0.024,0.011,8.0,30.0,1.47
"eps[10, 0]",0.043,0.092,-0.093,0.23,0.037,0.017,8.0,35.0,1.48
"eps[11, 0]",-0.074,0.033,-0.132,-0.009,0.005,0.001,38.0,404.0,1.08
"eps[12, 0]",-0.026,0.051,-0.108,0.072,0.021,0.01,8.0,34.0,1.49
"eps[13, 0]",-0.048,0.037,-0.12,0.018,0.011,0.003,13.0,48.0,1.24
"eps[14, 0]",0.141,0.29,-0.417,0.484,0.136,0.074,7.0,31.0,1.53
"eps[15, 0]",0.009,0.081,-0.121,0.168,0.033,0.016,8.0,39.0,1.48
"eps[16, 0]",-0.112,0.041,-0.187,-0.032,0.001,0.001,918.0,773.0,1.0
"eps[17, 0]",0.021,0.049,-0.065,0.107,0.012,0.002,16.0,72.0,1.18
"eps[18, 0]",0.039,0.055,-0.077,0.126,0.019,0.006,9.0,49.0,1.35
"eps[19, 0]",0.044,0.029,-0.015,0.096,0.007,0.001,18.0,79.0,1.16
"eps[20, 0]",-0.025,0.026,-0.075,0.021,0.006,0.001,19.0,112.0,1.16
"eps[21, 0]",0.028,0.021,-0.012,0.069,0.004,0.001,32.0,117.0,1.09
"eps[22, 0]",0.081,0.029,0.028,0.132,0.007,0.001,16.0,224.0,1.18
"eps[23, 0]",0.378,0.108,0.17,0.577,0.023,0.003,22.0,49.0,1.12
"eps[24, 0]",-0.029,0.049,-0.12,0.06,0.013,0.003,15.0,44.0,1.19
"eps[25, 0]",0.259,0.082,0.086,0.366,0.036,0.019,7.0,34.0,1.53
"eps[26, 0]",0.078,0.045,-0.003,0.168,0.005,0.001,80.0,561.0,1.04
"eps[27, 0]",0.01,0.097,-0.191,0.145,0.042,0.022,7.0,40.0,1.52
"eps[28, 0]",0.09,0.074,-0.066,0.193,0.031,0.015,8.0,31.0,1.51
"eps[29, 0]",-0.077,0.042,-0.163,-0.017,0.018,0.009,7.0,34.0,1.52
"eps[30, 0]",-0.087,0.026,-0.134,-0.04,0.008,0.002,12.0,40.0,1.27
"eps[31, 0]",-0.066,0.087,-0.187,0.111,0.038,0.02,8.0,36.0,1.52
"eps[32, 0]",-0.208,0.246,-0.539,0.284,0.108,0.052,7.0,32.0,1.53
"eps[33, 0]",-0.032,0.123,-0.208,0.235,0.05,0.025,8.0,39.0,1.49
"eps[34, 0]",-0.014,0.124,-0.184,0.242,0.055,0.03,7.0,37.0,1.52
"eps[35, 0]",0.002,0.047,-0.084,0.085,0.006,0.001,72.0,594.0,1.04
"eps[36, 0]",-0.071,0.043,-0.145,0.011,0.012,0.003,12.0,68.0,1.24
"eps[37, 0]",0.14,0.225,-0.321,0.391,0.105,0.06,7.0,30.0,1.53
"eps[38, 0]",-0.047,0.036,-0.119,0.014,0.011,0.004,11.0,34.0,1.3
