,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.324,0.093,0.17,0.487,0.004,0.002,602.0,694.0,1.01
Ds[0],34.421,0.085,34.267,34.575,0.004,0.002,566.0,788.0,1.01
RV[0],2.505,1.173,1.002,4.814,0.048,0.032,632.0,687.0,1.01
delM[0],0.0,0.1,-0.169,0.213,0.003,0.002,974.0,1029.0,1.0
"eps[0, 0]",0.1,0.13,-0.147,0.332,0.004,0.004,1234.0,658.0,1.0
"eps[1, 0]",-0.578,0.304,-1.151,-0.037,0.007,0.009,1683.0,843.0,1.01
"eps[2, 0]",0.122,0.205,-0.28,0.503,0.005,0.006,1378.0,840.0,1.0
"eps[3, 0]",-0.255,0.192,-0.602,0.116,0.005,0.005,1616.0,965.0,1.0
"eps[4, 0]",-0.609,0.207,-1.022,-0.243,0.007,0.006,979.0,873.0,1.0
"eps[5, 0]",0.575,0.545,-0.503,1.541,0.013,0.016,1744.0,693.0,1.0
"eps[6, 0]",-0.077,0.37,-0.74,0.614,0.01,0.013,1334.0,768.0,1.0
"eps[7, 0]",-0.075,0.143,-0.349,0.175,0.003,0.005,1869.0,663.0,1.0
"eps[8, 0]",0.17,0.199,-0.218,0.518,0.005,0.006,1690.0,778.0,1.01
"eps[9, 0]",-0.03,0.043,-0.114,0.05,0.001,0.001,1243.0,831.0,1.0
"eps[10, 0]",0.192,0.061,0.083,0.312,0.002,0.002,1162.0,646.0,1.01
"eps[11, 0]",0.025,0.038,-0.049,0.096,0.001,0.001,1342.0,832.0,1.0
"eps[12, 0]",0.081,0.034,0.018,0.145,0.001,0.001,1089.0,804.0,1.0
"eps[13, 0]",0.026,0.038,-0.048,0.089,0.001,0.001,1153.0,949.0,1.0
"eps[14, 0]",0.137,0.099,-0.037,0.333,0.003,0.003,1057.0,732.0,1.0
"eps[15, 0]",-0.007,0.059,-0.118,0.102,0.002,0.002,997.0,759.0,1.0
"eps[16, 0]",-0.143,0.079,-0.302,-0.002,0.002,0.003,1672.0,620.0,1.01
"eps[17, 0]",-0.032,0.054,-0.136,0.07,0.002,0.001,1064.0,843.0,1.0
"eps[18, 0]",-0.12,0.043,-0.2,-0.041,0.001,0.001,900.0,838.0,1.0
"eps[19, 0]",0.101,0.037,0.025,0.162,0.001,0.001,1155.0,882.0,1.0
"eps[20, 0]",-0.124,0.037,-0.194,-0.057,0.001,0.001,1068.0,901.0,1.0
"eps[21, 0]",-0.046,0.029,-0.1,0.007,0.001,0.001,1023.0,653.0,1.0
"eps[22, 0]",-0.266,0.033,-0.322,-0.201,0.001,0.001,780.0,668.0,1.0
"eps[23, 0]",-0.53,0.103,-0.7,-0.317,0.003,0.003,1244.0,762.0,1.0
"eps[24, 0]",0.012,0.066,-0.112,0.132,0.002,0.002,890.0,806.0,1.0
"eps[25, 0]",-0.347,0.058,-0.458,-0.243,0.002,0.001,866.0,966.0,1.0
"eps[26, 0]",0.303,0.065,0.185,0.431,0.002,0.002,852.0,810.0,1.0
"eps[27, 0]",-0.005,0.054,-0.104,0.096,0.002,0.001,764.0,852.0,1.0
"eps[28, 0]",0.631,0.053,0.527,0.721,0.002,0.001,862.0,741.0,1.0
"eps[29, 0]",-0.22,0.033,-0.282,-0.16,0.001,0.001,1038.0,909.0,1.0
"eps[30, 0]",0.169,0.03,0.114,0.225,0.001,0.001,1241.0,954.0,1.0
"eps[31, 0]",-0.246,0.048,-0.341,-0.164,0.002,0.001,709.0,679.0,1.0
"eps[32, 0]",0.258,0.141,0.009,0.512,0.004,0.005,1145.0,536.0,1.0
"eps[33, 0]",-0.299,0.077,-0.434,-0.146,0.003,0.002,761.0,793.0,1.0
"eps[34, 0]",-0.126,0.076,-0.256,0.026,0.003,0.002,669.0,786.0,1.0
"eps[35, 0]",0.029,0.049,-0.059,0.121,0.002,0.001,735.0,788.0,1.0
"eps[36, 0]",-0.034,0.041,-0.107,0.047,0.001,0.001,1205.0,884.0,1.0
"eps[37, 0]",0.141,0.089,-0.019,0.301,0.003,0.002,984.0,800.0,1.0
"eps[38, 0]",0.105,0.037,0.039,0.178,0.001,0.001,811.0,819.0,1.0
"eps[39, 0]",0.097,0.059,-0.004,0.214,0.002,0.002,862.0,702.0,1.0
"eps[40, 0]",-0.006,0.042,-0.084,0.072,0.002,0.001,781.0,807.0,1.0
"eps[41, 0]",0.396,0.244,-0.093,0.81,0.008,0.007,1019.0,648.0,1.0
"eps[42, 0]",-0.238,0.078,-0.382,-0.093,0.003,0.002,844.0,804.0,1.01
"eps[43, 0]",-0.256,0.069,-0.386,-0.129,0.002,0.002,1128.0,945.0,1.0
"eps[44, 0]",-0.034,0.072,-0.168,0.097,0.002,0.002,860.0,720.0,1.0
"eps[45, 0]",0.019,0.06,-0.09,0.134,0.001,0.002,1922.0,642.0,1.0
"eps[46, 0]",-0.078,0.115,-0.278,0.129,0.004,0.003,1067.0,786.0,1.01
"eps[47, 0]",0.094,0.031,0.038,0.156,0.001,0.001,1541.0,775.0,1.01
"eps[48, 0]",0.146,0.052,0.052,0.239,0.002,0.001,1076.0,954.0,1.0
"eps[49, 0]",0.02,0.038,-0.052,0.091,0.001,0.001,917.0,951.0,1.0
"eps[50, 0]",-1.262,0.562,-2.068,-0.032,0.022,0.033,785.0,465.0,1.02
"eps[51, 0]",0.286,0.161,0.001,0.588,0.006,0.006,798.0,391.0,1.01
"eps[52, 0]",-0.07,0.141,-0.333,0.199,0.004,0.004,1198.0,751.0,1.0
"eps[53, 0]",0.197,0.07,0.078,0.333,0.002,0.002,1052.0,895.0,1.01
"eps_tform[0, 0]",0.625,0.813,-0.918,2.081,0.023,0.026,1234.0,658.0,1.0
"eps_tform[0, 1]",-1.476,0.819,-2.969,0.007,0.02,0.025,1642.0,876.0,1.0
