,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.334,0.096,0.172,0.509,0.004,0.003,716.0,673.0,1.0
Ds[0],34.314,0.085,34.16,34.464,0.003,0.002,687.0,587.0,1.0
RV[0],2.528,1.134,1.0,4.701,0.043,0.029,730.0,785.0,1.0
delM[0],-0.006,0.1,-0.189,0.179,0.003,0.002,998.0,1016.0,1.0
"eps[0, 0]",-0.176,0.136,-0.399,0.088,0.004,0.005,1306.0,736.0,1.0
"eps[1, 0]",0.303,0.313,-0.281,0.875,0.009,0.011,1242.0,700.0,1.01
"eps[2, 0]",0.074,0.203,-0.317,0.431,0.006,0.007,983.0,728.0,1.01
"eps[3, 0]",0.299,0.213,-0.073,0.707,0.006,0.006,1152.0,854.0,1.0
"eps[4, 0]",0.352,0.218,-0.108,0.7,0.007,0.007,963.0,739.0,1.0
"eps[5, 0]",-0.447,0.555,-1.478,0.61,0.014,0.017,1496.0,864.0,1.01
"eps[6, 0]",-0.613,0.431,-1.418,0.199,0.011,0.014,1593.0,832.0,1.01
"eps[7, 0]",-0.004,0.142,-0.258,0.28,0.004,0.005,1234.0,793.0,1.0
"eps[8, 0]",0.249,0.203,-0.106,0.622,0.006,0.006,1296.0,834.0,1.0
"eps[9, 0]",0.043,0.042,-0.037,0.115,0.001,0.001,1159.0,760.0,1.0
"eps[10, 0]",-0.006,0.053,-0.119,0.087,0.002,0.001,1105.0,809.0,1.0
"eps[11, 0]",0.102,0.033,0.041,0.159,0.001,0.001,965.0,714.0,1.0
"eps[12, 0]",-0.027,0.03,-0.084,0.027,0.001,0.001,890.0,689.0,1.0
"eps[13, 0]",0.027,0.031,-0.027,0.086,0.001,0.001,854.0,677.0,1.01
"eps[14, 0]",-0.3,0.105,-0.505,-0.113,0.003,0.003,1454.0,906.0,1.0
"eps[15, 0]",0.162,0.083,0.016,0.327,0.002,0.003,1352.0,938.0,1.01
"eps[16, 0]",0.066,0.053,-0.021,0.173,0.001,0.002,1397.0,733.0,1.01
"eps[17, 0]",0.045,0.057,-0.067,0.149,0.002,0.001,995.0,896.0,1.0
"eps[18, 0]",0.002,0.047,-0.081,0.092,0.002,0.001,869.0,822.0,1.0
"eps[19, 0]",0.11,0.041,0.031,0.182,0.001,0.001,1280.0,930.0,1.0
"eps[20, 0]",-0.11,0.03,-0.167,-0.053,0.001,0.001,725.0,638.0,1.0
"eps[21, 0]",0.006,0.025,-0.041,0.05,0.001,0.001,896.0,762.0,1.0
"eps[22, 0]",-0.089,0.031,-0.149,-0.029,0.001,0.001,745.0,809.0,1.0
"eps[23, 0]",0.039,0.146,-0.257,0.292,0.004,0.005,1271.0,815.0,1.0
"eps[24, 0]",0.034,0.074,-0.092,0.182,0.002,0.003,971.0,553.0,1.0
"eps[25, 0]",-0.104,0.061,-0.23,-0.005,0.002,0.002,1057.0,852.0,1.0
"eps[26, 0]",-0.015,0.062,-0.138,0.093,0.002,0.002,910.0,833.0,1.0
"eps[27, 0]",0.097,0.064,-0.032,0.208,0.002,0.002,1343.0,854.0,1.01
"eps[28, 0]",-0.217,0.084,-0.364,-0.058,0.002,0.002,1172.0,843.0,1.0
"eps[29, 0]",0.176,0.041,0.107,0.259,0.001,0.001,1366.0,876.0,1.0
"eps[30, 0]",-0.184,0.03,-0.246,-0.131,0.001,0.001,1021.0,781.0,1.0
"eps[31, 0]",-0.089,0.048,-0.177,-0.004,0.002,0.001,856.0,764.0,1.0
"eps[32, 0]",0.287,0.182,-0.031,0.63,0.005,0.005,1438.0,881.0,1.0
"eps[33, 0]",-0.268,0.075,-0.399,-0.118,0.003,0.002,892.0,852.0,1.0
"eps[34, 0]",0.207,0.074,0.064,0.341,0.002,0.002,1080.0,718.0,1.0
"eps[35, 0]",-0.09,0.051,-0.179,0.018,0.002,0.001,713.0,726.0,1.0
"eps[36, 0]",-0.094,0.058,-0.209,0.007,0.002,0.002,1492.0,812.0,1.01
"eps[37, 0]",0.293,0.097,0.12,0.474,0.003,0.003,1159.0,851.0,1.0
"eps[38, 0]",-0.235,0.037,-0.301,-0.16,0.001,0.001,1087.0,850.0,1.0
