,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.604,0.139,0.393,0.872,0.006,0.004,562.0,631.0,1.02
Ds[0],36.142,0.121,35.903,36.331,0.005,0.003,578.0,630.0,1.02
RV[0],1.752,0.547,1.003,2.719,0.023,0.02,589.0,749.0,1.01
delM[0],-0.0,0.098,-0.175,0.19,0.003,0.002,981.0,899.0,1.0
"eps[0, 0]",0.305,0.131,0.08,0.565,0.003,0.004,1685.0,730.0,1.0
"eps[1, 0]",0.103,0.267,-0.383,0.609,0.007,0.007,1416.0,741.0,1.0
"eps[2, 0]",0.256,0.219,-0.201,0.639,0.006,0.007,1496.0,714.0,1.0
"eps[3, 0]",-0.19,0.184,-0.529,0.152,0.005,0.005,1274.0,737.0,1.01
"eps[4, 0]",0.115,0.206,-0.235,0.537,0.006,0.006,1367.0,852.0,1.0
"eps[5, 0]",-0.033,0.5,-1.032,0.83,0.013,0.014,1496.0,724.0,1.0
"eps[6, 0]",-0.171,0.355,-0.854,0.448,0.01,0.014,1297.0,605.0,1.0
"eps[7, 0]",0.018,0.142,-0.254,0.287,0.004,0.005,1198.0,701.0,1.0
"eps[8, 0]",0.107,0.2,-0.269,0.455,0.004,0.006,2339.0,907.0,1.0
"eps[9, 0]",0.003,0.044,-0.078,0.084,0.001,0.001,1114.0,779.0,1.0
"eps[10, 0]",0.018,0.039,-0.049,0.096,0.001,0.001,865.0,781.0,1.0
"eps[11, 0]",0.084,0.034,0.022,0.148,0.001,0.001,1148.0,818.0,1.0
"eps[12, 0]",0.006,0.029,-0.048,0.06,0.001,0.001,828.0,714.0,1.0
"eps[13, 0]",-0.005,0.035,-0.078,0.054,0.001,0.001,1110.0,880.0,1.0
"eps[14, 0]",-0.024,0.092,-0.197,0.142,0.003,0.003,1261.0,837.0,1.0
"eps[15, 0]",-0.13,0.056,-0.239,-0.036,0.002,0.002,1023.0,916.0,1.0
"eps[16, 0]",-0.015,0.053,-0.114,0.077,0.002,0.002,952.0,839.0,1.01
"eps[17, 0]",0.011,0.065,-0.107,0.131,0.002,0.002,958.0,844.0,1.01
"eps[18, 0]",0.148,0.046,0.059,0.234,0.001,0.001,1013.0,792.0,1.0
"eps[19, 0]",0.287,0.05,0.195,0.376,0.001,0.001,1191.0,810.0,1.0
"eps[20, 0]",-0.259,0.037,-0.321,-0.183,0.001,0.001,1485.0,819.0,1.0
"eps[21, 0]",-0.142,0.036,-0.205,-0.073,0.001,0.001,1194.0,797.0,1.0
"eps[22, 0]",-0.271,0.039,-0.346,-0.197,0.001,0.001,1319.0,896.0,1.0
"eps[23, 0]",-0.154,0.139,-0.391,0.128,0.004,0.004,1222.0,804.0,1.01
"eps[24, 0]",-0.324,0.09,-0.493,-0.161,0.002,0.002,1425.0,918.0,1.0
"eps[25, 0]",-0.204,0.09,-0.361,-0.028,0.003,0.002,1094.0,929.0,1.0
"eps[26, 0]",0.122,0.095,-0.068,0.284,0.003,0.003,1347.0,849.0,1.0
"eps[27, 0]",0.055,0.068,-0.077,0.175,0.002,0.002,1174.0,799.0,1.0
"eps[28, 0]",0.156,0.086,-0.013,0.313,0.002,0.002,1497.0,896.0,1.0
"eps[29, 0]",0.095,0.05,0.008,0.193,0.001,0.001,1102.0,931.0,1.0
"eps[30, 0]",-0.019,0.04,-0.089,0.062,0.001,0.001,1299.0,854.0,1.0
"eps[31, 0]",-0.003,0.055,-0.095,0.107,0.002,0.002,915.0,735.0,1.0
"eps[32, 0]",-0.145,0.177,-0.494,0.168,0.005,0.005,1369.0,914.0,1.0
"eps[33, 0]",0.073,0.103,-0.121,0.256,0.003,0.003,901.0,837.0,1.0
"eps[34, 0]",0.018,0.138,-0.259,0.245,0.003,0.004,2756.0,918.0,1.0
"eps[35, 0]",0.005,0.082,-0.151,0.153,0.002,0.003,2410.0,892.0,1.01
"eps[36, 0]",-0.057,0.056,-0.153,0.056,0.001,0.002,1685.0,587.0,1.0
"eps[37, 0]",-0.186,0.126,-0.419,0.048,0.003,0.004,1322.0,753.0,1.0
"eps[38, 0]",0.04,0.046,-0.048,0.126,0.001,0.001,1325.0,833.0,1.0
"eps[39, 0]",0.005,0.071,-0.129,0.131,0.002,0.002,830.0,729.0,1.0
"eps[40, 0]",0.077,0.061,-0.033,0.188,0.002,0.002,1134.0,804.0,1.0
"eps[41, 0]",0.461,0.259,-0.042,0.9,0.006,0.007,1746.0,983.0,1.0
"eps[42, 0]",-0.087,0.128,-0.344,0.128,0.003,0.003,1656.0,892.0,1.0
"eps[43, 0]",-0.066,0.114,-0.277,0.131,0.003,0.003,1530.0,852.0,1.0
"eps[44, 0]",0.144,0.094,-0.047,0.311,0.002,0.003,1499.0,855.0,1.01
"eps[45, 0]",-0.183,0.052,-0.275,-0.087,0.001,0.002,2139.0,833.0,1.0
