,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.315,0.095,0.163,0.487,0.005,0.004,382.0,565.0,1.01
Ds[0],33.703,0.083,33.558,33.842,0.004,0.004,421.0,525.0,1.01
RV[0],1.959,0.89,1.001,3.635,0.051,0.047,332.0,475.0,1.01
delM[0],-0.001,0.099,-0.168,0.199,0.003,0.002,1036.0,955.0,1.0
"eps[0, 0]",0.669,0.121,0.453,0.904,0.004,0.004,1065.0,691.0,1.0
"eps[1, 0]",0.528,0.339,-0.059,1.176,0.017,0.01,417.0,499.0,1.0
"eps[2, 0]",0.194,0.21,-0.209,0.58,0.009,0.006,494.0,686.0,1.0
"eps[3, 0]",0.562,0.183,0.216,0.899,0.009,0.005,425.0,716.0,1.01
"eps[4, 0]",-0.159,0.267,-0.628,0.328,0.02,0.008,186.0,398.0,1.01
"eps[5, 0]",1.958,0.521,0.89,2.847,0.024,0.013,463.0,681.0,1.0
"eps[6, 0]",0.208,0.373,-0.497,0.917,0.012,0.01,1042.0,889.0,1.0
"eps[7, 0]",0.177,0.139,-0.091,0.43,0.004,0.005,1259.0,582.0,1.01
"eps[8, 0]",0.315,0.189,-0.089,0.636,0.006,0.007,1052.0,780.0,1.01
"eps[9, 0]",0.022,0.04,-0.05,0.098,0.002,0.001,461.0,588.0,1.01
"eps[10, 0]",0.086,0.039,0.006,0.153,0.001,0.001,727.0,733.0,1.0
"eps[11, 0]",0.146,0.028,0.093,0.195,0.001,0.001,427.0,696.0,1.0
"eps[12, 0]",0.211,0.03,0.153,0.264,0.002,0.001,364.0,555.0,1.0
"eps[13, 0]",-0.081,0.025,-0.125,-0.036,0.001,0.001,801.0,664.0,1.0
"eps[14, 0]",0.025,0.108,-0.194,0.202,0.005,0.003,419.0,654.0,1.0
"eps[15, 0]",-0.349,0.076,-0.48,-0.201,0.005,0.002,237.0,602.0,1.01
"eps[16, 0]",-0.355,0.048,-0.438,-0.255,0.002,0.001,484.0,689.0,1.0
