,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.157,0.075,0.03,0.287,0.004,0.004,361.0,458.0,1.01
Ds[0],35.294,0.061,35.175,35.403,0.003,0.002,434.0,400.0,1.01
RV[0],3.95,1.333,1.496,5.992,0.045,0.035,934.0,513.0,1.0
delM[0],-0.001,0.097,-0.183,0.177,0.003,0.002,1061.0,919.0,1.0
"eps[0, 0]",0.082,0.069,-0.037,0.22,0.004,0.002,373.0,484.0,1.01
"eps[1, 0]",0.191,0.115,-0.011,0.412,0.005,0.003,519.0,689.0,1.0
"eps[2, 0]",0.006,0.093,-0.158,0.179,0.004,0.003,606.0,789.0,1.0
"eps[3, 0]",0.12,0.081,-0.029,0.267,0.003,0.002,585.0,793.0,1.01
"eps[4, 0]",0.07,0.077,-0.061,0.214,0.003,0.002,596.0,800.0,1.0
"eps[5, 0]",0.234,0.442,-0.67,1.011,0.017,0.014,643.0,360.0,1.01
"eps[6, 0]",-0.067,0.187,-0.411,0.286,0.008,0.007,533.0,274.0,1.0
"eps[7, 0]",-0.059,0.085,-0.223,0.09,0.003,0.002,881.0,626.0,1.01
"eps[8, 0]",-0.123,0.141,-0.365,0.168,0.005,0.004,867.0,421.0,1.0
"eps[9, 0]",0.074,0.043,-0.004,0.154,0.002,0.001,527.0,455.0,1.0
"eps[10, 0]",0.095,0.067,-0.024,0.225,0.003,0.002,668.0,736.0,1.0
"eps[11, 0]",0.052,0.039,-0.017,0.122,0.001,0.001,751.0,790.0,1.0
"eps[12, 0]",-0.004,0.037,-0.073,0.064,0.001,0.001,676.0,533.0,1.0
"eps[13, 0]",0.029,0.039,-0.043,0.103,0.001,0.001,768.0,731.0,1.0
"eps[14, 0]",-0.067,0.097,-0.238,0.119,0.003,0.003,880.0,911.0,1.0
"eps[15, 0]",0.026,0.059,-0.086,0.126,0.002,0.002,549.0,821.0,1.01
"eps[16, 0]",0.065,0.046,-0.017,0.146,0.002,0.001,717.0,795.0,1.01
"eps[17, 0]",0.019,0.061,-0.096,0.136,0.002,0.002,979.0,904.0,1.0
"eps[18, 0]",-0.09,0.038,-0.164,-0.025,0.002,0.001,532.0,576.0,1.01
"eps[19, 0]",0.041,0.032,-0.014,0.106,0.001,0.001,861.0,737.0,1.0
"eps[20, 0]",-0.054,0.025,-0.101,-0.008,0.001,0.001,688.0,478.0,1.0
"eps[21, 0]",-0.019,0.024,-0.066,0.022,0.001,0.001,693.0,711.0,1.0
"eps[22, 0]",-0.105,0.027,-0.153,-0.052,0.001,0.001,686.0,802.0,1.01
