,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.023,0.019,0.0,0.061,0.001,0.001,710.0,393.0,1.01
Ds[0],35.057,0.038,34.989,35.127,0.002,0.001,322.0,500.0,1.01
RV[0],3.762,1.42,1.425,5.997,0.039,0.035,1297.0,593.0,1.0
delM[0],-0.004,0.098,-0.192,0.18,0.003,0.002,1001.0,879.0,1.0
"eps[0, 0]",0.013,0.047,-0.068,0.101,0.002,0.001,413.0,500.0,1.01
"eps[1, 0]",0.333,0.093,0.157,0.502,0.005,0.002,403.0,686.0,1.01
"eps[2, 0]",-0.133,0.063,-0.241,-0.012,0.002,0.002,839.0,706.0,1.0
"eps[3, 0]",0.135,0.055,0.032,0.234,0.003,0.002,453.0,597.0,1.0
"eps[4, 0]",-0.23,0.052,-0.319,-0.127,0.002,0.001,518.0,682.0,1.0
"eps[5, 0]",-0.238,0.321,-0.839,0.335,0.013,0.01,615.0,709.0,1.0
"eps[6, 0]",0.19,0.126,-0.048,0.412,0.005,0.004,694.0,675.0,1.0
"eps[7, 0]",-0.087,0.056,-0.179,0.034,0.002,0.002,513.0,610.0,1.01
"eps[8, 0]",0.311,0.092,0.14,0.477,0.003,0.002,719.0,690.0,1.0
"eps[9, 0]",-0.02,0.019,-0.055,0.014,0.001,0.001,432.0,360.0,1.0
"eps[10, 0]",-0.039,0.032,-0.098,0.019,0.001,0.001,603.0,632.0,1.0
"eps[11, 0]",0.012,0.025,-0.031,0.059,0.001,0.001,680.0,526.0,1.0
"eps[12, 0]",-0.003,0.023,-0.043,0.045,0.001,0.001,406.0,463.0,1.0
"eps[13, 0]",-0.048,0.028,-0.096,0.008,0.001,0.001,420.0,385.0,1.0
"eps[14, 0]",-0.149,0.089,-0.317,0.011,0.003,0.002,1012.0,754.0,1.0
"eps[15, 0]",-0.039,0.046,-0.126,0.042,0.002,0.001,437.0,694.0,1.0
"eps[16, 0]",-0.035,0.029,-0.086,0.02,0.001,0.001,392.0,374.0,1.01
"eps[17, 0]",0.018,0.058,-0.088,0.129,0.002,0.002,1015.0,664.0,1.0
"eps[18, 0]",-0.065,0.032,-0.124,-0.008,0.002,0.001,369.0,613.0,1.01
"eps[19, 0]",-0.026,0.024,-0.071,0.015,0.001,0.001,802.0,662.0,1.0
"eps[20, 0]",-0.017,0.021,-0.056,0.021,0.001,0.001,600.0,883.0,1.0
"eps[21, 0]",0.009,0.018,-0.024,0.042,0.001,0.0,549.0,734.0,1.0
