,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.231,0.085,0.095,0.398,0.004,0.003,488.0,627.0,1.01
Ds[0],35.646,0.076,35.496,35.777,0.003,0.002,505.0,680.0,1.02
RV[0],2.987,1.387,1.005,5.476,0.061,0.026,558.0,646.0,1.01
delM[0],0.003,0.1,-0.175,0.179,0.003,0.002,1037.0,992.0,1.0
"eps[0, 0]",-0.165,0.079,-0.327,-0.029,0.002,0.002,1343.0,845.0,1.0
"eps[1, 0]",0.186,0.203,-0.173,0.565,0.007,0.006,837.0,691.0,1.0
"eps[2, 0]",-0.264,0.171,-0.581,0.074,0.006,0.005,770.0,780.0,1.0
"eps[3, 0]",0.376,0.133,0.159,0.656,0.005,0.004,745.0,678.0,1.0
"eps[4, 0]",-0.243,0.15,-0.539,0.019,0.005,0.004,767.0,711.0,1.0
"eps[5, 0]",0.289,0.502,-0.622,1.209,0.017,0.014,885.0,736.0,1.0
"eps[6, 0]",-0.057,0.439,-0.766,0.846,0.013,0.012,1134.0,674.0,1.01
"eps[7, 0]",-0.121,0.145,-0.397,0.145,0.005,0.004,1030.0,833.0,1.0
"eps[8, 0]",0.074,0.199,-0.269,0.474,0.006,0.007,1232.0,716.0,1.01
"eps[9, 0]",0.069,0.041,-0.012,0.14,0.002,0.001,433.0,670.0,1.01
"eps[10, 0]",0.097,0.037,0.034,0.171,0.002,0.001,524.0,713.0,1.0
"eps[11, 0]",0.059,0.026,0.008,0.104,0.001,0.001,629.0,824.0,1.0
"eps[12, 0]",0.047,0.03,-0.005,0.106,0.001,0.001,595.0,636.0,1.0
"eps[13, 0]",0.03,0.03,-0.026,0.084,0.001,0.001,661.0,750.0,1.0
"eps[14, 0]",-0.079,0.097,-0.257,0.106,0.004,0.003,760.0,684.0,1.01
"eps[15, 0]",-0.037,0.06,-0.146,0.075,0.002,0.002,765.0,823.0,1.0
"eps[16, 0]",-0.021,0.057,-0.121,0.088,0.002,0.002,826.0,791.0,1.0
"eps[17, 0]",-0.018,0.066,-0.138,0.108,0.002,0.002,1105.0,729.0,1.01
"eps[18, 0]",-0.049,0.036,-0.112,0.019,0.002,0.001,559.0,615.0,1.0
"eps[19, 0]",0.043,0.026,-0.002,0.093,0.001,0.001,661.0,864.0,1.0
"eps[20, 0]",-0.029,0.022,-0.071,0.009,0.001,0.001,629.0,637.0,1.0
"eps[21, 0]",-0.065,0.022,-0.106,-0.027,0.001,0.001,636.0,729.0,1.01
"eps[22, 0]",-0.071,0.029,-0.124,-0.014,0.001,0.001,656.0,742.0,1.01
"eps[23, 0]",-0.028,0.144,-0.296,0.228,0.005,0.005,823.0,753.0,1.01
