,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.026,0.023,0.0,0.072,0.001,0.001,599.0,443.0,1.01
Ds[0],37.17,0.048,37.078,37.251,0.002,0.001,460.0,457.0,1.0
RV[0],3.888,1.354,1.611,5.973,0.038,0.037,1303.0,488.0,1.01
delM[0],-0.005,0.097,-0.173,0.195,0.003,0.002,984.0,715.0,1.0
"eps[0, 0]",-0.09,0.11,-0.31,0.104,0.003,0.003,1102.0,795.0,1.0
"eps[1, 0]",0.083,0.236,-0.332,0.509,0.007,0.01,1255.0,680.0,1.01
"eps[2, 0]",0.304,0.225,-0.149,0.682,0.008,0.007,894.0,647.0,1.0
"eps[3, 0]",0.466,0.204,0.079,0.842,0.006,0.008,999.0,554.0,1.01
"eps[4, 0]",0.638,0.253,0.159,1.09,0.008,0.008,1116.0,580.0,1.0
"eps[5, 0]",0.152,0.535,-0.823,1.145,0.018,0.018,915.0,788.0,1.0
"eps[6, 0]",0.071,0.455,-0.787,0.88,0.013,0.013,1326.0,767.0,1.0
"eps[7, 0]",0.058,0.151,-0.228,0.342,0.004,0.005,1322.0,821.0,1.0
"eps[8, 0]",-0.04,0.204,-0.419,0.349,0.005,0.006,1610.0,842.0,1.0
"eps[9, 0]",-0.036,0.023,-0.083,0.005,0.001,0.001,552.0,576.0,1.0
"eps[10, 0]",-0.022,0.031,-0.075,0.038,0.001,0.001,629.0,721.0,1.0
"eps[11, 0]",-0.103,0.03,-0.164,-0.05,0.001,0.001,866.0,711.0,1.0
"eps[12, 0]",0.022,0.033,-0.041,0.084,0.001,0.001,735.0,668.0,1.0
"eps[13, 0]",-0.066,0.045,-0.151,0.016,0.002,0.001,702.0,671.0,1.0
"eps[14, 0]",-0.006,0.112,-0.196,0.229,0.003,0.003,1251.0,777.0,1.0
"eps[15, 0]",-0.053,0.087,-0.216,0.109,0.002,0.003,1516.0,709.0,1.0
"eps[16, 0]",-0.015,0.085,-0.168,0.146,0.002,0.003,1393.0,605.0,1.0
"eps[17, 0]",-0.105,0.081,-0.244,0.058,0.002,0.003,1751.0,812.0,1.0
"eps[18, 0]",-0.025,0.032,-0.08,0.042,0.001,0.001,655.0,590.0,1.01
"eps[19, 0]",0.015,0.026,-0.033,0.064,0.001,0.001,718.0,704.0,1.0
"eps[20, 0]",0.02,0.033,-0.042,0.079,0.001,0.001,599.0,556.0,1.0
"eps[21, 0]",0.2,0.035,0.138,0.27,0.001,0.001,870.0,698.0,1.01
"eps[22, 0]",0.174,0.056,0.078,0.278,0.002,0.002,529.0,658.0,1.01
"eps[23, 0]",0.095,0.137,-0.184,0.326,0.004,0.004,1224.0,743.0,1.0
"eps[24, 0]",0.154,0.138,-0.084,0.425,0.004,0.005,1301.0,710.0,1.0
"eps[25, 0]",0.05,0.138,-0.206,0.301,0.004,0.004,1438.0,796.0,1.0
"eps[26, 0]",0.016,0.136,-0.236,0.265,0.004,0.004,1448.0,737.0,1.0
"eps[27, 0]",-0.073,0.056,-0.177,0.032,0.002,0.002,565.0,595.0,1.0
"eps[28, 0]",0.003,0.054,-0.093,0.105,0.002,0.001,959.0,914.0,1.0
"eps[29, 0]",-0.069,0.047,-0.155,0.021,0.001,0.001,985.0,683.0,1.0
"eps[30, 0]",-0.002,0.047,-0.089,0.088,0.002,0.001,591.0,863.0,1.01
"eps[31, 0]",-0.008,0.072,-0.142,0.124,0.003,0.002,728.0,734.0,1.0
"eps[32, 0]",0.072,0.179,-0.289,0.387,0.005,0.005,1096.0,761.0,1.0
"eps[33, 0]",-0.277,0.307,-0.871,0.265,0.009,0.01,1129.0,621.0,1.0
"eps[34, 0]",-0.05,0.157,-0.364,0.227,0.004,0.006,1852.0,716.0,1.0
"eps[35, 0]",0.021,0.089,-0.155,0.177,0.002,0.003,1373.0,653.0,1.0
"eps[36, 0]",-0.011,0.059,-0.116,0.097,0.002,0.002,1001.0,763.0,1.01
"eps[37, 0]",-0.02,0.125,-0.26,0.208,0.004,0.003,841.0,787.0,1.0
"eps[38, 0]",0.116,0.049,0.018,0.196,0.002,0.001,1031.0,756.0,1.0
"eps[39, 0]",0.072,0.084,-0.092,0.218,0.003,0.003,770.0,709.0,1.01
"eps[40, 0]",0.084,0.063,-0.039,0.197,0.002,0.002,1330.0,845.0,1.0
"eps[41, 0]",0.238,0.375,-0.528,0.868,0.011,0.011,1228.0,904.0,1.0
"eps[42, 0]",0.017,0.175,-0.314,0.332,0.005,0.006,1368.0,762.0,1.0
"eps[43, 0]",0.196,0.13,-0.059,0.434,0.003,0.004,1781.0,651.0,1.0
"eps[44, 0]",0.036,0.098,-0.154,0.215,0.003,0.003,1126.0,697.0,1.0
"eps[45, 0]",-0.049,0.059,-0.163,0.057,0.002,0.002,1483.0,736.0,1.0
"eps[46, 0]",-0.389,0.193,-0.734,-0.016,0.006,0.005,1187.0,813.0,1.0
"eps[47, 0]",-0.005,0.034,-0.069,0.052,0.001,0.001,1168.0,848.0,1.0
"eps[48, 0]",-0.054,0.09,-0.226,0.112,0.003,0.003,1067.0,700.0,1.0
