,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.033,0.031,0.0,0.094,0.003,0.006,222.0,48.0,1.02
Ds[0],36.485,0.043,36.402,36.562,0.003,0.002,231.0,76.0,1.01
RV[0],3.866,1.372,1.611,5.981,0.04,0.035,1339.0,559.0,1.0
delM[0],-0.004,0.099,-0.181,0.196,0.003,0.002,999.0,1023.0,1.0
"eps[0, 0]",-0.176,0.093,-0.338,0.003,0.004,0.003,412.0,385.0,1.01
"eps[1, 0]",-0.37,0.2,-0.776,-0.043,0.008,0.006,694.0,704.0,1.0
"eps[2, 0]",0.199,0.188,-0.129,0.556,0.008,0.007,511.0,501.0,1.0
"eps[3, 0]",-0.337,0.177,-0.679,-0.024,0.008,0.005,542.0,589.0,1.0
"eps[4, 0]",0.001,0.194,-0.402,0.316,0.008,0.006,628.0,648.0,1.01
"eps[5, 0]",0.009,0.48,-0.865,0.874,0.02,0.014,613.0,743.0,1.01
"eps[6, 0]",0.268,0.42,-0.592,0.939,0.023,0.02,336.0,78.0,1.02
"eps[7, 0]",0.08,0.142,-0.175,0.364,0.005,0.004,904.0,764.0,1.0
"eps[8, 0]",0.221,0.191,-0.144,0.54,0.008,0.006,503.0,331.0,1.01
"eps[9, 0]",-0.044,0.024,-0.084,0.0,0.002,0.001,261.0,381.0,1.02
"eps[10, 0]",-0.053,0.029,-0.106,0.004,0.002,0.001,348.0,408.0,1.01
"eps[11, 0]",-0.139,0.025,-0.184,-0.091,0.001,0.001,530.0,606.0,1.01
"eps[12, 0]",0.05,0.031,-0.011,0.107,0.001,0.001,437.0,364.0,1.0
"eps[13, 0]",-0.116,0.032,-0.176,-0.057,0.002,0.001,434.0,592.0,1.01
"eps[14, 0]",0.014,0.081,-0.139,0.155,0.003,0.002,640.0,621.0,1.0
"eps[15, 0]",0.173,0.06,0.054,0.281,0.002,0.002,618.0,752.0,1.0
"eps[16, 0]",0.104,0.056,-0.003,0.214,0.002,0.002,769.0,466.0,1.01
"eps[17, 0]",-0.187,0.055,-0.29,-0.083,0.002,0.002,479.0,668.0,1.01
"eps[18, 0]",0.012,0.033,-0.048,0.071,0.002,0.001,361.0,618.0,1.01
"eps[19, 0]",-0.042,0.038,-0.106,0.032,0.001,0.001,778.0,879.0,1.0
"eps[20, 0]",0.066,0.033,-0.001,0.126,0.001,0.001,583.0,692.0,1.0
"eps[21, 0]",0.07,0.036,-0.0,0.134,0.001,0.001,572.0,764.0,1.0
"eps[22, 0]",0.026,0.042,-0.049,0.106,0.002,0.001,689.0,572.0,1.01
"eps[23, 0]",0.053,0.128,-0.202,0.277,0.005,0.003,748.0,916.0,1.01
"eps[24, 0]",0.305,0.092,0.126,0.462,0.004,0.003,563.0,544.0,1.0
"eps[25, 0]",0.043,0.124,-0.189,0.258,0.005,0.004,678.0,808.0,1.01
"eps[26, 0]",0.12,0.065,-0.002,0.247,0.003,0.002,433.0,556.0,1.0
"eps[27, 0]",-0.089,0.05,-0.173,0.012,0.003,0.001,318.0,560.0,1.01
"eps[28, 0]",0.078,0.041,0.004,0.154,0.002,0.001,582.0,714.0,1.0
"eps[29, 0]",0.02,0.035,-0.052,0.082,0.001,0.001,562.0,580.0,1.0
"eps[30, 0]",0.094,0.031,0.031,0.148,0.001,0.001,558.0,781.0,1.01
"eps[31, 0]",0.076,0.059,-0.043,0.176,0.003,0.002,366.0,405.0,1.0
"eps[32, 0]",0.176,0.184,-0.196,0.478,0.008,0.006,581.0,652.0,1.0
"eps[33, 0]",0.013,0.159,-0.262,0.324,0.006,0.004,703.0,787.0,1.0
"eps[34, 0]",0.198,0.145,-0.091,0.448,0.005,0.004,820.0,709.0,1.01
"eps[35, 0]",0.172,0.083,0.001,0.314,0.002,0.003,1218.0,683.0,1.01
"eps[36, 0]",-0.176,0.035,-0.235,-0.105,0.002,0.001,341.0,620.0,1.01
"eps[37, 0]",0.117,0.065,-0.006,0.239,0.004,0.002,335.0,585.0,1.01
"eps[38, 0]",0.017,0.039,-0.053,0.093,0.002,0.001,424.0,662.0,1.01
"eps[39, 0]",0.084,0.041,0.001,0.158,0.002,0.001,367.0,553.0,1.01
"eps[40, 0]",0.216,0.043,0.137,0.295,0.002,0.001,420.0,571.0,1.02
"eps[41, 0]",0.041,0.224,-0.393,0.425,0.009,0.006,623.0,837.0,1.01
"eps[42, 0]",0.42,0.13,0.203,0.672,0.005,0.004,632.0,670.0,1.01
"eps[43, 0]",0.228,0.126,0.004,0.457,0.004,0.004,1005.0,693.0,1.01
"eps[44, 0]",0.09,0.089,-0.062,0.251,0.004,0.003,640.0,506.0,1.01
"eps[45, 0]",0.073,0.059,-0.046,0.177,0.004,0.003,277.0,75.0,1.02
"eps[46, 0]",-0.069,0.149,-0.351,0.2,0.005,0.005,924.0,757.0,1.0
"eps[47, 0]",0.003,0.034,-0.059,0.069,0.001,0.001,609.0,448.0,1.01
"eps[48, 0]",-0.191,0.065,-0.308,-0.068,0.002,0.002,1176.0,771.0,1.0
"eps[49, 0]",-0.227,0.065,-0.34,-0.093,0.002,0.002,1059.0,723.0,1.02
"eps[50, 0]",-0.278,0.453,-1.195,0.453,0.014,0.014,1061.0,760.0,1.0
"eps[51, 0]",-0.128,0.255,-0.608,0.341,0.008,0.008,1125.0,730.0,1.01
"eps[52, 0]",-0.14,0.142,-0.391,0.129,0.006,0.004,656.0,801.0,1.01
"eps[53, 0]",-0.131,0.076,-0.263,0.028,0.002,0.002,1187.0,856.0,1.01
"eps_tform[0, 0]",-1.1,0.582,-2.115,0.017,0.027,0.02,412.0,385.0,1.01
"eps_tform[0, 1]",-1.256,0.525,-2.303,-0.321,0.019,0.014,727.0,837.0,1.01
"eps_tform[0, 2]",0.432,0.628,-0.659,1.649,0.027,0.022,562.0,548.0,1.0
"eps_tform[0, 3]",-0.46,0.574,-1.386,0.735,0.023,0.016,615.0,638.0,1.0
"eps_tform[0, 4]",-0.181,0.645,-1.344,1.046,0.024,0.023,755.0,682.0,1.01
"eps_tform[0, 5]",-0.133,0.791,-1.525,1.373,0.029,0.023,782.0,611.0,1.01
"eps_tform[0, 6]",0.802,0.859,-0.802,2.326,0.041,0.026,461.0,261.0,1.01
"eps_tform[0, 7]",0.582,0.865,-0.973,2.257,0.029,0.026,892.0,910.0,1.0
"eps_tform[0, 8]",1.039,0.861,-0.609,2.495,0.032,0.027,697.0,690.0,1.01
"eps_tform[0, 9]",-0.372,0.382,-1.132,0.237,0.03,0.021,182.0,36.0,1.03
"eps_tform[0, 10]",-0.231,0.307,-0.837,0.291,0.017,0.01,335.0,529.0,1.01
"eps_tform[0, 11]",-2.328,0.453,-3.22,-1.502,0.021,0.014,484.0,483.0,1.01
"eps_tform[0, 12]",1.294,0.589,0.035,2.267,0.025,0.017,563.0,593.0,1.0
"eps_tform[0, 13]",-1.229,0.478,-2.091,-0.333,0.023,0.014,431.0,617.0,1.01
"eps_tform[0, 14]",0.302,0.639,-0.821,1.511,0.026,0.017,625.0,784.0,1.0
"eps_tform[0, 15]",2.305,0.64,1.113,3.499,0.026,0.016,580.0,832.0,1.0
"eps_tform[0, 16]",1.077,0.658,-0.126,2.333,0.025,0.021,701.0,553.0,1.0
"eps_tform[0, 17]",-2.605,0.653,-3.781,-1.272,0.029,0.02,506.0,715.0,1.0
"eps_tform[0, 18]",0.251,0.509,-0.828,1.066,0.027,0.014,350.0,636.0,1.01
"eps_tform[0, 19]",0.301,0.444,-0.537,1.158,0.019,0.013,571.0,551.0,1.01
"eps_tform[0, 20]",1.035,0.575,-0.105,1.978,0.026,0.02,493.0,667.0,1.01
"eps_tform[0, 21]",0.44,0.636,-0.714,1.642,0.025,0.019,632.0,686.0,1.0
"eps_tform[0, 22]",-0.194,0.526,-1.187,0.791,0.021,0.015,613.0,711.0,1.0
"eps_tform[0, 23]",0.995,0.744,-0.364,2.416,0.025,0.019,848.0,848.0,1.0
"eps_tform[0, 24]",1.761,0.555,0.729,2.786,0.024,0.018,559.0,508.0,1.0
"eps_tform[0, 25]",-0.279,0.861,-1.763,1.329,0.03,0.026,879.0,687.0,1.01
"eps_tform[0, 26]",0.916,0.532,-0.152,1.834,0.021,0.015,653.0,598.0,1.0
"eps_tform[0, 27]",-0.392,0.506,-1.279,0.7,0.025,0.016,419.0,547.0,1.01
"eps_tform[0, 28]",1.23,0.432,0.39,2.004,0.018,0.015,594.0,484.0,1.0
"eps_tform[0, 29]",0.062,0.521,-0.817,1.082,0.018,0.015,843.0,751.0,1.01
"eps_tform[0, 30]",0.904,0.551,-0.163,1.882,0.02,0.015,763.0,692.0,1.01
"eps_tform[0, 31]",1.141,0.621,0.076,2.359,0.027,0.018,517.0,603.0,1.0
"eps_tform[0, 32]",0.171,0.896,-1.405,1.742,0.029,0.025,970.0,790.0,1.01
"eps_tform[0, 33]",0.094,0.549,-0.87,1.175,0.023,0.025,586.0,441.0,1.02
"eps_tform[0, 34]",0.967,0.932,-0.817,2.648,0.025,0.029,1443.0,593.0,1.0
"eps_tform[0, 35]",1.076,0.978,-0.995,2.758,0.024,0.041,1690.0,641.0,1.0
"eps_tform[0, 36]",-1.307,0.486,-2.165,-0.334,0.025,0.013,377.0,643.0,1.01
"eps_tform[0, 37]",0.619,0.472,-0.31,1.443,0.023,0.014,409.0,482.0,1.01
"eps_tform[0, 38]",0.325,0.632,-0.721,1.608,0.022,0.017,862.0,872.0,1.0
"eps_tform[0, 39]",-0.464,0.496,-1.404,0.437,0.022,0.014,516.0,638.0,1.0
"eps_tform[0, 40]",0.923,0.643,-0.286,2.075,0.028,0.021,529.0,518.0,1.0
"eps_tform[0, 41]",0.119,0.737,-1.205,1.521,0.023,0.02,1033.0,818.0,1.01
"eps_tform[0, 42]",1.081,0.699,-0.126,2.361,0.028,0.021,621.0,732.0,1.01
"eps_tform[0, 43]",-0.05,1.024,-2.057,1.745,0.028,0.039,1336.0,655.0,1.0
"eps_tform[0, 44]",-0.23,1.033,-1.83,1.92,0.045,0.05,585.0,49.0,1.0
"eps_tform[0, 45]",0.22,1.007,-1.486,2.097,0.048,0.043,443.0,421.0,1.01
"eps_tform[0, 46]",-0.889,0.643,-2.139,0.266,0.021,0.02,929.0,738.0,1.0
"eps_tform[0, 47]",-0.462,0.932,-2.06,1.376,0.031,0.032,915.0,495.0,1.0
"eps_tform[0, 48]",-1.747,0.816,-3.192,-0.168,0.023,0.026,1216.0,856.0,1.0
"eps_tform[0, 49]",-0.78,0.843,-2.299,0.748,0.024,0.025,1198.0,755.0,1.01
"eps_tform[0, 50]",0.052,0.976,-1.687,1.927,0.05,0.04,423.0,64.0,1.02
"eps_tform[0, 51]",-0.977,0.858,-2.518,0.573,0.025,0.032,1161.0,821.0,1.01
"eps_tform[0, 52]",0.067,0.983,-1.793,1.948,0.022,0.042,1915.0,687.0,1.01
"eps_tform[0, 53]",0.029,0.924,-1.633,1.823,0.018,0.032,2633.0,823.0,1.02
mu[0],36.489,0.106,36.298,36.692,0.004,0.003,854.0,950.0,1.0
peak_MJD[0],54595.617,0.243,54595.15,54596.07,0.011,0.009,537.0,536.0,1.01
theta[0],-1.427,0.187,-1.769,-1.072,0.011,0.006,279.0,421.0,1.02
tmax[0],1.353,0.232,0.907,1.786,0.01,0.008,537.0,536.0,1.01
