,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.077,0.048,0.001,0.161,0.003,0.002,350.0,389.0,1.02
Ds[0],34.446,0.067,34.319,34.571,0.006,0.002,126.0,407.0,1.03
RV[0],3.848,1.359,1.609,5.979,0.039,0.039,1268.0,547.0,1.0
delM[0],0.002,0.096,-0.195,0.168,0.003,0.002,1016.0,865.0,1.0
"eps[0, 0]",0.075,0.133,-0.21,0.305,0.004,0.005,1204.0,626.0,1.01
"eps[1, 0]",0.547,0.316,-0.029,1.127,0.01,0.009,972.0,788.0,1.0
"eps[2, 0]",-0.039,0.23,-0.466,0.384,0.006,0.008,1343.0,783.0,1.01
"eps[3, 0]",0.685,0.219,0.262,1.06,0.007,0.007,955.0,750.0,1.0
"eps[4, 0]",0.407,0.255,-0.09,0.865,0.011,0.009,497.0,339.0,1.01
"eps[5, 0]",-0.252,0.539,-1.185,0.842,0.029,0.021,397.0,330.0,1.02
"eps[6, 0]",-0.038,0.4,-0.782,0.755,0.011,0.014,1382.0,688.0,1.01
"eps[7, 0]",0.036,0.15,-0.249,0.308,0.004,0.005,1496.0,589.0,1.0
"eps[8, 0]",-0.012,0.195,-0.406,0.313,0.006,0.006,1038.0,821.0,1.0
"eps[9, 0]",0.088,0.053,-0.005,0.184,0.002,0.002,1141.0,754.0,1.01
"eps[10, 0]",-0.071,0.083,-0.235,0.077,0.003,0.003,1065.0,813.0,1.0
"eps[11, 0]",0.101,0.047,0.021,0.19,0.002,0.001,989.0,751.0,1.01
"eps[12, 0]",-0.028,0.038,-0.091,0.051,0.001,0.001,1055.0,552.0,1.01
"eps[13, 0]",0.109,0.047,0.024,0.193,0.002,0.002,928.0,640.0,1.0
"eps[14, 0]",-0.178,0.118,-0.412,0.024,0.011,0.015,184.0,62.0,1.03
"eps[15, 0]",0.021,0.082,-0.119,0.175,0.002,0.003,1469.0,845.0,1.0
"eps[16, 0]",0.068,0.083,-0.093,0.21,0.002,0.003,1256.0,602.0,1.0
"eps[17, 0]",-0.049,0.079,-0.203,0.097,0.002,0.003,1595.0,626.0,1.01
"eps[18, 0]",0.158,0.04,0.078,0.232,0.002,0.001,666.0,457.0,1.01
"eps[19, 0]",0.177,0.057,0.062,0.271,0.002,0.001,1263.0,898.0,1.0
"eps[20, 0]",0.032,0.033,-0.033,0.092,0.001,0.001,1207.0,863.0,1.0
"eps[21, 0]",0.04,0.029,-0.017,0.09,0.001,0.001,1230.0,876.0,1.0
"eps[22, 0]",-0.002,0.035,-0.061,0.066,0.001,0.001,731.0,658.0,1.01
"eps[23, 0]",0.289,0.106,0.077,0.474,0.005,0.004,509.0,368.0,1.01
"eps[24, 0]",-0.017,0.067,-0.143,0.106,0.003,0.002,399.0,483.0,1.02
"eps[25, 0]",-0.094,0.063,-0.215,0.022,0.002,0.002,903.0,821.0,1.0
"eps[26, 0]",-0.045,0.062,-0.158,0.067,0.004,0.002,267.0,391.0,1.02
"eps[27, 0]",-0.074,0.064,-0.202,0.039,0.004,0.003,212.0,166.0,1.02
"eps[28, 0]",0.19,0.041,0.113,0.264,0.002,0.001,490.0,447.0,1.01
"eps[29, 0]",-0.198,0.029,-0.253,-0.146,0.002,0.001,348.0,287.0,1.01
"eps[30, 0]",-0.092,0.026,-0.142,-0.047,0.001,0.001,387.0,578.0,1.02
"eps[31, 0]",-0.091,0.06,-0.198,0.021,0.006,0.003,120.0,113.0,1.04
"eps[32, 0]",-0.06,0.115,-0.262,0.156,0.01,0.013,229.0,75.0,1.02
"eps[33, 0]",-0.013,0.095,-0.183,0.168,0.007,0.003,204.0,310.0,1.03
"eps[34, 0]",0.074,0.092,-0.095,0.243,0.01,0.007,86.0,85.0,1.04
"eps[35, 0]",0.068,0.045,-0.018,0.15,0.002,0.001,475.0,458.0,1.02
