,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.111,0.055,0.009,0.207,0.003,0.002,283.0,343.0,1.02
Ds[0],34.488,0.047,34.406,34.58,0.005,0.002,99.0,187.0,1.03
RV[0],4.185,1.221,2.077,5.996,0.042,0.031,829.0,672.0,1.0
delM[0],0.001,0.095,-0.173,0.173,0.003,0.002,1021.0,987.0,1.01
"eps[0, 0]",0.124,0.121,-0.092,0.361,0.005,0.004,514.0,579.0,1.01
"eps[1, 0]",0.208,0.266,-0.256,0.732,0.012,0.01,496.0,555.0,1.01
"eps[2, 0]",0.392,0.179,0.058,0.699,0.01,0.006,285.0,347.0,1.02
"eps[3, 0]",0.54,0.172,0.25,0.872,0.009,0.006,376.0,455.0,1.01
"eps[4, 0]",0.397,0.192,0.076,0.765,0.013,0.007,233.0,434.0,1.02
"eps[5, 0]",-0.344,0.492,-1.273,0.539,0.019,0.014,689.0,740.0,1.0
"eps[6, 0]",-1.759,0.324,-2.337,-1.099,0.016,0.012,427.0,532.0,1.01
"eps[7, 0]",0.141,0.134,-0.089,0.422,0.005,0.004,650.0,674.0,1.01
"eps[8, 0]",0.282,0.179,-0.077,0.597,0.007,0.005,610.0,736.0,1.0
"eps[9, 0]",0.057,0.031,0.002,0.116,0.002,0.001,369.0,280.0,1.01
"eps[10, 0]",0.143,0.042,0.059,0.215,0.002,0.001,414.0,561.0,1.01
"eps[11, 0]",0.092,0.028,0.034,0.138,0.002,0.001,315.0,430.0,1.02
"eps[12, 0]",0.114,0.025,0.071,0.164,0.001,0.001,291.0,356.0,1.01
"eps[13, 0]",0.021,0.027,-0.026,0.074,0.001,0.001,351.0,506.0,1.01
"eps[14, 0]",-0.164,0.087,-0.328,-0.013,0.004,0.004,410.0,402.0,1.01
"eps[15, 0]",-0.216,0.051,-0.308,-0.123,0.003,0.002,293.0,520.0,1.01
"eps[16, 0]",-0.212,0.035,-0.283,-0.152,0.002,0.001,247.0,583.0,1.02
"eps[17, 0]",-0.035,0.042,-0.113,0.045,0.004,0.002,137.0,237.0,1.03
"eps[18, 0]",-0.092,0.03,-0.142,-0.031,0.002,0.001,377.0,524.0,1.01
"eps[19, 0]",0.011,0.027,-0.041,0.057,0.001,0.001,457.0,818.0,1.0
"eps[20, 0]",-0.067,0.022,-0.112,-0.028,0.001,0.001,449.0,569.0,1.01
"eps[21, 0]",-0.025,0.018,-0.059,0.009,0.001,0.001,309.0,599.0,1.01
