,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.026,0.023,0.0,0.067,0.001,0.001,903.0,681.0,1.01
Ds[0],36.058,0.047,35.971,36.145,0.002,0.001,426.0,528.0,1.01
RV[0],3.703,1.433,1.422,5.988,0.034,0.04,1872.0,576.0,1.01
delM[0],0.003,0.096,-0.164,0.197,0.003,0.002,975.0,946.0,1.0
"eps[0, 0]",-0.021,0.13,-0.231,0.231,0.004,0.004,1037.0,702.0,1.0
"eps[1, 0]",0.417,0.283,-0.083,0.956,0.01,0.007,794.0,816.0,1.0
"eps[2, 0]",-0.206,0.209,-0.618,0.162,0.007,0.006,927.0,844.0,1.0
"eps[3, 0]",0.108,0.213,-0.278,0.51,0.007,0.006,846.0,758.0,1.01
"eps[4, 0]",0.184,0.219,-0.217,0.591,0.008,0.006,728.0,817.0,1.0
"eps[5, 0]",-0.787,0.483,-1.667,0.128,0.015,0.017,1036.0,731.0,1.01
"eps[6, 0]",-0.297,0.413,-1.071,0.466,0.011,0.011,1292.0,852.0,1.0
"eps[7, 0]",0.001,0.141,-0.261,0.276,0.004,0.005,1210.0,756.0,1.0
"eps[8, 0]",0.217,0.197,-0.14,0.587,0.006,0.007,1150.0,801.0,1.0
"eps[9, 0]",-0.004,0.035,-0.063,0.066,0.001,0.001,665.0,593.0,1.01
"eps[10, 0]",-0.043,0.058,-0.152,0.063,0.002,0.002,793.0,713.0,1.0
"eps[11, 0]",0.005,0.037,-0.064,0.076,0.001,0.001,849.0,685.0,1.0
"eps[12, 0]",0.002,0.038,-0.067,0.076,0.001,0.001,1037.0,778.0,1.0
"eps[13, 0]",-0.091,0.043,-0.175,-0.017,0.002,0.001,740.0,731.0,1.0
"eps[14, 0]",-0.016,0.097,-0.19,0.161,0.003,0.002,807.0,821.0,1.0
"eps[15, 0]",0.1,0.072,-0.038,0.23,0.002,0.002,989.0,808.0,1.0
"eps[16, 0]",-0.01,0.075,-0.149,0.13,0.002,0.002,1753.0,707.0,1.0
"eps[17, 0]",0.018,0.074,-0.11,0.156,0.002,0.002,1348.0,950.0,1.0
"eps[18, 0]",-0.067,0.034,-0.132,-0.005,0.002,0.001,484.0,667.0,1.01
"eps[19, 0]",0.079,0.029,0.025,0.134,0.001,0.001,1067.0,743.0,1.0
"eps[20, 0]",-0.038,0.028,-0.085,0.021,0.001,0.001,802.0,745.0,1.0
"eps[21, 0]",0.131,0.029,0.073,0.182,0.001,0.001,1027.0,782.0,1.0
"eps[22, 0]",0.014,0.036,-0.054,0.078,0.001,0.001,611.0,909.0,1.01
"eps[23, 0]",0.117,0.11,-0.085,0.317,0.004,0.003,813.0,818.0,1.01
"eps[24, 0]",0.112,0.08,-0.042,0.261,0.003,0.002,575.0,603.0,1.0
"eps[25, 0]",0.344,0.067,0.226,0.477,0.002,0.002,779.0,764.0,1.0
"eps[26, 0]",0.12,0.056,0.008,0.213,0.002,0.001,631.0,675.0,1.0
"eps[27, 0]",-0.156,0.058,-0.26,-0.04,0.003,0.002,411.0,606.0,1.01
"eps[28, 0]",-0.075,0.043,-0.152,0.009,0.002,0.001,575.0,800.0,1.0
"eps[29, 0]",0.002,0.033,-0.057,0.064,0.001,0.001,664.0,584.0,1.0
"eps[30, 0]",0.06,0.029,0.005,0.112,0.001,0.001,789.0,651.0,1.0
"eps[31, 0]",0.129,0.052,0.017,0.219,0.002,0.001,495.0,585.0,1.0
"eps[32, 0]",0.036,0.15,-0.248,0.306,0.005,0.004,1057.0,643.0,1.01
"eps[33, 0]",0.18,0.103,-0.006,0.381,0.004,0.003,572.0,690.0,1.01
"eps[34, 0]",0.21,0.133,-0.028,0.453,0.004,0.004,1000.0,872.0,1.0
"eps[35, 0]",0.162,0.059,0.049,0.271,0.002,0.002,800.0,759.0,1.01
"eps[36, 0]",0.036,0.032,-0.023,0.096,0.001,0.001,540.0,614.0,1.0
"eps[37, 0]",-0.067,0.084,-0.227,0.089,0.004,0.002,406.0,683.0,1.0
"eps[38, 0]",-0.059,0.038,-0.134,0.012,0.002,0.001,553.0,746.0,1.0
"eps[39, 0]",0.025,0.052,-0.076,0.118,0.002,0.001,452.0,439.0,1.0
"eps[40, 0]",0.001,0.037,-0.067,0.07,0.001,0.001,639.0,669.0,1.0
"eps[41, 0]",-0.289,0.24,-0.781,0.135,0.007,0.007,1169.0,858.0,1.0
"eps[42, 0]",0.127,0.112,-0.094,0.329,0.003,0.003,1135.0,797.0,1.0
"eps[43, 0]",0.162,0.095,-0.049,0.317,0.003,0.003,1077.0,841.0,1.01
"eps[44, 0]",-0.066,0.074,-0.194,0.07,0.002,0.002,1142.0,877.0,1.0
"eps[45, 0]",0.018,0.043,-0.064,0.094,0.001,0.001,1338.0,912.0,1.0
"eps[46, 0]",-0.382,0.078,-0.526,-0.244,0.003,0.002,671.0,821.0,1.0
"eps[47, 0]",-0.066,0.032,-0.123,-0.004,0.001,0.001,938.0,660.0,1.0
"eps[48, 0]",-0.022,0.045,-0.098,0.068,0.002,0.001,687.0,722.0,1.0
"eps[49, 0]",-0.034,0.046,-0.121,0.054,0.002,0.001,834.0,692.0,1.0
"eps[50, 0]",0.661,0.484,-0.172,1.587,0.016,0.013,874.0,639.0,1.0
"eps[51, 0]",-0.189,0.181,-0.525,0.135,0.007,0.005,733.0,782.0,1.01
"eps[52, 0]",0.044,0.149,-0.228,0.324,0.004,0.005,1461.0,629.0,1.0
"eps[53, 0]",-0.055,0.076,-0.204,0.077,0.002,0.002,1619.0,834.0,1.0
"eps_tform[0, 0]",-0.129,0.814,-1.445,1.444,0.025,0.023,1037.0,702.0,1.0
"eps_tform[0, 1]",1.132,0.767,-0.157,2.614,0.027,0.02,819.0,838.0,1.0
"eps_tform[0, 2]",-0.229,0.764,-1.586,1.237,0.024,0.021,983.0,749.0,1.0
"eps_tform[0, 3]",-0.31,0.695,-1.51,1.091,0.023,0.018,906.0,668.0,1.0
"eps_tform[0, 4]",1.104,0.683,-0.296,2.279,0.026,0.021,706.0,690.0,1.0
"eps_tform[0, 5]",-0.819,0.801,-2.185,0.788,0.024,0.028,1116.0,792.0,1.01
"eps_tform[0, 6]",-0.982,0.874,-2.69,0.531,0.024,0.023,1325.0,852.0,1.01
"eps_tform[0, 7]",0.01,0.854,-1.7,1.513,0.025,0.027,1211.0,758.0,1.0
"eps_tform[0, 8]",0.532,0.892,-0.984,2.318,0.025,0.032,1256.0,928.0,1.0
"eps_tform[0, 9]",-0.074,0.527,-1.091,0.869,0.022,0.015,588.0,558.0,1.01
"eps_tform[0, 10]",-0.236,0.587,-1.438,0.745,0.021,0.015,758.0,790.0,1.0
"eps_tform[0, 11]",-0.148,0.657,-1.284,1.155,0.022,0.021,911.0,649.0,1.0
