,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.174,0.066,0.066,0.296,0.003,0.002,607.0,754.0,1.0
Ds[0],35.61,0.06,35.488,35.711,0.002,0.002,633.0,747.0,1.0
RV[0],3.255,1.404,1.18,5.812,0.044,0.024,1012.0,768.0,1.0
delM[0],-0.004,0.099,-0.186,0.172,0.003,0.002,879.0,914.0,1.0
"eps[0, 0]",0.168,0.112,-0.062,0.357,0.004,0.004,1011.0,842.0,1.0
"eps[1, 0]",0.186,0.252,-0.322,0.638,0.008,0.008,1045.0,822.0,1.0
"eps[2, 0]",0.579,0.183,0.234,0.928,0.006,0.006,914.0,804.0,1.01
"eps[3, 0]",0.534,0.177,0.157,0.833,0.006,0.004,867.0,894.0,1.0
"eps[4, 0]",0.752,0.185,0.414,1.093,0.007,0.006,738.0,635.0,1.01
"eps[5, 0]",0.076,0.479,-0.789,0.996,0.014,0.014,1122.0,849.0,1.01
"eps[6, 0]",-0.501,0.398,-1.236,0.252,0.012,0.012,1131.0,723.0,1.0
"eps[7, 0]",0.065,0.141,-0.187,0.349,0.004,0.004,1534.0,899.0,1.0
"eps[8, 0]",0.044,0.196,-0.324,0.404,0.005,0.006,1531.0,787.0,1.0
"eps[9, 0]",0.065,0.035,0.006,0.134,0.001,0.001,618.0,586.0,1.0
"eps[10, 0]",0.021,0.041,-0.054,0.096,0.002,0.001,667.0,693.0,1.0
"eps[11, 0]",-0.035,0.028,-0.088,0.013,0.001,0.001,772.0,566.0,1.01
"eps[12, 0]",-0.042,0.028,-0.095,0.011,0.001,0.001,700.0,770.0,1.0
"eps[13, 0]",0.011,0.029,-0.04,0.066,0.001,0.001,691.0,710.0,1.0
"eps[14, 0]",-0.018,0.088,-0.172,0.151,0.003,0.002,931.0,804.0,1.01
"eps[15, 0]",-0.002,0.061,-0.11,0.11,0.002,0.002,874.0,835.0,1.01
"eps[16, 0]",0.064,0.05,-0.027,0.151,0.002,0.001,794.0,839.0,1.01
"eps[17, 0]",-0.133,0.052,-0.232,-0.038,0.002,0.002,638.0,766.0,1.01
"eps[18, 0]",0.206,0.035,0.145,0.273,0.001,0.001,631.0,812.0,1.0
"eps[19, 0]",0.165,0.027,0.113,0.212,0.001,0.001,821.0,789.0,1.0
"eps[20, 0]",-0.036,0.021,-0.074,0.009,0.001,0.001,669.0,575.0,1.0
"eps[21, 0]",0.057,0.022,0.011,0.094,0.001,0.001,803.0,789.0,1.0
