,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.072,0.045,0.001,0.151,0.002,0.001,519.0,584.0,1.01
Ds[0],35.8,0.043,35.723,35.883,0.002,0.001,381.0,618.0,1.02
RV[0],3.685,1.427,1.434,5.967,0.042,0.031,1171.0,826.0,1.0
delM[0],-0.005,0.098,-0.202,0.169,0.003,0.002,831.0,988.0,1.01
"eps[0, 0]",-0.078,0.052,-0.176,0.018,0.002,0.001,769.0,820.0,1.0
"eps[1, 0]",-0.1,0.118,-0.314,0.12,0.004,0.003,771.0,862.0,1.0
"eps[2, 0]",-0.053,0.128,-0.277,0.195,0.004,0.004,883.0,817.0,1.0
"eps[3, 0]",-0.011,0.101,-0.193,0.175,0.004,0.002,571.0,701.0,1.0
"eps[4, 0]",0.163,0.118,-0.054,0.395,0.005,0.003,672.0,769.0,1.0
"eps[5, 0]",-0.193,0.541,-1.154,0.827,0.022,0.016,613.0,482.0,1.0
"eps[6, 0]",0.775,0.351,0.127,1.454,0.012,0.011,854.0,658.0,1.0
"eps[7, 0]",0.057,0.137,-0.22,0.285,0.004,0.004,1063.0,830.0,1.0
"eps[8, 0]",-0.003,0.202,-0.37,0.356,0.006,0.007,1040.0,712.0,1.01
"eps[9, 0]",0.013,0.029,-0.041,0.06,0.001,0.001,457.0,526.0,1.01
"eps[10, 0]",-0.028,0.027,-0.081,0.021,0.001,0.001,459.0,394.0,1.0
"eps[11, 0]",-0.018,0.026,-0.069,0.028,0.001,0.001,551.0,577.0,1.01
"eps[12, 0]",-0.101,0.021,-0.141,-0.062,0.001,0.001,408.0,558.0,1.01
"eps[13, 0]",-0.036,0.029,-0.095,0.018,0.001,0.001,382.0,488.0,1.01
"eps[14, 0]",0.125,0.087,-0.043,0.281,0.004,0.002,595.0,605.0,1.0
"eps[15, 0]",0.168,0.053,0.068,0.262,0.002,0.002,782.0,755.0,1.0
"eps[16, 0]",-0.138,0.037,-0.206,-0.062,0.002,0.001,570.0,730.0,1.01
"eps[17, 0]",0.037,0.05,-0.058,0.127,0.002,0.001,937.0,772.0,1.01
"eps[18, 0]",0.003,0.031,-0.057,0.056,0.001,0.001,566.0,693.0,1.01
"eps[19, 0]",0.086,0.03,0.029,0.141,0.001,0.001,788.0,879.0,1.0
"eps[20, 0]",-0.026,0.025,-0.074,0.02,0.001,0.001,757.0,821.0,1.0
"eps[21, 0]",0.026,0.023,-0.018,0.066,0.001,0.001,778.0,849.0,1.0
"eps[22, 0]",0.021,0.027,-0.035,0.067,0.001,0.001,484.0,668.0,1.01
"eps[23, 0]",0.102,0.127,-0.124,0.348,0.004,0.004,806.0,430.0,1.0
"eps[24, 0]",0.399,0.082,0.259,0.566,0.003,0.002,786.0,732.0,1.01
"eps[25, 0]",-0.117,0.083,-0.272,0.033,0.003,0.002,970.0,749.0,1.0
"eps[26, 0]",0.072,0.111,-0.139,0.273,0.003,0.003,1094.0,768.0,1.01
"eps[27, 0]",-0.026,0.055,-0.124,0.083,0.002,0.002,528.0,569.0,1.01
"eps[28, 0]",0.25,0.044,0.169,0.333,0.002,0.001,629.0,785.0,1.0
"eps[29, 0]",-0.174,0.03,-0.226,-0.114,0.001,0.001,740.0,681.0,1.01
"eps[30, 0]",0.053,0.023,0.005,0.092,0.001,0.001,727.0,713.0,1.0
"eps[31, 0]",-0.22,0.042,-0.3,-0.15,0.002,0.001,376.0,557.0,1.02
"eps[32, 0]",-0.044,0.158,-0.336,0.246,0.005,0.004,906.0,677.0,1.0
"eps[33, 0]",-0.026,0.104,-0.223,0.166,0.005,0.003,446.0,744.0,1.01
"eps[34, 0]",-0.139,0.105,-0.318,0.065,0.004,0.002,870.0,798.0,1.0
"eps[35, 0]",-0.006,0.07,-0.139,0.122,0.002,0.002,1052.0,830.0,1.01
"eps[36, 0]",0.207,0.033,0.14,0.263,0.001,0.001,820.0,794.0,1.0
"eps[37, 0]",-0.181,0.088,-0.34,-0.006,0.004,0.003,503.0,714.0,1.01
"eps[38, 0]",0.119,0.034,0.056,0.179,0.001,0.001,638.0,842.0,1.0
"eps[39, 0]",-0.042,0.057,-0.158,0.055,0.003,0.002,502.0,538.0,1.01
"eps[40, 0]",0.045,0.039,-0.027,0.117,0.002,0.001,625.0,618.0,1.0
"eps[41, 0]",0.328,0.22,-0.12,0.709,0.007,0.005,1126.0,951.0,1.0
"eps[42, 0]",0.07,0.101,-0.1,0.268,0.004,0.003,637.0,752.0,1.01
"eps[43, 0]",-0.121,0.094,-0.305,0.05,0.003,0.003,808.0,554.0,1.0
"eps[44, 0]",0.017,0.091,-0.151,0.193,0.003,0.003,813.0,682.0,1.01
"eps[45, 0]",0.004,0.051,-0.085,0.101,0.001,0.002,1262.0,621.0,1.0
"eps[46, 0]",-0.415,0.1,-0.598,-0.223,0.003,0.002,900.0,950.0,1.0
"eps[47, 0]",0.021,0.032,-0.036,0.078,0.001,0.001,1176.0,708.0,1.0
"eps[48, 0]",-0.153,0.052,-0.246,-0.053,0.002,0.002,687.0,686.0,1.01
"eps[49, 0]",0.052,0.045,-0.029,0.139,0.001,0.001,951.0,908.0,1.0
"eps[50, 0]",-0.329,0.489,-1.222,0.587,0.016,0.013,903.0,717.0,1.0
"eps[51, 0]",1.258,0.256,0.778,1.73,0.007,0.008,1336.0,897.0,1.0
"eps[52, 0]",-0.063,0.141,-0.336,0.194,0.004,0.004,1110.0,864.0,1.0
"eps[53, 0]",0.093,0.078,-0.055,0.235,0.002,0.002,1077.0,657.0,1.0
"eps_tform[0, 0]",-0.488,0.327,-1.103,0.115,0.012,0.009,769.0,820.0,1.0
"eps_tform[0, 1]",-0.379,0.329,-0.959,0.245,0.013,0.008,685.0,788.0,1.0
"eps_tform[0, 2]",-0.316,0.416,-1.13,0.405,0.014,0.011,834.0,807.0,1.0
"eps_tform[0, 3]",0.214,0.249,-0.248,0.668,0.01,0.006,660.0,830.0,1.0
"eps_tform[0, 4]",0.749,0.32,0.172,1.377,0.013,0.01,614.0,754.0,1.0
"eps_tform[0, 5]",-0.394,0.895,-2.014,1.265,0.036,0.026,603.0,545.0,1.0
"eps_tform[0, 6]",1.623,0.714,0.402,3.111,0.022,0.024,1049.0,474.0,1.0
"eps_tform[0, 7]",0.222,0.846,-1.437,1.642,0.026,0.024,1081.0,833.0,1.0
"eps_tform[0, 8]",-0.227,0.907,-1.84,1.451,0.027,0.033,1150.0,674.0,1.02
"eps_tform[0, 9]",0.278,0.438,-0.559,1.018,0.021,0.014,432.0,461.0,1.01
"eps_tform[0, 10]",-0.218,0.287,-0.809,0.288,0.013,0.008,459.0,491.0,1.01
"eps_tform[0, 11]",-0.329,0.391,-1.092,0.367,0.017,0.01,493.0,655.0,1.01
"eps_tform[0, 12]",-1.988,0.361,-2.672,-1.355,0.016,0.011,509.0,595.0,1.01
"eps_tform[0, 13]",-0.43,0.418,-1.249,0.276,0.021,0.013,380.0,500.0,1.02
"eps_tform[0, 14]",1.122,0.715,-0.069,2.543,0.028,0.021,674.0,649.0,1.0
"eps_tform[0, 15]",1.818,0.54,0.805,2.788,0.02,0.014,754.0,852.0,1.0
"eps_tform[0, 16]",-1.782,0.419,-2.64,-1.023,0.019,0.011,509.0,764.0,1.01
"eps_tform[0, 17]",0.077,0.579,-0.996,1.114,0.019,0.015,926.0,674.0,1.0
"eps_tform[0, 18]",0.285,0.476,-0.52,1.274,0.02,0.014,564.0,730.0,1.0
"eps_tform[0, 19]",0.666,0.36,-0.021,1.314,0.014,0.011,709.0,549.0,1.0
"eps_tform[0, 20]",0.129,0.439,-0.717,0.94,0.016,0.012,735.0,749.0,1.0
"eps_tform[0, 21]",0.236,0.46,-0.672,1.04,0.018,0.014,698.0,821.0,1.01
"eps_tform[0, 22]",-0.433,0.369,-1.183,0.235,0.017,0.01,477.0,668.0,1.01
"eps_tform[0, 23]",0.399,0.727,-1.032,1.714,0.022,0.021,1061.0,607.0,1.0
"eps_tform[0, 24]",2.243,0.455,1.436,3.11,0.016,0.014,816.0,560.0,1.0
"eps_tform[0, 25]",-1.527,0.584,-2.6,-0.441,0.018,0.014,993.0,739.0,1.0
"eps_tform[0, 26]",0.438,0.826,-1.028,2.093,0.024,0.025,1139.0,825.0,1.01
"eps_tform[0, 27]",-0.605,0.524,-1.545,0.427,0.021,0.014,635.0,711.0,1.0
"eps_tform[0, 28]",2.1,0.472,1.256,2.997,0.021,0.013,523.0,739.0,1.0
"eps_tform[0, 29]",-1.611,0.361,-2.267,-0.93,0.011,0.009,1088.0,952.0,1.0
"eps_tform[0, 30]",1.508,0.409,0.741,2.237,0.014,0.011,804.0,808.0,1.0
"eps_tform[0, 31]",-1.061,0.441,-1.928,-0.263,0.017,0.012,693.0,717.0,1.0
"eps_tform[0, 32]",0.427,0.834,-1.125,1.909,0.025,0.031,1094.0,664.0,1.0
"eps_tform[0, 33]",0.797,0.321,0.182,1.368,0.011,0.01,840.0,526.0,1.0
"eps_tform[0, 34]",-0.795,0.666,-2.037,0.411,0.021,0.022,1044.0,726.0,1.0
"eps_tform[0, 35]",0.027,0.854,-1.595,1.579,0.025,0.028,1175.0,756.0,1.01
"eps_tform[0, 36]",1.063,0.479,0.15,1.958,0.016,0.013,916.0,718.0,1.0
"eps_tform[0, 37]",-0.838,0.514,-1.876,-0.003,0.022,0.016,565.0,536.0,1.01
"eps_tform[0, 38]",-0.224,0.538,-1.365,0.665,0.018,0.016,947.0,880.0,1.01
"eps_tform[0, 39]",-0.581,0.464,-1.49,0.23,0.017,0.014,767.0,635.0,1.0
"eps_tform[0, 40]",0.648,0.467,-0.287,1.514,0.016,0.014,881.0,752.0,1.0
"eps_tform[0, 41]",0.183,0.797,-1.334,1.62,0.024,0.028,1129.0,625.0,1.01
