,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.169,0.089,0.01,0.326,0.004,0.003,511.0,547.0,1.0
Ds[0],37.082,0.079,36.94,37.237,0.003,0.003,594.0,506.0,1.0
RV[0],3.43,1.406,1.004,5.601,0.042,0.028,1177.0,631.0,1.01
delM[0],0.0,0.097,-0.188,0.176,0.003,0.002,969.0,943.0,1.0
"eps[0, 0]",0.117,0.13,-0.124,0.357,0.005,0.004,821.0,650.0,1.0
"eps[1, 0]",0.307,0.216,-0.078,0.722,0.007,0.006,1078.0,781.0,1.0
"eps[2, 0]",-0.035,0.202,-0.415,0.343,0.006,0.006,1162.0,712.0,1.0
"eps[3, 0]",0.493,0.197,0.15,0.885,0.006,0.005,928.0,759.0,1.0
"eps[4, 0]",0.247,0.242,-0.152,0.748,0.008,0.007,987.0,766.0,1.01
"eps[5, 0]",0.065,0.529,-0.835,1.083,0.014,0.017,1425.0,616.0,1.01
"eps[6, 0]",0.054,0.46,-0.897,0.859,0.012,0.016,1391.0,775.0,1.01
"eps[7, 0]",0.026,0.157,-0.292,0.299,0.004,0.005,1915.0,802.0,1.0
"eps[8, 0]",0.05,0.216,-0.358,0.444,0.005,0.007,1989.0,715.0,1.0
"eps[9, 0]",0.014,0.045,-0.071,0.095,0.002,0.001,534.0,595.0,1.01
"eps[10, 0]",-0.077,0.036,-0.143,-0.011,0.001,0.001,591.0,796.0,1.0
"eps[11, 0]",0.054,0.035,-0.018,0.112,0.001,0.001,647.0,904.0,1.01
"eps[12, 0]",-0.083,0.038,-0.152,-0.014,0.002,0.001,595.0,726.0,1.0
"eps[13, 0]",0.071,0.047,-0.009,0.161,0.002,0.001,895.0,911.0,1.0
"eps[14, 0]",0.096,0.088,-0.088,0.245,0.003,0.003,757.0,687.0,1.0
"eps[15, 0]",0.029,0.08,-0.123,0.17,0.003,0.002,1014.0,729.0,1.0
"eps[16, 0]",-0.019,0.087,-0.192,0.137,0.002,0.003,1761.0,774.0,1.0
"eps[17, 0]",-0.025,0.079,-0.17,0.123,0.002,0.003,1530.0,752.0,1.0
"eps[18, 0]",0.025,0.053,-0.071,0.127,0.002,0.002,705.0,531.0,1.0
"eps[19, 0]",0.018,0.042,-0.058,0.095,0.002,0.001,742.0,610.0,1.0
"eps[20, 0]",-0.049,0.038,-0.118,0.025,0.001,0.001,1200.0,630.0,1.01
"eps[21, 0]",-0.064,0.05,-0.156,0.026,0.002,0.001,880.0,715.0,1.01
"eps[22, 0]",0.024,0.064,-0.096,0.141,0.002,0.002,1282.0,719.0,1.0
"eps[23, 0]",0.012,0.142,-0.258,0.268,0.004,0.004,1531.0,840.0,1.0
"eps[24, 0]",-0.057,0.148,-0.354,0.189,0.004,0.004,1513.0,912.0,1.0
"eps[25, 0]",0.012,0.148,-0.254,0.277,0.004,0.005,1257.0,804.0,1.0
"eps[26, 0]",0.034,0.135,-0.236,0.269,0.003,0.005,2269.0,620.0,1.02
"eps[27, 0]",0.047,0.085,-0.108,0.202,0.002,0.002,1334.0,867.0,1.0
"eps[28, 0]",-0.028,0.128,-0.264,0.217,0.003,0.004,1383.0,786.0,1.01
"eps[29, 0]",-0.042,0.069,-0.159,0.092,0.002,0.002,1823.0,646.0,1.0
"eps[30, 0]",-0.024,0.061,-0.136,0.09,0.002,0.002,1143.0,875.0,1.0
"eps[31, 0]",0.042,0.099,-0.153,0.227,0.003,0.003,1240.0,743.0,1.01
"eps[32, 0]",-0.006,0.199,-0.39,0.361,0.005,0.005,1747.0,876.0,1.01
"eps[33, 0]",0.174,0.337,-0.445,0.791,0.008,0.012,1806.0,797.0,1.01
"eps[34, 0]",0.034,0.169,-0.262,0.364,0.004,0.005,1921.0,834.0,1.0
"eps[35, 0]",0.05,0.091,-0.122,0.213,0.002,0.003,1794.0,896.0,1.01
"eps[36, 0]",0.051,0.079,-0.09,0.2,0.002,0.002,1412.0,777.0,1.0
"eps[37, 0]",-0.155,0.176,-0.487,0.174,0.004,0.005,1915.0,734.0,1.0
"eps[38, 0]",-0.044,0.066,-0.168,0.081,0.002,0.002,1276.0,782.0,1.0
"eps[39, 0]",-0.072,0.104,-0.265,0.128,0.003,0.003,1155.0,684.0,1.01
"eps[40, 0]",-0.015,0.08,-0.157,0.133,0.003,0.003,938.0,823.0,1.01
"eps[41, 0]",0.304,0.385,-0.491,0.966,0.011,0.012,1245.0,778.0,1.0
"eps[42, 0]",-0.111,0.178,-0.459,0.224,0.004,0.006,2238.0,842.0,1.0
"eps[43, 0]",0.016,0.14,-0.231,0.286,0.004,0.004,1259.0,796.0,1.01
"eps[44, 0]",-0.013,0.1,-0.187,0.178,0.003,0.003,1076.0,868.0,1.0
"eps[45, 0]",-0.053,0.069,-0.178,0.072,0.002,0.002,2036.0,782.0,1.01
"eps[46, 0]",0.068,0.323,-0.552,0.677,0.008,0.013,1706.0,705.0,1.0
"eps[47, 0]",-0.029,0.041,-0.109,0.042,0.001,0.001,1384.0,821.0,1.0
"eps[48, 0]",-0.001,0.108,-0.21,0.191,0.003,0.003,990.0,680.0,1.0
"eps[49, 0]",0.126,0.111,-0.089,0.336,0.003,0.003,1502.0,833.0,1.0
"eps[50, 0]",-0.353,0.753,-1.745,1.046,0.02,0.029,1449.0,592.0,1.01
"eps[51, 0]",0.424,0.37,-0.243,1.116,0.011,0.012,1043.0,673.0,1.0
"eps[52, 0]",0.082,0.183,-0.24,0.432,0.005,0.006,1628.0,765.0,1.0
"eps[53, 0]",0.057,0.096,-0.127,0.225,0.003,0.003,1212.0,795.0,1.0
"eps_tform[0, 0]",0.732,0.811,-0.775,2.232,0.029,0.023,821.0,650.0,1.0
"eps_tform[0, 1]",1.005,0.632,-0.144,2.16,0.021,0.016,868.0,829.0,1.0
"eps_tform[0, 2]",0.225,0.798,-1.39,1.671,0.025,0.023,1060.0,656.0,1.0
