,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.039,0.031,0.0,0.094,0.001,0.002,516.0,384.0,1.01
Ds[0],35.663,0.038,35.595,35.735,0.002,0.001,349.0,425.0,1.01
RV[0],3.732,1.425,1.434,5.949,0.04,0.033,1287.0,738.0,1.01
delM[0],0.002,0.097,-0.183,0.179,0.003,0.002,1046.0,955.0,1.0
"eps[0, 0]",-0.07,0.046,-0.153,0.026,0.002,0.002,430.0,274.0,1.01
"eps[1, 0]",0.186,0.08,0.049,0.351,0.004,0.002,467.0,681.0,1.0
"eps[2, 0]",-0.153,0.065,-0.265,-0.023,0.003,0.002,613.0,345.0,1.0
"eps[3, 0]",0.054,0.052,-0.049,0.151,0.002,0.001,616.0,743.0,1.0
"eps[4, 0]",-0.205,0.059,-0.313,-0.097,0.002,0.002,643.0,557.0,1.01
"eps[5, 0]",-0.051,0.307,-0.593,0.517,0.014,0.008,515.0,603.0,1.01
"eps[6, 0]",0.129,0.137,-0.112,0.376,0.006,0.004,485.0,580.0,1.0
"eps[7, 0]",0.063,0.074,-0.069,0.192,0.003,0.002,613.0,616.0,1.01
"eps[8, 0]",0.214,0.103,0.008,0.392,0.004,0.002,557.0,851.0,1.0
"eps[9, 0]",-0.012,0.024,-0.058,0.028,0.001,0.001,475.0,519.0,1.01
"eps[10, 0]",0.03,0.028,-0.022,0.081,0.001,0.001,554.0,752.0,1.0
"eps[11, 0]",-0.001,0.025,-0.047,0.042,0.001,0.001,567.0,544.0,1.0
"eps[12, 0]",0.075,0.024,0.031,0.119,0.001,0.001,506.0,616.0,1.0
"eps[13, 0]",-0.031,0.028,-0.083,0.022,0.001,0.001,450.0,457.0,1.0
"eps[14, 0]",0.032,0.093,-0.121,0.22,0.005,0.003,366.0,277.0,1.01
"eps[15, 0]",-0.095,0.057,-0.196,0.008,0.003,0.002,481.0,522.0,1.0
"eps[16, 0]",-0.034,0.039,-0.102,0.035,0.002,0.001,440.0,390.0,1.01
"eps[17, 0]",0.054,0.053,-0.033,0.169,0.002,0.002,1005.0,735.0,1.0
"eps[18, 0]",-0.131,0.032,-0.191,-0.077,0.002,0.001,396.0,565.0,1.02
"eps[19, 0]",0.039,0.029,-0.013,0.099,0.001,0.001,781.0,574.0,1.01
"eps[20, 0]",-0.074,0.026,-0.125,-0.027,0.001,0.001,612.0,499.0,1.0
"eps[21, 0]",0.045,0.024,-0.0,0.089,0.001,0.001,671.0,770.0,1.01
"eps[22, 0]",-0.072,0.029,-0.132,-0.022,0.001,0.001,497.0,590.0,1.01
"eps[23, 0]",-0.112,0.139,-0.359,0.179,0.005,0.004,726.0,481.0,1.0
"eps[24, 0]",-0.087,0.079,-0.245,0.046,0.003,0.003,674.0,562.0,1.0
"eps[25, 0]",-0.145,0.064,-0.259,-0.022,0.002,0.002,1021.0,602.0,1.01
"eps[26, 0]",0.13,0.077,-0.005,0.282,0.002,0.002,1156.0,792.0,1.0
"eps[27, 0]",-0.066,0.051,-0.172,0.013,0.003,0.001,397.0,569.0,1.01
"eps[28, 0]",-0.017,0.039,-0.09,0.056,0.002,0.001,507.0,531.0,1.01
"eps[29, 0]",0.014,0.029,-0.038,0.073,0.001,0.001,520.0,541.0,1.01
"eps[30, 0]",0.054,0.021,0.016,0.096,0.001,0.001,603.0,611.0,1.0
"eps[31, 0]",0.001,0.043,-0.083,0.076,0.002,0.001,514.0,683.0,1.0
"eps[32, 0]",0.12,0.182,-0.18,0.496,0.007,0.005,747.0,808.0,1.0
"eps[33, 0]",-0.17,0.096,-0.342,0.012,0.004,0.003,552.0,620.0,1.01
"eps[34, 0]",-0.06,0.101,-0.247,0.131,0.004,0.003,714.0,766.0,1.0
"eps[35, 0]",0.091,0.064,-0.023,0.209,0.002,0.002,1041.0,787.0,1.0
"eps[36, 0]",-0.003,0.031,-0.06,0.054,0.001,0.001,585.0,603.0,1.01
