,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.085,0.06,0.007,0.174,0.024,0.008,8.0,14.0,1.51
Ds[0],36.685,0.076,36.562,36.785,0.033,0.014,7.0,34.0,1.56
RV[0],4.119,1.231,1.8,5.979,0.108,0.143,773.0,666.0,1.28
delM[0],-0.001,0.1,-0.182,0.188,0.003,0.003,999.0,992.0,1.0
"eps[0, 0]",-0.054,0.144,-0.237,0.182,0.05,0.004,8.0,61.0,1.41
"eps[1, 0]",0.344,0.221,-0.116,0.749,0.011,0.023,201.0,696.0,1.19
"eps[2, 0]",0.049,0.199,-0.323,0.43,0.028,0.016,49.0,630.0,1.16
"eps[3, 0]",0.669,0.179,0.289,1.002,0.006,0.021,844.0,775.0,1.4
"eps[4, 0]",0.91,0.204,0.464,1.253,0.017,0.02,136.0,624.0,1.26
"eps[5, 0]",0.146,0.415,-0.699,0.958,0.013,0.047,883.0,736.0,1.2
"eps[6, 0]",-0.083,0.356,-0.858,0.542,0.012,0.042,861.0,639.0,1.37
"eps[7, 0]",-0.041,0.163,-0.241,0.306,0.045,0.006,13.0,316.0,1.22
"eps[8, 0]",-0.02,0.186,-0.352,0.367,0.005,0.024,1068.0,778.0,1.31
"eps[9, 0]",0.092,0.023,0.048,0.139,0.001,0.003,393.0,416.0,1.32
"eps[10, 0]",0.16,0.031,0.096,0.214,0.003,0.003,107.0,463.0,1.27
"eps[11, 0]",0.018,0.032,-0.054,0.056,0.008,0.001,15.0,669.0,1.19
"eps[12, 0]",0.032,0.028,-0.022,0.079,0.005,0.002,44.0,418.0,1.13
"eps[13, 0]",0.021,0.057,-0.057,0.115,0.024,0.009,7.0,12.0,1.58
"eps[14, 0]",-0.011,0.138,-0.2,0.208,0.059,0.024,7.0,29.0,1.54
"eps[15, 0]",-0.005,0.054,-0.113,0.102,0.002,0.006,729.0,404.0,1.44
"eps[16, 0]",-0.006,0.072,-0.117,0.102,0.028,0.009,7.0,15.0,1.54
"eps[17, 0]",-0.081,0.063,-0.177,0.044,0.015,0.002,20.0,619.0,1.14
