,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.031,0.024,0.0,0.078,0.001,0.001,526.0,554.0,1.0
Ds[0],33.819,0.037,33.747,33.892,0.002,0.001,285.0,400.0,1.01
RV[0],3.732,1.408,1.384,5.995,0.036,0.035,1534.0,652.0,1.0
delM[0],-0.003,0.098,-0.171,0.197,0.003,0.002,1051.0,958.0,1.0
"eps[0, 0]",-0.15,0.033,-0.214,-0.091,0.002,0.001,376.0,449.0,1.0
"eps[1, 0]",-0.232,0.068,-0.363,-0.113,0.004,0.002,284.0,454.0,1.0
"eps[2, 0]",0.015,0.031,-0.042,0.071,0.001,0.001,454.0,633.0,1.0
"eps[3, 0]",-0.15,0.043,-0.227,-0.068,0.002,0.001,319.0,446.0,1.0
"eps[4, 0]",-0.099,0.032,-0.162,-0.044,0.002,0.001,404.0,536.0,1.0
"eps[5, 0]",0.407,0.287,-0.107,0.929,0.013,0.009,497.0,787.0,1.01
"eps[6, 0]",-0.319,0.058,-0.424,-0.218,0.002,0.002,545.0,646.0,1.01
"eps[7, 0]",-0.134,0.04,-0.215,-0.065,0.002,0.001,489.0,804.0,1.0
"eps[8, 0]",-0.031,0.056,-0.127,0.08,0.002,0.001,618.0,849.0,1.0
"eps[9, 0]",-0.062,0.021,-0.102,-0.026,0.001,0.001,427.0,523.0,1.0
"eps[10, 0]",-0.043,0.03,-0.102,0.008,0.001,0.001,581.0,651.0,1.0
"eps[11, 0]",-0.059,0.019,-0.096,-0.024,0.001,0.001,595.0,650.0,1.0
"eps[12, 0]",-0.056,0.021,-0.096,-0.018,0.001,0.001,364.0,361.0,1.0
"eps[13, 0]",-0.009,0.022,-0.051,0.031,0.001,0.001,333.0,464.0,1.0
"eps[14, 0]",0.22,0.083,0.076,0.387,0.003,0.002,684.0,744.0,1.0
"eps[15, 0]",-0.075,0.042,-0.151,0.01,0.002,0.001,327.0,496.0,1.0
"eps[16, 0]",0.03,0.026,-0.014,0.085,0.001,0.001,337.0,357.0,1.01
"eps[17, 0]",-0.172,0.035,-0.233,-0.104,0.002,0.001,367.0,513.0,1.01
"eps[18, 0]",-0.104,0.03,-0.162,-0.049,0.002,0.001,388.0,524.0,1.0
"eps[19, 0]",-0.156,0.029,-0.204,-0.098,0.001,0.001,734.0,781.0,1.0
