,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.16,0.061,0.053,0.277,0.003,0.002,461.0,774.0,1.0
Ds[0],34.756,0.048,34.672,34.848,0.002,0.001,457.0,731.0,1.01
RV[0],4.087,1.279,1.842,5.999,0.036,0.034,1184.0,560.0,1.01
delM[0],-0.0,0.1,-0.185,0.172,0.003,0.002,847.0,739.0,1.0
"eps[0, 0]",-0.171,0.066,-0.288,-0.039,0.003,0.002,582.0,734.0,1.0
"eps[1, 0]",-0.311,0.129,-0.534,-0.064,0.005,0.003,677.0,781.0,1.01
"eps[2, 0]",0.044,0.105,-0.153,0.248,0.004,0.003,765.0,757.0,1.0
"eps[3, 0]",-0.196,0.084,-0.339,-0.029,0.003,0.002,598.0,725.0,1.01
"eps[4, 0]",0.003,0.084,-0.152,0.149,0.003,0.002,967.0,878.0,1.0
"eps[5, 0]",1.325,0.497,0.417,2.297,0.017,0.014,825.0,817.0,1.0
"eps[6, 0]",-0.577,0.215,-0.913,-0.11,0.008,0.005,752.0,602.0,1.0
"eps[7, 0]",-0.395,0.138,-0.683,-0.187,0.005,0.004,875.0,781.0,1.0
"eps[8, 0]",-0.168,0.173,-0.472,0.168,0.005,0.006,1249.0,734.0,1.0
"eps[9, 0]",-0.008,0.034,-0.068,0.058,0.001,0.001,506.0,599.0,1.0
"eps[10, 0]",0.056,0.039,-0.017,0.128,0.001,0.001,732.0,819.0,1.0
"eps[11, 0]",0.001,0.031,-0.057,0.056,0.001,0.001,634.0,517.0,1.0
"eps[12, 0]",-0.006,0.023,-0.045,0.036,0.001,0.001,578.0,676.0,1.0
"eps[13, 0]",0.082,0.028,0.032,0.135,0.001,0.001,580.0,830.0,1.0
"eps[14, 0]",0.099,0.084,-0.054,0.26,0.003,0.002,881.0,822.0,1.0
"eps[15, 0]",0.009,0.048,-0.077,0.1,0.002,0.001,635.0,676.0,1.01
"eps[16, 0]",-0.016,0.04,-0.086,0.057,0.002,0.001,557.0,780.0,1.01
"eps[17, 0]",-0.148,0.042,-0.224,-0.068,0.002,0.001,708.0,843.0,1.0
"eps[18, 0]",-0.109,0.037,-0.17,-0.036,0.002,0.001,523.0,674.0,1.01
"eps[19, 0]",0.152,0.044,0.074,0.241,0.002,0.001,818.0,860.0,1.0
"eps[20, 0]",0.04,0.031,-0.017,0.101,0.001,0.001,868.0,890.0,1.0
"eps[21, 0]",0.1,0.026,0.051,0.147,0.001,0.001,632.0,709.0,1.0
"eps[22, 0]",-0.013,0.029,-0.067,0.039,0.001,0.001,1053.0,707.0,1.0
"eps[23, 0]",-0.585,0.097,-0.754,-0.388,0.003,0.002,956.0,915.0,1.0
"eps[24, 0]",0.456,0.06,0.349,0.568,0.002,0.001,627.0,945.0,1.0
"eps[25, 0]",0.43,0.089,0.253,0.594,0.003,0.002,943.0,654.0,1.0
"eps[26, 0]",-0.15,0.064,-0.268,-0.035,0.002,0.001,752.0,868.0,1.0
"eps[27, 0]",-0.141,0.053,-0.238,-0.04,0.002,0.001,535.0,681.0,1.01
"eps[28, 0]",0.185,0.052,0.087,0.279,0.002,0.001,829.0,898.0,1.01
"eps[29, 0]",-0.033,0.028,-0.085,0.016,0.001,0.001,716.0,864.0,1.01
"eps[30, 0]",0.097,0.022,0.055,0.14,0.001,0.001,760.0,785.0,1.0
"eps[31, 0]",0.052,0.043,-0.032,0.13,0.002,0.001,474.0,593.0,1.01
"eps[32, 0]",0.702,0.126,0.46,0.923,0.003,0.004,1392.0,809.0,1.0
"eps[33, 0]",-0.259,0.067,-0.38,-0.133,0.003,0.002,542.0,657.0,1.01
"eps[34, 0]",0.193,0.075,0.052,0.336,0.003,0.002,722.0,888.0,1.01
"eps[35, 0]",-0.246,0.04,-0.318,-0.167,0.001,0.001,712.0,953.0,1.01
"eps[36, 0]",-0.059,0.041,-0.137,0.012,0.001,0.002,1168.0,571.0,1.0
"eps[37, 0]",0.029,0.109,-0.173,0.224,0.004,0.003,926.0,731.0,1.0
"eps[38, 0]",0.121,0.036,0.055,0.189,0.001,0.001,704.0,769.0,1.0
"eps[39, 0]",0.097,0.058,-0.026,0.19,0.002,0.002,617.0,661.0,1.01
"eps[40, 0]",0.07,0.036,-0.0,0.132,0.001,0.001,821.0,856.0,1.01
"eps[41, 0]",0.341,0.128,0.118,0.596,0.004,0.003,1152.0,805.0,1.0
"eps[42, 0]",-0.028,0.049,-0.122,0.06,0.002,0.001,706.0,917.0,1.0
"eps[43, 0]",0.326,0.054,0.227,0.428,0.002,0.001,669.0,732.0,1.0
"eps[44, 0]",-0.054,0.052,-0.156,0.032,0.002,0.001,575.0,732.0,1.0
"eps[45, 0]",-0.061,0.061,-0.177,0.049,0.002,0.002,1536.0,820.0,1.0
"eps[46, 0]",0.171,0.266,-0.385,0.625,0.007,0.009,1584.0,661.0,1.0
"eps[47, 0]",0.027,0.032,-0.038,0.084,0.001,0.001,1465.0,800.0,1.0
"eps[48, 0]",0.02,0.079,-0.131,0.161,0.002,0.002,1214.0,834.0,1.0
"eps[49, 0]",0.193,0.071,0.056,0.325,0.002,0.002,1310.0,828.0,1.0
"eps[50, 0]",-2.47,0.289,-2.961,-1.894,0.01,0.009,807.0,839.0,1.0
"eps[51, 0]",0.878,0.169,0.563,1.191,0.006,0.005,688.0,686.0,1.0
"eps[52, 0]",-0.325,0.104,-0.522,-0.14,0.004,0.003,662.0,817.0,1.01
"eps[53, 0]",-0.084,0.066,-0.209,0.036,0.002,0.002,709.0,714.0,1.0
"eps_tform[0, 0]",-1.067,0.41,-1.805,-0.246,0.017,0.011,582.0,734.0,1.0
"eps_tform[0, 1]",-1.084,0.371,-1.765,-0.422,0.015,0.009,598.0,731.0,1.01
"eps_tform[0, 2]",-0.146,0.359,-0.824,0.497,0.014,0.01,639.0,700.0,1.01
"eps_tform[0, 3]",-0.031,0.215,-0.397,0.411,0.007,0.006,966.0,786.0,1.0
"eps_tform[0, 4]",0.071,0.277,-0.415,0.642,0.009,0.007,971.0,794.0,1.0
"eps_tform[0, 5]",2.013,0.822,0.488,3.61,0.029,0.023,828.0,802.0,1.0
"eps_tform[0, 6]",-0.663,0.353,-1.302,-0.017,0.012,0.009,824.0,735.0,1.0
"eps_tform[0, 7]",-2.319,0.828,-4.045,-1.095,0.027,0.022,924.0,819.0,1.0
"eps_tform[0, 8]",0.108,0.772,-1.327,1.53,0.021,0.029,1399.0,777.0,1.0
"eps_tform[0, 9]",-0.335,0.494,-1.353,0.543,0.022,0.015,516.0,790.0,1.0
"eps_tform[0, 10]",0.285,0.385,-0.426,1.005,0.014,0.011,782.0,773.0,1.0
"eps_tform[0, 11]",0.002,0.46,-0.79,0.901,0.02,0.014,535.0,553.0,1.01
"eps_tform[0, 12]",-0.189,0.347,-0.792,0.473,0.013,0.008,763.0,749.0,1.0
"eps_tform[0, 13]",1.373,0.385,0.689,2.133,0.016,0.01,566.0,800.0,1.01
"eps_tform[0, 14]",0.498,0.676,-0.754,1.702,0.023,0.018,828.0,833.0,1.0
"eps_tform[0, 15]",0.008,0.458,-0.892,0.809,0.019,0.014,570.0,489.0,1.0
"eps_tform[0, 16]",-1.005,0.414,-1.698,-0.219,0.017,0.01,577.0,819.0,1.0
"eps_tform[0, 17]",-1.404,0.497,-2.376,-0.568,0.018,0.013,736.0,840.0,1.0
"eps_tform[0, 18]",-1.067,0.565,-2.15,-0.061,0.026,0.017,485.0,644.0,1.02
"eps_tform[0, 19]",0.64,0.443,-0.166,1.533,0.016,0.013,788.0,773.0,1.0
"eps_tform[0, 20]",1.358,0.521,0.454,2.38,0.02,0.015,687.0,813.0,1.01
"eps_tform[0, 21]",0.647,0.485,-0.28,1.516,0.018,0.012,704.0,691.0,1.0
"eps_tform[0, 22]",-1.266,0.381,-1.907,-0.49,0.012,0.013,1001.0,801.0,1.0
"eps_tform[0, 23]",-2.071,0.669,-3.315,-0.874,0.023,0.017,832.0,857.0,1.0
"eps_tform[0, 24]",1.672,0.31,1.113,2.274,0.012,0.008,640.0,899.0,1.0
"eps_tform[0, 25]",2.605,0.598,1.505,3.801,0.02,0.016,903.0,746.0,1.0
"eps_tform[0, 26]",-1.605,0.461,-2.423,-0.687,0.015,0.011,885.0,839.0,1.0
"eps_tform[0, 27]",-0.999,0.528,-1.951,-0.037,0.022,0.016,579.0,411.0,1.01
"eps_tform[0, 28]",1.746,0.405,1.033,2.515,0.015,0.012,756.0,796.0,1.01
"eps_tform[0, 29]",-0.344,0.341,-0.959,0.251,0.012,0.008,827.0,949.0,1.0
"eps_tform[0, 30]",0.305,0.405,-0.463,1.002,0.014,0.011,798.0,889.0,1.0
"eps_tform[0, 31]",0.87,0.393,0.151,1.616,0.013,0.01,968.0,754.0,1.0
"eps_tform[0, 32]",0.382,0.826,-1.125,1.994,0.025,0.025,1060.0,767.0,1.0
"eps_tform[0, 33]",0.341,0.275,-0.177,0.857,0.01,0.007,800.0,820.0,1.0
"eps_tform[0, 34]",0.118,0.37,-0.551,0.803,0.012,0.009,932.0,951.0,1.0
"eps_tform[0, 35]",-0.422,0.455,-1.335,0.399,0.014,0.011,987.0,858.0,1.0
"eps_tform[0, 36]",-0.923,0.586,-1.991,0.127,0.016,0.028,1329.0,757.0,1.0
"eps_tform[0, 37]",0.027,0.648,-1.204,1.227,0.021,0.016,916.0,865.0,1.0
"eps_tform[0, 38]",0.976,0.555,-0.077,1.956,0.017,0.014,1045.0,893.0,1.01
"eps_tform[0, 39]",0.88,0.426,0.155,1.703,0.016,0.011,693.0,848.0,1.0
"eps_tform[0, 40]",0.028,0.4,-0.741,0.753,0.013,0.01,987.0,755.0,1.0
"eps_tform[0, 41]",1.18,0.74,-0.118,2.64,0.021,0.021,1207.0,750.0,1.0
"eps_tform[0, 42]",-0.392,0.286,-0.909,0.166,0.011,0.011,704.0,589.0,1.01
"eps_tform[0, 43]",1.124,0.414,0.302,1.793,0.016,0.011,696.0,883.0,1.0
"eps_tform[0, 44]",0.608,0.469,-0.288,1.472,0.02,0.012,549.0,723.0,1.01
"eps_tform[0, 45]",0.087,0.985,-1.81,1.817,0.024,0.033,1731.0,756.0,1.0
"eps_tform[0, 46]",0.183,0.984,-1.646,2.05,0.025,0.032,1484.0,835.0,1.0
"eps_tform[0, 47]",0.104,0.962,-1.616,1.933,0.022,0.029,1843.0,908.0,1.0
"eps_tform[0, 48]",-0.326,0.922,-2.065,1.301,0.025,0.028,1329.0,766.0,1.0
"eps_tform[0, 49]",0.238,0.955,-1.594,1.958,0.02,0.032,2279.0,777.0,1.0
"eps_tform[0, 50]",-1.309,0.915,-3.101,0.337,0.03,0.034,919.0,605.0,1.01
"eps_tform[0, 51]",-0.464,0.596,-1.686,0.539,0.021,0.018,824.0,797.0,1.0
"eps_tform[0, 52]",-1.18,0.739,-2.613,0.075,0.026,0.019,784.0,816.0,1.01
"eps_tform[0, 53]",-0.441,0.849,-1.847,1.347,0.02,0.029,1899.0,714.0,1.0
mu[0],34.756,0.112,34.546,34.972,0.004,0.002,691.0,882.0,1.0
