,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.629,0.157,0.388,0.926,0.008,0.005,412.0,539.0,1.01
Ds[0],35.334,0.143,35.071,35.562,0.007,0.005,429.0,469.0,1.01
RV[0],1.753,0.588,1.002,2.815,0.029,0.027,464.0,464.0,1.01
delM[0],0.003,0.097,-0.172,0.188,0.003,0.002,942.0,915.0,1.0
"eps[0, 0]",-0.147,0.117,-0.371,0.066,0.003,0.004,1282.0,781.0,1.01
"eps[1, 0]",0.375,0.26,-0.096,0.859,0.008,0.007,1034.0,811.0,1.0
"eps[2, 0]",-0.05,0.182,-0.391,0.291,0.006,0.005,835.0,776.0,1.0
"eps[3, 0]",0.217,0.163,-0.057,0.563,0.005,0.004,915.0,784.0,1.0
"eps[4, 0]",0.127,0.165,-0.19,0.44,0.006,0.004,804.0,755.0,1.0
"eps[5, 0]",0.196,0.569,-0.88,1.182,0.016,0.016,1229.0,856.0,1.0
"eps[6, 0]",0.424,0.42,-0.303,1.241,0.011,0.013,1445.0,798.0,1.01
"eps[7, 0]",-0.06,0.145,-0.335,0.219,0.003,0.005,1782.0,806.0,1.01
"eps[8, 0]",-0.018,0.21,-0.422,0.36,0.006,0.007,1341.0,684.0,1.0
"eps[9, 0]",0.143,0.051,0.052,0.234,0.002,0.002,817.0,632.0,1.01
"eps[10, 0]",0.023,0.049,-0.063,0.121,0.002,0.002,978.0,737.0,1.0
"eps[11, 0]",-0.045,0.031,-0.099,0.014,0.001,0.001,859.0,819.0,1.0
"eps[12, 0]",-0.046,0.036,-0.116,0.018,0.001,0.001,757.0,711.0,1.0
"eps[13, 0]",0.04,0.033,-0.02,0.102,0.001,0.001,726.0,687.0,1.0
"eps[14, 0]",0.041,0.105,-0.171,0.225,0.004,0.003,799.0,642.0,1.0
"eps[15, 0]",0.087,0.062,-0.026,0.21,0.002,0.002,656.0,715.0,1.0
"eps[16, 0]",0.127,0.054,0.022,0.224,0.003,0.002,444.0,602.0,1.01
"eps[17, 0]",-0.082,0.083,-0.246,0.059,0.002,0.003,1430.0,892.0,1.01
"eps[18, 0]",0.085,0.045,0.005,0.173,0.002,0.001,788.0,592.0,1.0
"eps[19, 0]",0.123,0.047,0.045,0.213,0.002,0.001,936.0,735.0,1.0
"eps[20, 0]",-0.031,0.032,-0.094,0.027,0.001,0.001,1059.0,870.0,1.0
"eps[21, 0]",-0.029,0.031,-0.089,0.029,0.001,0.001,633.0,643.0,1.0
"eps[22, 0]",0.037,0.04,-0.036,0.11,0.002,0.001,690.0,814.0,1.0
"eps[23, 0]",0.14,0.161,-0.162,0.442,0.005,0.004,1037.0,882.0,1.0
"eps[24, 0]",0.219,0.091,0.055,0.391,0.003,0.002,898.0,948.0,1.0
"eps[25, 0]",-0.386,0.075,-0.515,-0.249,0.003,0.002,654.0,782.0,1.0
"eps[26, 0]",-0.003,0.129,-0.251,0.218,0.004,0.004,1332.0,943.0,1.01
"eps[27, 0]",-0.135,0.062,-0.251,-0.021,0.002,0.002,680.0,671.0,1.01
"eps[28, 0]",-0.031,0.058,-0.135,0.083,0.002,0.002,1005.0,567.0,1.0
"eps[29, 0]",0.024,0.036,-0.04,0.09,0.001,0.001,845.0,1027.0,1.0
"eps[30, 0]",-0.045,0.033,-0.111,0.012,0.001,0.001,1066.0,881.0,1.0
"eps[31, 0]",0.15,0.059,0.049,0.266,0.002,0.002,661.0,774.0,1.0
"eps[32, 0]",0.085,0.219,-0.311,0.466,0.007,0.005,973.0,881.0,1.0
"eps[33, 0]",0.153,0.101,-0.05,0.335,0.003,0.003,1026.0,812.0,1.0
"eps[34, 0]",-0.186,0.118,-0.401,0.031,0.005,0.003,672.0,899.0,1.0
"eps[35, 0]",0.016,0.09,-0.141,0.196,0.002,0.003,1852.0,862.0,1.01
"eps[36, 0]",-0.119,0.069,-0.234,0.017,0.002,0.002,1347.0,773.0,1.0
"eps[37, 0]",-0.095,0.125,-0.295,0.156,0.005,0.004,656.0,642.0,1.0
"eps[38, 0]",-0.095,0.049,-0.189,-0.001,0.001,0.001,1485.0,943.0,1.0
"eps[39, 0]",-0.102,0.071,-0.221,0.044,0.003,0.002,717.0,805.0,1.0
"eps[40, 0]",0.136,0.053,0.042,0.24,0.002,0.002,883.0,710.0,1.0
"eps[41, 0]",0.299,0.289,-0.211,0.831,0.008,0.007,1449.0,855.0,1.01
"eps[42, 0]",0.401,0.116,0.176,0.605,0.004,0.003,965.0,729.0,1.0
"eps[43, 0]",-0.115,0.105,-0.315,0.083,0.003,0.003,983.0,746.0,1.0
"eps[44, 0]",0.077,0.098,-0.122,0.242,0.003,0.002,982.0,846.0,1.01
"eps[45, 0]",0.03,0.062,-0.079,0.148,0.001,0.002,1677.0,830.0,1.0
"eps[46, 0]",0.348,0.281,-0.191,0.89,0.007,0.01,1823.0,686.0,1.0
"eps[47, 0]",-0.063,0.035,-0.123,0.003,0.001,0.001,1413.0,835.0,1.0
"eps[48, 0]",-0.055,0.094,-0.24,0.108,0.002,0.003,1532.0,750.0,1.0
"eps[49, 0]",-0.188,0.087,-0.346,-0.027,0.002,0.003,1462.0,866.0,1.0
"eps[50, 0]",-0.762,0.631,-1.903,0.392,0.018,0.018,1221.0,916.0,1.0
"eps[51, 0]",0.114,0.316,-0.489,0.663,0.009,0.01,1362.0,612.0,1.02
"eps[52, 0]",-0.294,0.157,-0.6,-0.024,0.004,0.004,1409.0,908.0,1.0
"eps[53, 0]",-0.04,0.091,-0.223,0.116,0.002,0.003,1582.0,807.0,1.0
"eps_tform[0, 0]",-0.923,0.734,-2.319,0.41,0.02,0.024,1282.0,781.0,1.01
"eps_tform[0, 1]",0.852,0.67,-0.435,2.048,0.021,0.019,1032.0,862.0,1.0
"eps_tform[0, 2]",0.483,0.57,-0.629,1.456,0.02,0.015,830.0,829.0,1.0
"eps_tform[0, 3]",0.407,0.545,-0.615,1.403,0.017,0.014,1080.0,828.0,1.0
"eps_tform[0, 4]",0.316,0.646,-0.915,1.515,0.025,0.017,642.0,650.0,1.0
"eps_tform[0, 5]",0.466,0.913,-1.245,2.187,0.025,0.026,1366.0,915.0,1.0
"eps_tform[0, 6]",1.15,0.886,-0.345,2.881,0.023,0.027,1484.0,792.0,1.01
"eps_tform[0, 7]",-0.575,0.891,-2.376,1.024,0.021,0.028,1733.0,865.0,1.0
"eps_tform[0, 8]",-0.152,0.958,-2.061,1.534,0.026,0.035,1327.0,713.0,1.0
"eps_tform[0, 9]",1.958,0.752,0.659,3.33,0.026,0.028,828.0,620.0,1.01
"eps_tform[0, 10]",-0.073,0.488,-0.937,0.896,0.015,0.016,1044.0,665.0,1.0
"eps_tform[0, 11]",-1.519,0.538,-2.588,-0.607,0.021,0.014,633.0,849.0,1.01
"eps_tform[0, 12]",-1.121,0.668,-2.418,0.081,0.023,0.019,861.0,738.0,1.0
"eps_tform[0, 13]",1.016,0.516,0.022,1.892,0.019,0.016,742.0,616.0,1.0
"eps_tform[0, 14]",0.283,0.83,-1.243,1.803,0.03,0.024,779.0,721.0,1.0
"eps_tform[0, 15]",0.546,0.641,-0.675,1.726,0.024,0.017,708.0,881.0,1.0
"eps_tform[0, 16]",0.97,0.61,-0.183,2.104,0.028,0.018,490.0,615.0,1.0
"eps_tform[0, 17]",-1.206,0.948,-2.912,0.519,0.024,0.028,1556.0,795.0,1.01
"eps_tform[0, 18]",1.136,0.655,-0.072,2.403,0.023,0.018,838.0,767.0,1.0
"eps_tform[0, 19]",0.905,0.452,0.052,1.732,0.016,0.012,756.0,761.0,1.0
"eps_tform[0, 20]",0.144,0.576,-0.864,1.247,0.02,0.015,861.0,820.0,1.0
"eps_tform[0, 21]",-0.382,0.519,-1.338,0.588,0.018,0.015,810.0,710.0,1.0
"eps_tform[0, 22]",-0.005,0.439,-0.794,0.825,0.014,0.011,939.0,849.0,1.0
"eps_tform[0, 23]",0.665,0.917,-1.075,2.401,0.026,0.027,1228.0,778.0,1.01
"eps_tform[0, 24]",1.197,0.529,0.275,2.221,0.021,0.017,667.0,795.0,1.0
"eps_tform[0, 25]",-2.82,0.508,-3.817,-1.963,0.018,0.013,792.0,906.0,1.0
"eps_tform[0, 26]",0.048,0.931,-1.803,1.705,0.025,0.029,1466.0,823.0,1.0
"eps_tform[0, 27]",-1.796,0.582,-2.817,-0.656,0.021,0.016,807.0,692.0,1.0
"eps_tform[0, 28]",-0.083,0.528,-1.032,0.873,0.02,0.016,717.0,773.0,1.0
