,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.142,0.043,0.074,0.227,0.002,0.002,463.0,523.0,1.0
Ds[0],33.009,0.05,32.914,33.097,0.004,0.002,192.0,377.0,1.02
RV[0],1.784,0.866,1.002,3.382,0.042,0.054,622.0,527.0,1.01
delM[0],-0.0,0.098,-0.171,0.189,0.003,0.002,1078.0,989.0,1.0
"eps[0, 0]",0.11,0.052,0.027,0.219,0.003,0.002,407.0,470.0,1.01
"eps[1, 0]",0.959,0.104,0.782,1.156,0.005,0.003,412.0,767.0,1.01
"eps[2, 0]",-0.126,0.058,-0.223,-0.008,0.002,0.002,564.0,879.0,1.0
"eps[3, 0]",0.553,0.06,0.443,0.664,0.004,0.002,258.0,551.0,1.01
"eps[4, 0]",-0.027,0.04,-0.094,0.047,0.002,0.001,461.0,778.0,1.0
"eps[5, 0]",0.821,0.409,-0.003,1.5,0.016,0.012,664.0,647.0,1.0
"eps[6, 0]",0.144,0.076,0.014,0.297,0.004,0.002,372.0,464.0,1.01
"eps[7, 0]",0.269,0.044,0.184,0.349,0.002,0.001,465.0,691.0,1.0
"eps[8, 0]",-0.341,0.105,-0.544,-0.155,0.005,0.003,510.0,674.0,1.01
"eps[9, 0]",0.072,0.036,0.003,0.138,0.002,0.001,313.0,395.0,1.01
"eps[10, 0]",0.157,0.034,0.095,0.222,0.002,0.001,443.0,543.0,1.01
"eps[11, 0]",-0.057,0.018,-0.094,-0.027,0.001,0.0,496.0,861.0,1.01
"eps[12, 0]",-0.049,0.023,-0.088,-0.002,0.001,0.001,308.0,559.0,1.01
"eps[13, 0]",0.021,0.023,-0.024,0.059,0.002,0.001,240.0,519.0,1.01
"eps[14, 0]",0.131,0.079,-0.022,0.273,0.003,0.002,853.0,692.0,1.0
"eps[15, 0]",-0.086,0.041,-0.166,-0.012,0.003,0.001,229.0,500.0,1.01
"eps[16, 0]",0.047,0.028,0.0,0.104,0.002,0.001,226.0,561.0,1.01
"eps[17, 0]",0.088,0.03,0.035,0.145,0.002,0.001,312.0,594.0,1.01
"eps[18, 0]",0.096,0.033,0.025,0.15,0.002,0.001,451.0,547.0,1.0
"eps[19, 0]",0.154,0.034,0.087,0.216,0.001,0.001,902.0,883.0,1.0
"eps[20, 0]",-0.161,0.019,-0.199,-0.127,0.001,0.001,683.0,774.0,1.0
"eps[21, 0]",-0.046,0.02,-0.085,-0.011,0.001,0.001,492.0,783.0,1.0
"eps[22, 0]",-0.07,0.021,-0.106,-0.028,0.001,0.001,418.0,532.0,1.0
