,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.129,0.063,0.025,0.245,0.004,0.002,290.0,408.0,1.01
Ds[0],35.309,0.05,35.221,35.4,0.003,0.001,371.0,522.0,1.0
RV[0],3.523,1.387,1.395,5.991,0.045,0.029,956.0,771.0,1.0
delM[0],-0.001,0.094,-0.185,0.168,0.003,0.002,995.0,978.0,1.0
"eps[0, 0]",-0.112,0.045,-0.204,-0.035,0.002,0.002,411.0,479.0,1.01
"eps[1, 0]",0.265,0.085,0.112,0.428,0.005,0.003,239.0,439.0,1.01
"eps[2, 0]",-0.269,0.05,-0.356,-0.168,0.002,0.001,487.0,582.0,1.0
"eps[3, 0]",0.082,0.055,-0.011,0.191,0.003,0.002,244.0,441.0,1.01
"eps[4, 0]",-0.285,0.047,-0.372,-0.199,0.002,0.001,575.0,835.0,1.0
"eps[5, 0]",0.174,0.414,-0.605,0.972,0.019,0.011,481.0,587.0,1.01
"eps[6, 0]",-0.264,0.182,-0.581,0.093,0.009,0.005,460.0,513.0,1.01
"eps[7, 0]",-0.014,0.098,-0.181,0.173,0.004,0.002,544.0,700.0,1.01
"eps[8, 0]",0.081,0.156,-0.195,0.378,0.005,0.005,997.0,715.0,1.02
"eps[9, 0]",0.009,0.038,-0.062,0.078,0.002,0.001,287.0,542.0,1.01
"eps[10, 0]",0.055,0.034,-0.007,0.115,0.002,0.001,306.0,571.0,1.01
"eps[11, 0]",-0.011,0.024,-0.054,0.035,0.001,0.001,491.0,558.0,1.0
"eps[12, 0]",0.039,0.023,-0.007,0.079,0.001,0.001,329.0,602.0,1.01
"eps[13, 0]",-0.06,0.025,-0.103,-0.01,0.001,0.001,516.0,725.0,1.01
"eps[14, 0]",-0.053,0.095,-0.229,0.128,0.004,0.003,592.0,765.0,1.01
"eps[15, 0]",-0.005,0.054,-0.111,0.098,0.003,0.002,402.0,614.0,1.0
"eps[16, 0]",-0.026,0.037,-0.091,0.047,0.002,0.001,483.0,612.0,1.01
"eps[17, 0]",0.083,0.046,-0.004,0.165,0.002,0.001,519.0,816.0,1.01
"eps[18, 0]",-0.058,0.035,-0.129,0.006,0.002,0.001,411.0,542.0,1.01
"eps[19, 0]",0.011,0.043,-0.075,0.084,0.002,0.001,720.0,733.0,1.0
"eps[20, 0]",-0.005,0.028,-0.058,0.049,0.001,0.001,932.0,883.0,1.0
"eps[21, 0]",0.024,0.025,-0.026,0.069,0.001,0.001,693.0,756.0,1.01
"eps[22, 0]",-0.083,0.027,-0.134,-0.034,0.001,0.001,802.0,865.0,1.0
"eps[23, 0]",-0.153,0.134,-0.385,0.116,0.004,0.004,962.0,859.0,1.0
"eps[24, 0]",0.051,0.078,-0.09,0.194,0.003,0.002,587.0,763.0,1.0
"eps[25, 0]",-0.097,0.057,-0.202,0.008,0.003,0.002,395.0,779.0,1.0
"eps[26, 0]",0.158,0.07,0.026,0.288,0.002,0.002,821.0,766.0,1.01
"eps[27, 0]",-0.026,0.054,-0.141,0.066,0.003,0.002,393.0,625.0,1.01
"eps[28, 0]",0.027,0.046,-0.054,0.113,0.002,0.001,385.0,599.0,1.01
"eps[29, 0]",0.039,0.032,-0.017,0.097,0.001,0.001,622.0,684.0,1.0
"eps[30, 0]",0.044,0.023,-0.005,0.083,0.001,0.001,595.0,817.0,1.0
"eps[31, 0]",-0.028,0.048,-0.116,0.059,0.003,0.001,316.0,526.0,1.01
"eps[32, 0]",0.125,0.192,-0.216,0.49,0.007,0.005,701.0,880.0,1.0
"eps[33, 0]",-0.17,0.105,-0.383,0.01,0.004,0.003,764.0,589.0,1.01
"eps[34, 0]",0.258,0.113,0.06,0.483,0.004,0.003,803.0,838.0,1.0
"eps[35, 0]",0.132,0.07,0.005,0.268,0.002,0.002,1149.0,902.0,1.01
"eps[36, 0]",-0.005,0.037,-0.069,0.067,0.002,0.001,565.0,641.0,1.0
"eps[37, 0]",0.024,0.099,-0.171,0.204,0.005,0.002,349.0,731.0,1.01
"eps[38, 0]",0.061,0.044,-0.024,0.138,0.002,0.001,543.0,517.0,1.0
"eps[39, 0]",-0.037,0.061,-0.145,0.081,0.004,0.002,223.0,499.0,1.01
"eps[40, 0]",-0.081,0.047,-0.163,0.012,0.003,0.001,329.0,593.0,1.01
"eps[41, 0]",-0.389,0.31,-0.941,0.202,0.012,0.009,654.0,762.0,1.0
"eps[42, 0]",0.086,0.13,-0.132,0.332,0.005,0.004,666.0,645.0,1.0
"eps[43, 0]",-0.126,0.105,-0.31,0.08,0.005,0.003,505.0,690.0,1.0
"eps[44, 0]",-0.162,0.076,-0.323,-0.035,0.004,0.002,490.0,565.0,1.0
"eps[45, 0]",0.015,0.059,-0.093,0.124,0.001,0.002,2478.0,828.0,1.01
"eps[46, 0]",-0.162,0.28,-0.73,0.324,0.007,0.011,1454.0,762.0,1.0
"eps[47, 0]",0.007,0.033,-0.052,0.067,0.001,0.001,1291.0,824.0,1.0
"eps[48, 0]",-0.1,0.085,-0.26,0.055,0.002,0.002,1267.0,776.0,1.01
"eps[49, 0]",-0.031,0.078,-0.189,0.107,0.002,0.003,1526.0,839.0,1.01
"eps[50, 0]",-0.145,0.582,-1.173,0.956,0.018,0.017,1024.0,788.0,1.0
"eps[51, 0]",-0.431,0.268,-0.935,0.063,0.011,0.008,627.0,668.0,1.0
"eps[52, 0]",-0.096,0.139,-0.341,0.193,0.004,0.005,1183.0,745.0,1.0
"eps[53, 0]",-0.034,0.076,-0.177,0.11,0.003,0.002,776.0,631.0,1.0
