,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.552,0.117,0.341,0.76,0.044,0.019,8.0,36.0,1.51
Ds[0],32.933,0.086,32.781,33.076,0.025,0.005,12.0,179.0,1.26
RV[0],3.917,1.007,2.401,5.975,0.165,0.075,46.0,354.0,1.07
delM[0],-0.0,0.098,-0.183,0.178,0.003,0.002,998.0,947.0,1.0
"eps[0, 0]",0.054,0.095,-0.119,0.242,0.025,0.011,15.0,50.0,1.18
"eps[1, 0]",0.031,0.279,-0.401,0.624,0.099,0.042,9.0,42.0,1.39
"eps[2, 0]",-0.052,0.138,-0.308,0.208,0.035,0.009,15.0,56.0,1.18
"eps[3, 0]",0.381,0.125,0.162,0.613,0.044,0.015,9.0,33.0,1.4
"eps[4, 0]",-0.13,0.094,-0.313,0.036,0.021,0.004,20.0,373.0,1.14
"eps[5, 0]",0.542,0.798,-1.174,1.496,0.357,0.194,7.0,37.0,1.57
"eps[6, 0]",0.033,0.229,-0.264,0.49,0.105,0.056,6.0,24.0,1.87
"eps[7, 0]",0.08,0.051,-0.019,0.17,0.012,0.002,18.0,158.0,1.16
"eps[8, 0]",0.014,0.079,-0.122,0.156,0.026,0.007,9.0,77.0,1.36
"eps[9, 0]",0.07,0.051,-0.032,0.145,0.021,0.01,7.0,29.0,1.54
"eps[10, 0]",0.106,0.056,-0.01,0.189,0.022,0.011,7.0,29.0,1.53
"eps[11, 0]",0.147,0.024,0.103,0.193,0.005,0.001,19.0,265.0,1.15
"eps[12, 0]",0.126,0.04,0.042,0.188,0.017,0.008,6.0,42.0,1.72
"eps[13, 0]",0.11,0.038,0.027,0.164,0.016,0.008,8.0,45.0,1.52
"eps[14, 0]",-0.081,0.09,-0.238,0.084,0.02,0.005,19.0,74.0,1.14
"eps[15, 0]",-0.098,0.071,-0.238,0.005,0.032,0.017,7.0,32.0,1.59
"eps[16, 0]",0.045,0.035,-0.014,0.111,0.012,0.003,9.0,45.0,1.41
"eps[17, 0]",0.005,0.041,-0.076,0.076,0.01,0.003,16.0,49.0,1.18
"eps[18, 0]",-0.057,0.059,-0.151,0.059,0.025,0.01,6.0,33.0,1.74
"eps[19, 0]",0.063,0.026,0.016,0.109,0.006,0.001,21.0,314.0,1.14
"eps[20, 0]",-0.06,0.021,-0.102,-0.024,0.005,0.001,15.0,42.0,1.18
"eps[21, 0]",-0.061,0.018,-0.094,-0.028,0.003,0.001,48.0,435.0,1.07
"eps[22, 0]",-0.178,0.02,-0.217,-0.143,0.002,0.001,75.0,491.0,1.05
"eps[23, 0]",-0.291,0.471,-0.733,0.599,0.229,0.13,7.0,38.0,1.55
"eps[24, 0]",-0.221,0.17,-0.545,-0.051,0.082,0.046,6.0,35.0,1.73
"eps[25, 0]",-0.382,0.089,-0.495,-0.203,0.041,0.023,7.0,30.0,1.66
"eps[26, 0]",-0.029,0.054,-0.129,0.065,0.02,0.005,8.0,37.0,1.51
"eps[27, 0]",-0.177,0.11,-0.325,0.033,0.051,0.026,6.0,41.0,1.75
"eps[28, 0]",0.13,0.071,0.015,0.265,0.03,0.011,6.0,34.0,1.8
"eps[29, 0]",-0.081,0.049,-0.146,0.019,0.023,0.012,6.0,38.0,1.73
"eps[30, 0]",0.009,0.051,-0.095,0.065,0.024,0.013,7.0,59.0,1.56
"eps[31, 0]",-0.05,0.092,-0.226,0.073,0.043,0.023,6.0,37.0,1.73
"eps[32, 0]",0.378,0.847,-1.183,1.045,0.416,0.239,7.0,47.0,1.57
"eps[33, 0]",-0.082,0.068,-0.203,0.028,0.023,0.004,10.0,135.0,1.34
"eps[34, 0]",0.044,0.197,-0.326,0.249,0.095,0.052,6.0,32.0,1.81
"eps[35, 0]",0.001,0.057,-0.111,0.096,0.021,0.009,7.0,20.0,1.56
"eps[36, 0]",-0.112,0.029,-0.166,-0.055,0.004,0.001,68.0,292.0,1.05
"eps[37, 0]",-0.075,0.228,-0.323,0.359,0.109,0.058,6.0,34.0,1.73
"eps[38, 0]",-0.08,0.035,-0.136,-0.007,0.014,0.005,7.0,42.0,1.67
"eps[39, 0]",-0.282,0.193,-0.48,0.079,0.094,0.052,6.0,34.0,1.74
"eps[40, 0]",-0.187,0.051,-0.264,-0.089,0.023,0.011,7.0,39.0,1.61
"eps[41, 0]",-0.979,1.114,-1.783,1.059,0.549,0.316,7.0,39.0,1.57
"eps[42, 0]",0.026,0.155,-0.282,0.178,0.074,0.041,7.0,33.0,1.55
"eps[43, 0]",-0.282,0.19,-0.45,0.077,0.092,0.053,6.0,34.0,1.76
"eps[44, 0]",-0.089,0.103,-0.222,0.13,0.045,0.022,7.0,39.0,1.6
"eps[45, 0]",-0.024,0.037,-0.1,0.04,0.008,0.002,21.0,84.0,1.14
"eps[46, 0]",-0.285,0.141,-0.485,-0.017,0.065,0.031,6.0,32.0,1.86
"eps[47, 0]",0.039,0.028,-0.005,0.097,0.011,0.005,8.0,32.0,1.47
"eps[48, 0]",-0.102,0.072,-0.203,0.035,0.033,0.016,6.0,35.0,1.86
"eps[49, 0]",-0.184,0.057,-0.261,-0.066,0.026,0.013,7.0,35.0,1.65
"eps[50, 0]",0.193,0.427,-0.616,0.917,0.161,0.033,7.0,61.0,1.52
"eps[51, 0]",-0.499,0.211,-0.721,-0.093,0.1,0.054,7.0,33.0,1.58
"eps[52, 0]",-0.463,0.241,-0.775,-0.018,0.113,0.059,6.0,34.0,1.74
"eps[53, 0]",-0.274,0.108,-0.431,-0.068,0.049,0.025,6.0,37.0,1.79
"eps_tform[0, 0]",0.341,0.597,-0.742,1.514,0.158,0.066,15.0,50.0,1.18
"eps_tform[0, 1]",0.157,0.784,-1.046,1.743,0.306,0.137,8.0,37.0,1.5
"eps_tform[0, 2]",-0.222,0.384,-0.878,0.495,0.083,0.018,22.0,245.0,1.12
"eps_tform[0, 3]",1.414,0.346,0.816,2.153,0.068,0.017,26.0,196.0,1.11
"eps_tform[0, 4]",-0.77,0.365,-1.469,-0.098,0.054,0.032,46.0,572.0,1.07
"eps_tform[0, 5]",0.436,1.18,-1.982,2.09,0.511,0.271,7.0,36.0,1.53
"eps_tform[0, 6]",0.166,0.214,-0.157,0.609,0.083,0.035,7.0,34.0,1.54
"eps_tform[0, 7]",0.421,0.313,-0.128,0.978,0.076,0.014,17.0,184.0,1.17
"eps_tform[0, 8]",0.28,0.591,-0.903,1.134,0.268,0.132,6.0,29.0,1.84
"eps_tform[0, 9]",0.859,0.71,-0.566,1.947,0.282,0.123,8.0,30.0,1.51
"eps_tform[0, 10]",0.855,0.505,-0.193,1.666,0.192,0.077,8.0,40.0,1.5
"eps_tform[0, 11]",2.622,0.358,1.977,3.313,0.039,0.015,84.0,495.0,1.05
"eps_tform[0, 12]",2.011,0.545,0.927,3.021,0.201,0.077,8.0,32.0,1.51
"eps_tform[0, 13]",1.047,0.627,-0.273,1.948,0.268,0.134,7.0,38.0,1.55
"eps_tform[0, 14]",-1.136,0.786,-2.594,0.204,0.217,0.073,13.0,31.0,1.22
"eps_tform[0, 15]",-1.043,0.743,-2.599,-0.023,0.332,0.177,7.0,30.0,1.62
"eps_tform[0, 16]",0.97,0.41,0.092,1.616,0.133,0.065,11.0,26.0,1.3
"eps_tform[0, 17]",0.477,0.548,-0.701,1.393,0.197,0.1,8.0,22.0,1.47
"eps_tform[0, 18]",-1.009,0.883,-2.558,0.585,0.379,0.149,6.0,35.0,1.81
