,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.378,0.103,0.191,0.562,0.005,0.003,348.0,543.0,1.01
Ds[0],34.762,0.087,34.605,34.923,0.004,0.002,396.0,736.0,1.02
RV[0],3.277,1.262,1.033,5.375,0.064,0.024,389.0,733.0,1.01
delM[0],0.005,0.093,-0.164,0.185,0.003,0.002,1030.0,983.0,1.0
"eps[0, 0]",0.066,0.113,-0.166,0.252,0.003,0.004,1726.0,680.0,1.0
"eps[1, 0]",-0.02,0.274,-0.541,0.485,0.008,0.008,1282.0,850.0,1.0
"eps[2, 0]",0.219,0.211,-0.158,0.637,0.006,0.006,1100.0,728.0,1.0
"eps[3, 0]",-0.021,0.186,-0.358,0.325,0.005,0.005,1215.0,885.0,1.0
"eps[4, 0]",-0.146,0.191,-0.499,0.208,0.006,0.006,962.0,713.0,1.0
"eps[5, 0]",0.167,0.393,-0.597,0.854,0.013,0.011,947.0,859.0,1.0
"eps[6, 0]",0.287,0.147,0.036,0.575,0.005,0.004,825.0,884.0,1.0
"eps[7, 0]",0.17,0.075,0.038,0.312,0.003,0.002,708.0,611.0,1.01
"eps[8, 0]",0.311,0.104,0.134,0.507,0.004,0.002,815.0,955.0,1.01
"eps[9, 0]",0.136,0.039,0.065,0.208,0.001,0.001,708.0,589.0,1.0
"eps[10, 0]",0.075,0.043,-0.006,0.158,0.002,0.001,771.0,785.0,1.0
"eps[11, 0]",0.035,0.027,-0.014,0.087,0.001,0.001,1182.0,952.0,1.0
"eps[12, 0]",0.206,0.03,0.152,0.265,0.001,0.001,927.0,770.0,1.0
"eps[13, 0]",-0.062,0.029,-0.116,-0.009,0.001,0.001,844.0,808.0,1.01
"eps[14, 0]",-0.066,0.095,-0.228,0.12,0.003,0.003,1328.0,904.0,1.0
"eps[15, 0]",-0.105,0.048,-0.194,-0.016,0.002,0.001,811.0,839.0,1.0
"eps[16, 0]",0.005,0.04,-0.073,0.078,0.002,0.001,629.0,787.0,1.01
"eps[17, 0]",0.001,0.05,-0.096,0.088,0.002,0.001,553.0,810.0,1.01
"eps[18, 0]",0.053,0.037,-0.016,0.121,0.001,0.001,840.0,775.0,1.0
"eps[19, 0]",0.143,0.039,0.071,0.214,0.001,0.001,1218.0,746.0,1.0
"eps[20, 0]",-0.06,0.028,-0.11,-0.004,0.001,0.001,1001.0,785.0,1.0
"eps[21, 0]",0.089,0.024,0.044,0.132,0.001,0.001,1209.0,993.0,1.0
