,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.197,0.067,0.087,0.325,0.004,0.003,280.0,337.0,1.03
Ds[0],34.598,0.065,34.467,34.704,0.003,0.002,356.0,341.0,1.02
RV[0],2.073,1.052,1.004,4.285,0.053,0.047,431.0,631.0,1.01
delM[0],-0.002,0.101,-0.212,0.167,0.003,0.002,893.0,953.0,1.0
"eps[0, 0]",0.191,0.067,0.074,0.321,0.004,0.004,278.0,224.0,1.02
"eps[1, 0]",0.471,0.098,0.297,0.66,0.006,0.004,270.0,448.0,1.02
"eps[2, 0]",0.075,0.074,-0.063,0.216,0.005,0.004,286.0,221.0,1.01
"eps[3, 0]",0.152,0.064,0.035,0.277,0.004,0.002,261.0,426.0,1.02
"eps[4, 0]",-0.188,0.06,-0.291,-0.074,0.003,0.002,376.0,540.0,1.01
"eps[5, 0]",0.297,0.659,-0.875,1.559,0.027,0.019,606.0,681.0,1.0
"eps[6, 0]",0.528,0.252,0.08,1.024,0.01,0.008,599.0,610.0,1.0
"eps[7, 0]",-0.239,0.117,-0.464,-0.017,0.004,0.003,1015.0,711.0,1.0
"eps[8, 0]",-0.073,0.188,-0.386,0.311,0.006,0.006,1149.0,737.0,1.0
"eps[9, 0]",0.072,0.049,-0.014,0.167,0.003,0.001,338.0,405.0,1.0
"eps[10, 0]",0.166,0.039,0.093,0.236,0.002,0.001,403.0,622.0,1.0
"eps[11, 0]",-0.067,0.027,-0.114,-0.01,0.001,0.001,504.0,444.0,1.0
"eps[12, 0]",0.035,0.026,-0.013,0.085,0.001,0.001,416.0,769.0,1.01
"eps[13, 0]",-0.095,0.028,-0.144,-0.043,0.001,0.001,514.0,783.0,1.01
"eps[14, 0]",-0.124,0.11,-0.311,0.084,0.004,0.003,788.0,972.0,1.0
"eps[15, 0]",0.093,0.054,-0.007,0.194,0.002,0.001,546.0,687.0,1.01
"eps[16, 0]",0.057,0.035,-0.01,0.124,0.002,0.001,384.0,532.0,1.02
"eps[17, 0]",0.059,0.045,-0.021,0.141,0.002,0.001,407.0,461.0,1.02
"eps[18, 0]",0.008,0.045,-0.075,0.089,0.002,0.002,460.0,502.0,1.0
"eps[19, 0]",0.036,0.055,-0.065,0.134,0.002,0.002,1080.0,823.0,1.0
"eps[20, 0]",0.012,0.034,-0.047,0.075,0.001,0.001,853.0,743.0,1.0
"eps[21, 0]",-0.108,0.032,-0.166,-0.049,0.001,0.001,837.0,862.0,1.0
"eps[22, 0]",-0.107,0.034,-0.169,-0.041,0.001,0.001,710.0,788.0,1.0
"eps[23, 0]",0.122,0.156,-0.144,0.425,0.004,0.004,1295.0,858.0,1.0
"eps[24, 0]",0.226,0.078,0.062,0.356,0.003,0.002,678.0,734.0,1.0
"eps[25, 0]",-0.131,0.057,-0.231,-0.017,0.004,0.002,262.0,374.0,1.01
"eps[26, 0]",0.136,0.052,0.037,0.233,0.002,0.001,532.0,712.0,1.01
"eps[27, 0]",-0.028,0.07,-0.164,0.097,0.004,0.002,383.0,512.0,1.01
"eps[28, 0]",0.144,0.093,-0.045,0.299,0.003,0.003,1034.0,754.0,1.0
"eps[29, 0]",-0.029,0.051,-0.123,0.064,0.002,0.001,625.0,739.0,1.01
"eps[30, 0]",0.05,0.043,-0.023,0.136,0.001,0.001,1027.0,769.0,1.0
"eps[31, 0]",-0.009,0.067,-0.123,0.115,0.003,0.002,554.0,579.0,1.0
"eps[32, 0]",-0.127,0.194,-0.516,0.209,0.006,0.006,1080.0,705.0,1.0
"eps[33, 0]",0.134,0.108,-0.069,0.338,0.004,0.003,754.0,701.0,1.0
"eps[34, 0]",0.294,0.094,0.113,0.452,0.004,0.003,583.0,785.0,1.01
"eps[35, 0]",0.231,0.071,0.09,0.357,0.002,0.002,1364.0,768.0,1.01
"eps[36, 0]",-0.031,0.072,-0.175,0.089,0.002,0.002,1174.0,809.0,1.0
"eps[37, 0]",0.006,0.164,-0.293,0.307,0.005,0.005,1094.0,714.0,1.01
"eps[38, 0]",-0.024,0.061,-0.135,0.089,0.002,0.002,1157.0,789.0,1.0
"eps[39, 0]",-0.139,0.092,-0.301,0.039,0.003,0.004,695.0,614.0,1.01
"eps[40, 0]",-0.005,0.073,-0.135,0.127,0.003,0.002,692.0,672.0,1.0
"eps[41, 0]",-0.282,0.405,-1.042,0.462,0.012,0.013,1264.0,730.0,1.0
"eps[42, 0]",0.251,0.171,-0.036,0.602,0.005,0.005,1435.0,791.0,1.01
"eps[43, 0]",-0.052,0.117,-0.253,0.161,0.004,0.003,848.0,806.0,1.0
"eps[44, 0]",0.033,0.094,-0.128,0.221,0.003,0.003,1130.0,672.0,1.01
"eps[45, 0]",0.085,0.065,-0.027,0.22,0.002,0.002,1438.0,720.0,1.0
"eps[46, 0]",0.084,0.306,-0.498,0.62,0.008,0.011,1353.0,723.0,1.0
"eps[47, 0]",-0.017,0.036,-0.084,0.053,0.001,0.001,1078.0,681.0,1.0
"eps[48, 0]",-0.081,0.089,-0.24,0.082,0.002,0.003,1451.0,745.0,1.0
"eps[49, 0]",-0.262,0.101,-0.448,-0.076,0.003,0.003,1011.0,712.0,1.0
"eps[50, 0]",1.091,0.728,-0.255,2.453,0.024,0.021,926.0,714.0,1.0
"eps[51, 0]",-0.33,0.349,-0.967,0.323,0.014,0.011,640.0,779.0,1.0
"eps[52, 0]",0.031,0.147,-0.23,0.298,0.004,0.005,1352.0,672.0,1.0
"eps[53, 0]",-0.157,0.086,-0.293,0.014,0.003,0.002,815.0,834.0,1.0
"eps_tform[0, 0]",1.198,0.417,0.462,2.009,0.027,0.022,278.0,224.0,1.02
"eps_tform[0, 1]",1.556,0.312,1.007,2.182,0.02,0.012,258.0,377.0,1.02
"eps_tform[0, 2]",0.887,0.279,0.362,1.419,0.019,0.017,259.0,237.0,1.01
"eps_tform[0, 3]",-0.423,0.122,-0.644,-0.2,0.006,0.003,415.0,757.0,1.01
"eps_tform[0, 4]",-1.038,0.161,-1.329,-0.745,0.007,0.004,487.0,822.0,1.0
"eps_tform[0, 5]",0.839,1.086,-1.096,2.965,0.044,0.032,609.0,628.0,1.0
"eps_tform[0, 6]",1.298,0.437,0.492,2.125,0.016,0.017,779.0,598.0,1.0
"eps_tform[0, 7]",-1.723,0.716,-3.012,-0.247,0.023,0.021,993.0,734.0,1.0
"eps_tform[0, 8]",-0.228,0.839,-1.775,1.318,0.025,0.026,1150.0,738.0,1.0
"eps_tform[0, 9]",0.843,0.719,-0.417,2.29,0.04,0.02,327.0,405.0,1.01
"eps_tform[0, 10]",0.957,0.369,0.257,1.595,0.019,0.011,383.0,518.0,1.01
"eps_tform[0, 11]",-1.219,0.444,-2.081,-0.378,0.022,0.016,406.0,356.0,1.01
"eps_tform[0, 12]",0.344,0.427,-0.536,1.099,0.02,0.011,441.0,762.0,1.01
"eps_tform[0, 13]",-1.439,0.425,-2.236,-0.676,0.02,0.012,465.0,619.0,1.01
"eps_tform[0, 14]",-0.766,0.898,-2.243,1.031,0.033,0.022,741.0,817.0,1.0
"eps_tform[0, 15]",1.115,0.54,0.096,2.107,0.024,0.015,504.0,813.0,1.01
"eps_tform[0, 16]",0.923,0.441,0.198,1.849,0.023,0.014,368.0,504.0,1.02
"eps_tform[0, 17]",0.482,0.58,-0.566,1.592,0.031,0.018,343.0,366.0,1.02
"eps_tform[0, 18]",-0.395,0.668,-1.563,0.922,0.032,0.022,435.0,509.0,1.01
"eps_tform[0, 19]",-0.408,0.518,-1.333,0.582,0.02,0.016,648.0,677.0,1.0
"eps_tform[0, 20]",0.077,0.505,-0.838,1.025,0.019,0.013,700.0,780.0,1.0
"eps_tform[0, 21]",-1.961,0.55,-2.935,-0.877,0.021,0.015,715.0,796.0,1.0
"eps_tform[0, 22]",-1.264,0.452,-2.087,-0.408,0.016,0.011,771.0,948.0,1.0
"eps_tform[0, 23]",0.86,0.962,-0.909,2.612,0.027,0.03,1323.0,817.0,1.0
"eps_tform[0, 24]",2.466,0.321,1.881,3.068,0.013,0.008,636.0,809.0,1.0
"eps_tform[0, 25]",-0.807,0.413,-1.586,-0.038,0.024,0.013,286.0,527.0,1.01
"eps_tform[0, 26]",0.998,0.366,0.29,1.647,0.013,0.01,854.0,886.0,1.0
"eps_tform[0, 27]",-0.172,0.653,-1.419,0.977,0.029,0.018,496.0,591.0,1.0
"eps_tform[0, 28]",-0.128,0.663,-1.299,1.166,0.022,0.017,905.0,808.0,1.0
"eps_tform[0, 29]",-0.05,0.648,-1.224,1.23,0.018,0.018,1346.0,878.0,1.0
"eps_tform[0, 30]",0.887,0.744,-0.588,2.148,0.023,0.02,1001.0,851.0,1.0
"eps_tform[0, 31]",0.822,0.695,-0.398,2.199,0.026,0.02,696.0,621.0,1.0
"eps_tform[0, 32]",0.013,0.921,-1.804,1.649,0.022,0.027,1826.0,891.0,1.01
"eps_tform[0, 33]",0.073,0.47,-0.861,0.903,0.017,0.014,746.0,658.0,1.0
"eps_tform[0, 34]",1.4,0.597,0.31,2.506,0.018,0.016,1064.0,839.0,1.0
"eps_tform[0, 35]",1.218,0.869,-0.436,2.752,0.022,0.026,1584.0,648.0,1.01
"eps_tform[0, 36]",-0.066,0.95,-1.709,1.759,0.026,0.028,1372.0,735.0,1.0
"eps_tform[0, 37]",0.068,1.025,-1.859,1.901,0.029,0.037,1259.0,712.0,1.01
"eps_tform[0, 38]",0.034,0.989,-1.726,1.796,0.026,0.028,1443.0,873.0,1.0
"eps_tform[0, 39]",-0.219,1.012,-2.199,1.591,0.021,0.049,2321.0,644.0,1.01
"eps_tform[0, 40]",-0.162,0.927,-1.769,1.666,0.027,0.026,1151.0,781.0,1.0
"eps_tform[0, 41]",-0.012,1.056,-1.826,2.008,0.026,0.038,1671.0,723.0,1.0
"eps_tform[0, 42]",0.009,1.064,-1.969,1.952,0.023,0.045,2207.0,694.0,1.01
"eps_tform[0, 43]",-0.177,0.993,-2.017,1.677,0.028,0.038,1270.0,446.0,1.01
"eps_tform[0, 44]",-0.246,0.963,-2.044,1.514,0.024,0.029,1676.0,870.0,1.01
"eps_tform[0, 45]",0.026,0.993,-1.946,1.736,0.027,0.034,1404.0,802.0,1.0
