# 2002cv 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2024.12.17 (yyyy.mm.dd); 14.31 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2002cv
RA: 154.51533
DEC: 21.835
MWEBV: 0.021574377431313213
REDSHIFT_HELIO: 0.00424
REDSHIFT_CMB: 0.00424
REDSHIFT_CMB_ERR: 0.0005
PEAKMJD: 52420
SEARCH_PEAKMJD: 52420
FILTERS: H,I_KAIT,J,J_NTT,Ks,Ks_NTT,R_KAIT
# -----------------------------------------------------------
NOBS: 60
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52409.75 R_KAIT 1213.3889 290.5688 19.79 0.26
OBS: 52411.75 R_KAIT 1819.7009 150.8406 19.35 0.09
OBS: 52417.75 R_KAIT 1905.4607 438.7485 19.3 0.25
OBS: 52421.75 R_KAIT 1836.5383 304.4726 19.34 0.18
OBS: 52425.75 R_KAIT 1380.3843 88.9967 19.65 0.07
OBS: 52429.75 R_KAIT 895.3648 131.9458 20.12 0.16
OBS: 52431.75 R_KAIT 1294.1958 143.0398 19.72 0.12
OBS: 52436.75 R_KAIT 1419.0575 261.4001 19.62 0.2
OBS: 52440.39 R_KAIT 2128.139 156.8071 19.18 0.08
OBS: 52407.85 H 107646.5214 1982.9222 14.92 0.02
OBS: 52408.85 H 143218.7899 2638.1876 14.61 0.02
OBS: 52409.82 H 149968.4836 4143.7823 14.56 0.03
OBS: 52410.86 H 167494.2876 3085.3588 14.44 0.02
OBS: 52411.88 H 183653.8343 1691.5143 14.34 0.01
OBS: 52423.88 H 127057.4105 2340.484 14.74 0.02
OBS: 52426.83 H 130617.0888 3609.0835 14.71 0.03
OBS: 52430.86 H 159955.8029 5892.9896 14.49 0.04
OBS: 52437.85 H 172186.8575 4757.6987 14.41 0.03
OBS: 52465.83 H 69823.2404 6430.9581 15.39 0.1
OBS: 52403.89 Ks 22080.0473 2237.0123 16.64 0.11
OBS: 52407.85 Ks 128233.0583 5905.3506 14.73 0.05
OBS: 52408.85 Ks 180301.7741 4981.9221 14.36 0.03
OBS: 52409.82 Ks 199526.2315 7350.818 14.25 0.04
OBS: 52410.86 Ks 207014.1349 5720.0119 14.21 0.03
OBS: 52414.83 Ks 263026.7992 7267.699 13.95 0.03
OBS: 52420.93 Ks 237684.0287 8756.6032 14.06 0.04
OBS: 52421.86 Ks 237684.0287 10945.754 14.06 0.05
OBS: 52424.86 Ks 216770.4105 5989.5878 14.16 0.03
OBS: 52426.83 Ks 172186.8575 6343.5983 14.41 0.04
OBS: 52430.86 Ks 105681.7509 6813.5543 14.94 0.07
OBS: 52437.85 Ks 197696.964 7283.4253 14.26 0.04
OBS: 52445.86 Ks 263026.7992 24225.6635 13.95 0.1
OBS: 52459.83 Ks 173780.0829 9603.4423 14.4 0.06
OBS: 52466.82 Ks 110662.3784 7134.6672 14.89 0.07
OBS: 52477.8 Ks 199526.2315 147016.3604 14.25 0.8
OBS: 52441.03 Ks_NTT 214783.0474 1978.225 14.17 0.01
OBS: 52409.75 I_KAIT 10185.9139 281.4472 17.48 0.03
OBS: 52417.75 I_KAIT 18365.3834 2029.8172 16.84 0.12
OBS: 52421.75 I_KAIT 15275.6606 1969.7165 17.04 0.14
OBS: 52425.75 I_KAIT 11694.9939 3231.4462 17.33 0.3
OBS: 52429.75 I_KAIT 11912.4201 6144.1768 17.31 0.56
OBS: 52431.75 I_KAIT 12705.7411 5383.1132 17.24 0.46
OBS: 52436.75 I_KAIT 12589.2541 2782.8316 17.25 0.24
OBS: 52403.89 J 15135.6125 1533.4456 17.05 0.11
OBS: 52407.85 J 65463.6174 602.9422 15.46 0.01
OBS: 52408.85 J 78704.579 724.896 15.26 0.01
OBS: 52409.82 J 93756.2007 1727.053 15.07 0.02
OBS: 52410.86 J 109647.8196 1009.8937 14.9 0.01
OBS: 52411.88 J 110662.3784 1019.2382 14.89 0.01
OBS: 52414.83 J 125892.5412 3478.5395 14.75 0.03
OBS: 52422.91 J 71121.3514 2620.2074 15.37 0.04
OBS: 52424.92 J 52966.3444 3414.8664 15.69 0.07
OBS: 52425.91 J 47863.0092 881.6692 15.8 0.02
OBS: 52426.83 J 45708.819 1683.9751 15.85 0.04
OBS: 52430.86 J 17864.8757 1316.3327 16.87 0.08
OBS: 52437.85 J 29376.4965 811.7026 16.33 0.03
OBS: 52445.86 J 49203.9536 2265.9258 15.77 0.05
OBS: 52464.83 J 44874.539 3719.788 15.87 0.09
OBS: 52467.83 J 25118.8643 2313.5329 16.5 0.1
OBS: 52441.03 J_NTT 38370.7245 353.4074 16.04 0.01
END:
